date,global,nhem,shem,tropics,arctic,antarctic,land,ocean,americas,eurafrica,asiapacific
1979-01-01,-0.411,-0.907,0.098,-0.189,-2.65,1.48,,-0.411,-0.577,-1.227,0.076
1979-01-02,-0.42,-0.849,0.02,-0.238,-1.935,1.323,,-0.42,-0.723,-1.182,0.107
1979-01-03,-0.436,-0.803,-0.058,-0.285,-1.155,1.116,,-0.436,-0.763,-1.306,0.102
1979-01-04,-0.458,-0.824,-0.083,-0.266,-0.887,0.913,,-0.458,-0.612,-1.451,0.009
1979-01-05,-0.401,-0.745,-0.048,-0.25,-0.449,0.977,,-0.401,-0.465,-1.317,-0.066
1979-01-06,-0.374,-0.683,-0.057,-0.226,0.268,0.876,,-0.374,-0.502,-1.089,-0.092
1979-01-07,-0.382,-0.707,-0.048,-0.183,-0.375,0.735,,-0.382,-0.372,-1.108,-0.197
1979-01-08,-0.405,-0.782,-0.019,-0.172,-1.174,0.693,,-0.405,-0.307,-1.099,-0.261
1979-01-09,-0.409,-0.862,0.055,-0.197,-1.462,0.881,,-0.409,-0.454,-0.835,-0.242
1979-01-10,-0.427,-0.95,0.11,-0.242,-1.627,0.902,,-0.427,-0.571,-0.705,-0.278
1979-01-11,-0.43,-0.97,0.125,-0.233,-1.297,0.801,,-0.43,-0.734,-0.55,-0.236
1979-01-12,-0.387,-0.859,0.096,-0.215,-0.924,0.524,,-0.387,-0.802,-0.385,-0.075
1979-01-13,-0.388,-0.804,0.038,-0.225,-0.65,0.333,,-0.388,-0.806,-0.281,-0.091
1979-01-14,-0.456,-0.884,-0.017,-0.256,0.13,0.089,,-0.456,-0.839,-0.34,-0.203
1979-01-15,-0.498,-0.962,-0.021,-0.267,0.674,-0.078,,-0.498,-0.805,-0.457,-0.337
1979-01-16,-0.468,-0.851,-0.075,-0.282,0.764,-0.118,,-0.468,-0.661,-0.554,-0.37
1979-01-17,-0.348,-0.581,-0.109,-0.202,1.528,-0.247,,-0.348,-0.418,-0.37,-0.432
1979-01-18,-0.321,-0.503,-0.133,-0.172,1.497,-0.314,,-0.321,-0.275,-0.162,-0.661
1979-01-19,-0.337,-0.513,-0.157,-0.173,0.636,-0.381,,-0.337,-0.164,-0.195,-0.787
1979-01-20,-0.288,-0.378,-0.196,-0.122,-0.672,-0.55,,-0.288,-0.038,-0.24,-0.698
1979-01-21,-0.29,-0.324,-0.255,-0.127,-1.414,-0.719,,-0.29,0.087,-0.432,-0.661
1979-01-22,-0.324,-0.393,-0.253,-0.154,-1.02,-0.979,,-0.324,0.128,-0.817,-0.501
1979-01-23,-0.385,-0.568,-0.197,-0.171,-1.329,-0.856,,-0.385,0.155,-1.146,-0.511
1979-01-24,-0.357,-0.625,-0.082,-0.159,-1.053,-0.345,,-0.357,0.248,-1.21,-0.501
1979-01-25,-0.39,-0.703,-0.069,-0.181,-1.39,-0.142,,-0.39,0.29,-1.079,-0.757
1979-01-26,-0.389,-0.682,-0.088,-0.172,-1.912,-0.277,,-0.389,0.412,-0.72,-1.117
1979-01-27,-0.396,-0.663,-0.122,-0.163,-2.396,-0.342,,-0.396,0.341,-0.39,-1.235
1979-01-28,-0.473,-0.777,-0.162,-0.197,-3.054,-0.45,,-0.473,0.168,-0.144,-1.401
1979-01-29,-0.604,-1.036,-0.16,-0.184,-4.307,-0.535,,-0.604,-0.14,-0.151,-1.422
1979-01-30,-0.727,-1.263,-0.177,-0.19,-5.493,-0.79,,-0.727,-0.379,-0.279,-1.397
1979-01-31,-0.785,-1.395,-0.159,-0.248,-5.749,-0.94,,-0.785,-0.603,-0.413,-1.228
1979-02-01,-0.761,-1.415,-0.089,-0.286,-6.049,-0.765,,-0.761,-0.781,-0.26,-1.069
1979-02-02,-0.708,-1.331,-0.067,-0.265,-6.369,-0.561,,-0.708,-0.828,-0.048,-1.034
1979-02-03,-0.7,-1.287,-0.098,-0.238,-6.83,-0.83,,-0.7,-0.808,0.034,-1.045
1979-02-04,-0.71,-1.198,-0.208,-0.207,-7.679,-1.354,,-0.71,-0.884,0.116,-0.882
1979-02-05,-0.766,-1.237,-0.281,-0.203,-8.408,-1.758,,-0.766,-1.09,0.231,-0.756
1979-02-06,-0.744,-1.176,-0.3,-0.181,-8.847,-1.738,,-0.744,-1.154,0.227,-0.565
1979-02-07,-0.669,-1.098,-0.229,-0.15,-8.527,-1.609,,-0.669,-1.166,0.167,-0.308
1979-02-08,-0.652,-1.089,-0.203,-0.146,-7.815,-1.222,,-0.652,-1.191,0.137,-0.236
1979-02-09,-0.651,-1.185,-0.103,-0.08,-7.439,-0.322,,-0.651,-1.3,0.064,-0.126
1979-02-10,-0.648,-1.246,-0.034,-0.089,-7.021,0.086,,-0.648,-1.36,0.135,-0.154
1979-02-11,-0.616,-1.196,-0.02,-0.118,-6.618,0.257,,-0.616,-1.379,-0.006,-0.045
1979-02-12,-0.629,-1.185,-0.059,-0.154,-6.127,0.082,,-0.629,-1.365,-0.358,0.076
1979-02-13,-0.676,-1.216,-0.121,-0.144,-5.662,-0.259,,-0.676,-1.348,-0.495,0.033
1979-02-14,-0.674,-1.169,-0.166,-0.166,-5.055,-0.628,,-0.674,-1.215,-0.46,-0.047
1979-02-15,-0.68,-1.131,-0.216,-0.18,-4.429,-0.771,,-0.68,-1.211,-0.618,0.047
1979-02-16,-0.759,-1.223,-0.283,-0.25,-3.738,-0.648,,-0.759,-1.363,-0.68,0.005
1979-02-17,-0.752,-1.226,-0.265,-0.303,-3.252,-0.386,,-0.752,-1.348,-0.698,0.011
1979-02-18,-0.699,-1.132,-0.255,-0.3,-2.63,-0.459,,-0.699,-1.138,-0.593,-0.134
1979-02-19,-0.654,-0.988,-0.311,-0.275,-2.166,-0.744,,-0.654,-0.895,-0.663,-0.181
1979-02-20,-0.589,-0.837,-0.334,-0.268,-2.255,-0.66,,-0.589,-0.682,-0.826,-0.127
1979-02-21,-0.565,-0.769,-0.356,-0.242,-2.851,-0.766,,-0.565,-0.537,-0.983,-0.149
1979-02-22,-0.619,-0.9,-0.33,-0.261,-3.744,-0.64,,-0.619,-0.569,-0.957,-0.314
1979-02-23,-0.643,-0.951,-0.326,-0.279,-4.557,-0.712,,-0.643,-0.655,-1.012,-0.283
1979-02-24,-0.677,-1.041,-0.302,-0.314,-4.459,-0.896,,-0.677,-0.738,-1.137,-0.226
1979-02-25,-0.707,-1.135,-0.268,-0.356,-4.55,-0.862,,-0.707,-0.738,-1.205,-0.3
