date,nao,pna,epo,wpo,ao
1979-01-01,-1.361,0.675,1.329,0.809,-0.771
1979-01-02,-1.295,0.882,2.327,0.366,-0.995
1979-01-03,-1.488,1.031,3.326,-0.238,-1.473
1979-01-04,-1.084,0.977,3.69,-0.788,-1.3
1979-01-05,-0.19,0.515,3.777,-0.945,-0.552
1979-01-06,0.351,0.083,3.462,-0.974,-0.032
1979-01-07,0.4,0.039,2.752,-1.056,0.028
1979-01-08,0.178,0.448,2.472,-1.067,-0.193
1979-01-09,-0.142,1.079,2.417,-0.699,-0.606
1979-01-10,-0.479,1.405,1.885,-0.311,-1.006
1979-01-11,-0.589,1.021,1.586,-0.331,-1.152
1979-01-12,-0.397,0.273,1.162,0.118,-0.841
1979-01-13,-0.322,-0.3,0.765,0.47,-0.566
1979-01-14,-0.544,-0.62,0.545,0.77,-0.634
1979-01-15,-0.611,-0.376,0.402,1.036,-0.575
1979-01-16,-0.395,-0.269,0.353,1.374,-0.288
1979-01-17,-0.721,-0.224,0.36,1.51,-0.594
1979-01-18,-1.443,-0.041,0.397,1.374,-1.21
1979-01-19,-2.076,-0.193,0.38,0.988,-1.656
1979-01-20,-2.399,-0.307,0.503,1.004,-1.935
1979-01-21,-2.636,-0.291,0.648,1.528,-2.113
1979-01-22,-2.723,-0.4,0.563,1.687,-2.096
1979-01-23,-2.697,-0.518,0.397,1.664,-1.963
1979-01-24,-3.003,-0.478,0.449,1.432,-2.293
1979-01-25,-3.335,-0.31,0.405,1.051,-2.682
1979-01-26,-3.079,-0.252,0.065,0.324,-2.538
1979-01-27,-2.515,-0.475,-0.151,-0.232,-2.067
1979-01-28,-2.024,-0.812,-0.571,-0.749,-1.494
1979-01-29,-1.717,-1.094,-0.661,-1.002,-1.058
1979-01-30,-1.574,-1.494,-0.223,-0.941,-0.834
1979-01-31,-1.372,-1.677,0.46,-1.098,-0.676
1979-02-01,-1.344,-1.517,0.898,-1.134,-0.735
1979-02-02,-1.269,-1.568,0.836,-1.072,-0.684
1979-02-03,-1.034,-1.646,0.773,-0.785,-0.43
1979-02-04,-0.839,-1.583,0.68,-0.653,-0.237
1979-02-05,-0.782,-1.565,0.656,-0.978,-0.11
1979-02-06,-0.936,-1.469,0.53,-1.211,-0.146
1979-02-07,-1.041,-1.422,0.369,-1.31,-0.204
1979-02-08,-1.041,-1.273,0.882,-1.326,-0.334
1979-02-09,-0.896,-1.214,1.187,-1.318,-0.307
1979-02-10,-1.02,-1.066,1.354,-1.536,-0.526
1979-02-11,-0.988,-0.977,1.504,-1.424,-0.532
1979-02-12,-0.999,-1.0,1.376,-1.111,-0.475
1979-02-13,-1.062,-1.019,1.155,-0.932,-0.478
1979-02-14,-1.101,-0.89,1.167,-1.093,-0.461
1979-02-15,-0.555,-0.728,1.112,-1.023,0.046
1979-02-16,0.022,-0.613,0.886,-0.538,0.508
1979-02-17,0.102,-0.492,0.89,0.049,0.413
1979-02-18,0.106,-0.544,0.564,0.319,0.372
1979-02-19,0.464,-0.675,0.451,0.363,0.659
1979-02-20,0.573,-0.87,0.518,0.225,0.744
1979-02-21,0.341,-1.059,0.522,-0.213,0.562
1979-02-22,-0.109,-0.845,0.534,-0.339,0.108
1979-02-23,-0.492,-0.426,0.328,-0.285,-0.276
1979-02-24,-0.347,-0.28,0.353,-0.409,-0.135
1979-02-25,0.333,0.078,-0.138,-0.547,0.478
1979-02-26,1.022,0.148,-0.935,-0.78,1.127
1979-02-27,1.249,-0.287,-1.597,-1.315,1.386
1979-02-28,1.131,-0.291,-1.535,-1.515,1.185
1979-03-01,1.324,-0.068,-1.522,-1.094,1.165
1979-03-02,1.627,0.267,-2.05,-0.477,1.328
1979-03-03,1.457,0.799,-2.166,-0.183,1.059
1979-03-04,1.243,1.312,-1.638,0.046,0.773
1979-03-05,1.15,1.512,-1.121,0.357,0.698
1979-03-06,0.988,1.561,-0.552,0.464,0.532
1979-03-07,0.874,1.352,-0.313,0.247,0.415
1979-03-08,0.857,1.293,-0.015,0.058,0.24
1979-03-09,0.553,1.168,0.239,0.059,-0.196
1979-03-10,0.497,0.823,0.653,-0.144,-0.297
1979-03-11,0.244,0.779,1.019,-0.495,-0.587
1979-03-12,-0.383,0.899,1.551,-0.643,-1.185
1979-03-13,-0.756,0.917,1.969,-0.514,-1.515
1979-03-14,-0.86,0.878,1.659,-0.403,-1.515
1979-03-15,-1.42,0.78,1.115,-0.546,-1.916
1979-03-16,-2.197,0.693,0.548,-0.316,-2.457
1979-03-17,-2.766,0.629,-0.226,-0.315,-2.811
1979-03-18,-3.2,0.88,-0.659,-0.308,-3.041
1979-03-19,-2.696,1.167,-1.133,0.077,-2.509
1979-03-20,-1.997,0.942,-1.192,0.067,-1.783
1979-03-21,-1.348,0.712,-0.963,-0.048,-1.185
1979-03-22,-0.762,0.36,-0.564,0.042,-0.641
1979-03-23,-0.32,0.095,0.057,0.038,-0.298
1979-03-24,-0.16,-0.034,0.622,-0.391,-0.27
1979-03-25,-0.058,-0.163,1.043,-1.083,-0.383
1979-03-26,-0.067,-0.551,1.253,-1.205,-0.441
1979-03-27,-0.425,-0.681,1.009,-1.197,-0.78
1979-03-28,-0.424,-0.431,0.522,-0.999,-0.913
1979-03-29,-0.312,-0.295,-0.068,-0.841,-0.798
1979-03-30,-0.262,-0.209,-0.566,-0.945,-0.73
1979-03-31,-0.269,-0.14,-0.608,-1.282,-0.799
1979-04-01,-0.481,-0.173,-0.311,-1.181,-1.01
1979-04-02,-0.855,-0.396,-0.19,-0.77,-1.225
1979-04-03,-1.165,-0.533,0.139,-0.484,-1.361
1979-04-04,-1.035,-0.688,0.415,0.021,-1.151
1979-04-05,-0.95,-0.185,0.384,0.518,-1.046
1979-04-06,-1.099,0.58,0.381,0.782,-1.189
1979-04-07,-1.371,0.735,0.187,0.644,-1.376
1979-04-08,-1.795,0.356,-0.057,-0.003,-1.626
1979-04-09,-2.071,-0.125,0.032,-0.633,-1.84
1979-04-10,-2.085,-0.464,0.191,-0.709,-1.854
1979-04-11,-2.124,-0.566,-0.035,-0.373,-1.807
1979-04-12,-2.174,-0.739,-0.391,-0.461,-1.719
1979-04-13,-2.043,-0.938,-0.659,-0.979,-1.47
1979-04-14,-1.765,-0.854,-0.589,-1.231,-1.238
1979-04-15,-1.405,-0.458,-0.424,-0.684,-1.007
1979-04-16,-0.962,-0.271,-0.49,0.147,-0.656
1979-04-17,-0.634,-0.215,-0.414,0.693,-0.384
1979-04-18,-0.326,-0.315,-0.3,1.149,-0.099
1979-04-19,-0.226,-0.538,-0.122,1.248,0.063
1979-04-20,-0.145,-0.541,0.396,0.94,0.109
1979-04-21,0.227,-0.531,0.721,0.455,0.338
1979-04-22,0.853,-0.863,0.574,0.486,0.961
1979-04-23,0.901,-0.975,0.303,0.982,1.152
1979-04-24,0.666,-0.945,0.472,1.346,1.058
1979-04-25,0.454,-0.809,0.828,1.152,0.845
1979-04-26,0.207,-0.684,1.121,1.111,0.578
1979-04-27,0.034,-0.282,0.939,0.991,0.359
1979-04-28,-0.395,0.318,0.887,0.802,-0.084
1979-04-29,-0.872,0.554,1.163,0.812,-0.647
1979-04-30,-1.295,0.718,1.623,0.507,-1.153
1979-05-01,-1.596,0.887,2.09,0.175,-1.596
1979-05-02,-1.663,1.198,1.875,0.288,-1.812
1979-05-03,-1.414,1.703,1.496,0.189,-1.737
1979-05-04,-1.151,1.687,1.481,0.08,-1.54
1979-05-05,-1.227,1.242,1.274,-0.144,-1.499
1979-05-06,-1.391,0.653,0.906,-0.238,-1.412
1979-05-07,-1.522,0.148,0.58,-0.08,-1.439
1979-05-08,-1.377,-0.149,-0.123,0.114,-1.284
1979-05-09,-0.889,0.307,-0.814,0.1,-0.855
1979-05-10,-0.558,0.745,-0.824,-0.08,-0.66
