date,houston,hubavg,north,south,west,lzwest,is_5x16
2011-01-01,28.65,28.65,28.65,28.65,28.65,28.65,False
2011-01-02,30.25,29.71,30.33,30.19,28.09,28.02,False
2011-01-03,25.34,23.8,24.64,24.92,20.28,20.14,True
2011-01-04,33.76,33.76,33.76,33.76,33.76,33.76,True
2011-01-05,96.12,87.41,97.65,95.0,60.86,59.88,True
2011-01-06,32.78,32.78,32.78,32.78,32.78,32.79,True
2011-01-07,94.54,94.54,94.54,94.54,94.54,94.52,True
2011-01-08,27.21,27.21,27.21,27.21,27.21,27.21,False
2011-01-09,30.37,30.4,30.45,30.32,30.44,30.44,False
2011-01-10,35.39,35.4,35.42,35.36,35.42,35.42,True
2011-01-11,40.36,40.59,41.94,38.27,41.79,41.72,True
2011-01-12,36.18,44.01,36.45,66.65,36.75,36.87,True
2011-01-13,36.03,46.18,35.5,82.77,30.41,30.27,True
2011-01-14,32.84,32.96,32.8,32.88,33.33,35.35,True
2011-01-15,35.04,35.04,35.04,35.04,35.06,35.06,False
2011-01-16,36.56,36.56,36.56,36.56,36.56,36.56,False
2011-01-17,28.91,28.3,27.95,28.03,28.32,30.91,True
2011-01-18,27.79,27.13,27.04,26.97,26.72,26.72,True
2011-01-19,26.71,17.39,26.68,24.19,-8.01,-9.1,True
2011-01-20,45.28,47.38,45.92,45.52,52.79,53.07,True
2011-01-21,32.49,30.36,32.1,32.05,24.8,25.78,True
2011-01-22,27.24,21.58,28.18,26.64,4.25,3.37,False
2011-01-23,31.66,29.85,31.97,31.46,24.31,24.06,False
2011-01-24,31.15,30.48,30.62,30.92,29.24,29.53,True
2011-01-25,31.79,39.46,41.94,34.73,49.38,63.98,True
2011-01-26,30.59,29.35,29.98,30.42,26.41,27.85,True
2011-01-27,78.24,82.36,79.02,79.29,92.89,92.39,True
2011-01-28,26.29,26.29,26.29,26.29,26.29,26.29,True
2011-01-29,22.85,22.46,22.21,22.55,22.24,22.25,False
2011-01-30,29.12,29.12,29.13,29.11,29.13,29.13,False
2011-01-31,24.94,23.44,25.33,24.83,18.64,18.36,True
2011-02-01,31.52,37.75,53.95,32.2,33.33,40.3,True
2011-02-02,917.8,919.97,919.29,925.99,916.81,917.0,True
2011-02-03,77.81,154.5,98.96,339.08,102.17,103.31,True
2011-02-04,48.13,49.25,49.15,51.77,47.94,47.97,True
2011-02-05,28.65,29.93,28.65,33.78,28.65,28.65,False
2011-02-06,19.98,19.98,19.98,19.98,19.98,19.98,False
2011-02-07,28.95,28.78,28.97,28.94,28.25,28.22,True
2011-02-08,31.98,26.19,29.38,34.66,8.75,8.27,True
2011-02-09,33.07,31.49,34.31,36.65,21.94,21.87,True
2011-02-10,32.17,36.11,34.47,39.28,38.52,38.47,True
2011-02-11,27.18,27.91,27.08,29.92,27.44,27.44,True
2011-02-12,24.64,23.89,24.79,24.62,21.5,21.38,False
2011-02-13,21.21,19.34,21.52,20.94,13.69,13.39,False
2011-02-14,29.0,30.33,29.07,34.05,29.21,29.28,True
2011-02-15,30.46,30.67,29.49,32.47,30.25,30.27,True
2011-02-16,26.66,22.96,27.35,26.14,11.68,12.53,True
2011-02-17,24.18,23.64,24.67,24.02,21.68,25.05,True
2011-02-18,27.8,27.8,27.8,27.8,27.8,27.8,True
2011-02-19,25.84,23.48,26.16,25.57,16.34,15.93,False
2011-02-20,21.7,19.77,21.92,21.52,13.95,13.33,False
2011-02-21,29.45,28.99,29.64,29.29,27.57,27.58,True
2011-02-22,60.77,60.32,60.88,60.68,58.94,58.97,True
2011-02-23,24.97,25.0,25.03,24.92,25.1,27.65,True
2011-02-24,25.79,21.14,26.42,25.33,7.01,12.69,True
2011-02-25,31.2,31.3,31.51,31.01,31.5,31.49,True
2011-02-26,25.69,25.5,25.72,25.67,24.93,24.9,False
2011-02-27,26.12,17.37,27.39,25.08,-9.12,-6.89,False
2011-02-28,25.66,25.74,25.7,25.72,25.87,29.12,True
2011-03-01,27.1,26.82,27.17,27.05,25.96,26.78,True
2011-03-02,28.05,27.3,28.16,27.96,25.05,28.45,True
2011-03-03,91.97,91.42,92.04,91.91,89.74,92.14,True
2011-03-04,27.01,26.32,27.1,26.93,24.22,25.54,True
2011-03-05,23.48,22.18,23.63,23.35,18.26,18.27,False
2011-03-06,22.94,21.76,23.14,22.77,18.19,17.89,False
2011-03-07,24.81,19.8,25.46,24.28,4.64,6.12,True
2011-03-08,55.32,50.7,55.97,54.81,36.71,36.31,True
2011-03-09,30.18,30.18,30.18,30.17,30.18,30.18,True
2011-03-10,26.49,25.38,26.67,26.36,22.0,24.21,True
2011-03-11,24.51,13.8,26.05,23.26,-18.63,-13.64,True
2011-03-12,25.93,24.82,26.09,25.81,21.43,22.09,False
2011-03-13,27.82,27.8,27.82,27.82,27.76,27.75,False
2011-03-14,25.96,25.61,25.99,25.93,24.55,24.63,True
2011-03-15,24.65,23.93,24.79,24.33,21.96,25.11,True
2011-03-16,22.03,18.74,22.56,21.57,8.78,8.98,True
2011-03-17,23.13,20.73,23.31,22.47,14.02,21.89,True
2011-03-18,28.17,27.12,28.34,27.53,24.44,24.33,True
2011-03-19,28.32,20.3,29.41,27.14,-3.66,-3.3,False
2011-03-20,25.4,19.76,26.13,24.7,2.83,3.9,False
2011-03-21,27.86,16.67,29.18,26.75,-17.11,-16.48,True
2011-03-22,34.81,26.33,35.84,34.3,0.35,-0.39,True
2011-03-23,33.9,33.42,34.11,33.85,31.83,33.69,True
2011-03-24,36.04,25.06,37.43,34.93,-8.16,-6.17,True
2011-03-25,57.93,57.93,57.93,57.93,57.93,57.94,True
2011-03-26,32.46,31.55,32.5,32.34,28.92,28.79,False
2011-03-27,30.1,29.84,29.66,29.93,29.68,29.69,False
2011-03-28,29.84,29.84,29.84,29.84,29.84,29.84,True
2011-03-29,28.04,25.87,28.29,27.86,19.27,19.11,True
2011-03-30,28.79,28.79,28.79,28.79,28.79,28.79,True
2011-03-31,31.74,32.14,31.66,31.8,33.37,35.26,True
2011-04-01,26.15,24.49,25.0,25.59,21.23,24.08,True
2011-04-02,30.0,29.18,29.13,29.58,28.0,27.86,False
2011-04-03,25.92,21.21,25.71,24.85,8.35,5.21,False
2011-04-04,29.75,43.64,23.13,30.46,91.22,102.01,True
2011-04-05,28.45,15.63,30.26,27.19,-23.39,-19.2,True
2011-04-06,30.44,19.41,32.64,28.93,-14.37,-16.19,True
2011-04-07,30.52,34.36,29.39,31.13,46.38,47.7,True
2011-04-08,32.79,32.92,32.92,32.45,33.54,33.69,True
2011-04-09,27.55,20.22,27.3,26.08,-0.04,-2.81,False
2011-04-10,68.84,82.04,71.9,72.59,114.83,120.45,False
2011-04-11,48.03,36.71,29.56,41.76,27.49,32.46,True
2011-04-12,28.59,25.5,29.24,27.25,16.91,15.73,True
2011-04-13,30.08,28.32,30.29,29.43,23.49,28.06,True
2011-04-14,51.74,40.87,53.67,50.54,7.52,11.61,True
2011-04-15,27.01,21.0,27.64,26.31,3.04,1.46,True
