case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id,BA
400011,Mustang,OK,2.5,single-axis,ground,35.4774,-97.6764,2953,SWPP
407013,Comfort CSG,NY,4.0,single-axis,ground,43.0168,-78.9779,67406,NYIS
404351,Viking Solar (CSG),IL,2.0,single-axis,ground,39.4045,-90.0025,64787,MISO
404352,Freehold (CSG),NY,2.0,single-axis,ground,42.3708,-74.0406,64788,NYIS
404336,Dodds (CSG),IL,2.0,single-axis,ground,42.3804,-89.8412,64734,PJM
404988,Pivot Energy Minnesota Solar 10,MN,1.0,fixed-tilt,ground,45.5976,-94.8633,66479,MISO
406923,Dynamic - Enfield Hammett Road CSG,ME,4.9,single-axis,ground,45.2466,-68.6177,67016,ISNE
407041,RB Inyokern Solar WDAT 1281 (CSG),CA,11.9,single-axis,ground,35.6608,-117.8126,67534,CISO
406921,Dynamic - Gray Solar,ME,4.9,single-axis,ground,43.8906,-70.3193,67014,ISNE
406924,Dynamic - Glenburn Broadway One (CSG),ME,4.9,single-axis,ground,44.8738,-68.8482,67017,ISNE
407037,Brewer (CSG),ME,5.0,fixed-tilt,ground,44.798,-68.7135,67499,ISNE
406910,"MN East Regal, LLC (CSG)",MN,1.0,single-axis,ground,45.3954,-94.7412,66973,MISO
407046,"USS Rosewood Solar, LLC (CSG)",MN,1.0,single-axis,ground,44.9847,-95.7144,67547,MISO
407047,"USS Slayton Solar, LLC (CSG)",MN,1.0,single-axis,ground,43.982,-95.7658,67548,MISO
407056,DSI Don Solar,MN,1.0,single-axis,ground,44.8066,-95.2071,67588,MISO
407002,Ver Plank North (CSG),NY,4.0,single-axis,ground,43.1993,-76.178,67337,NYIS
407053,Collins (NY) (CSG),NY,5.0,fixed-tilt,ground,43.2618,-75.1949,67582,NYIS
406918,Dynamic - Wales Leeds Junction Road (CSG),ME,4.5,single-axis,ground,44.1998,-70.0705,67011,ISNE
406922,Dynamic - Exeter Solar CSG,ME,4.0,single-axis,ground,44.974,-69.0921,67015,ISNE
406917,Preston Garden (CSG),MN,1.0,single-axis,ground,44.5352,-94.9102,67009,MISO
406932,NY Avon I CSG,NY,5.0,single-axis,ground,42.8978,-77.7288,67045,NYIS
407026,BNRG Masardis (CSG),ME,5.0,fixed-tilt,ground,46.537,-68.3448,67427,ISNE
405467,"USS Reindeer Solar, LLC CSG",MN,1.0,fixed-tilt,ground,45.653,-94.0301,63165,MISO
403022,Burritt Rd Community Solar Farm,NY,2.0,fixed-tilt,ground,43.2793,-77.7626,62480,NYIS
404731,Townline Community Solar,NY,5.0,fixed-tilt,ground,43.0419,-78.1359,64724,NYIS
402533,Johnson 1 Community Solar,MN,1.0,fixed-tilt,ground,45.48,-92.8128,61686,MISO
404478,Grimm Community Solar,MN,1.0,fixed-tilt,ground,44.7326,-94.6082,61689,MISO
407012,Beech Road (CSG),MD,3.0,fixed-tilt,ground,38.8237,-76.9352,67405,PJM
407009,Mechanic Street (CSG),ME,3.0,fixed-tilt,ground,46.6829,-68.0371,67396,ISNE
407010,Missile Street (CSG),ME,3.0,fixed-tilt,ground,46.7058,-68.0438,67398,ISNE
407028,BNRG Norridgewock (CSG),ME,2.0,fixed-tilt,ground,44.7165,-69.8112,67429,ISNE
407029,BNRG North Anson (CSG),ME,2.0,fixed-tilt,ground,44.8535,-69.9043,67431,ISNE
