case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id
EIA_141,Agua Fria,AZ,0.2,single-axis,ground-mounted,33.5561,-112.2153,141
EIA_960,North Ninth Street,IL,0.3,single-axis,ground-mounted,41.9093,-89.0498,960
EIA_1172,Osage (IA),IA,0.8,single-axis,ground-mounted,43.279722,-92.81056,1172
EIA_1187,State Center,IA,0.8,single-axis,ground-mounted,42.01667,-93.16333,1187
EIA_10224,Merck Rahway Power Plant,NJ,0.5,single-axis,ground-mounted,40.615616,-74.26529,10224
EIA_10823,Deer Island Treatment Plant,MA,0.1,single-axis,ground-mounted,42.353333,-70.96278,10823
EIA_50026,Corpus Refinery,TX,27.5,single-axis,ground-mounted,27.8322,-97.5281,50026
EIA_50061,San Diego State University,CA,0.7999999999999999,single-axis,ground-mounted,32.778225,-117.0701,50061
EIA_56322,Wild Horse,WA,0.5,single-axis,ground-mounted,47.036269,-120.2065,56322
EIA_57775,Kingman 1,AZ,0.5,single-axis,ground-mounted,35.145833,-114.0675,57775
EIA_57785,RE Bruceville 3 LLC,CA,5.0,single-axis,ground-mounted,38.3475,-121.4128,57785
EIA_57806,RE Dillard 4 LLC,CA,0.4,single-axis,ground-mounted,38.461944,-121.1803,57806
EIA_58173,BMW Manufacturing Co,SC,0.1,single-axis,ground-mounted,34.894167,-82.17833,58173
EIA_58413,Copper Crossing Energy and Research Cent,AZ,54.400000000000006,single-axis,ground-mounted,33.15512,-111.48359999999998,58413
EIA_58422,CSU Northridge Plant,CA,1.3,single-axis,ground-mounted,34.243333,-118.5306,58422
EIA_58556,"Indy Solar II, LLC",IN,10.1,single-axis,ground-mounted,39.662778,-85.98556,58556
EIA_58689,Blue Sky One,NM,1.3,single-axis,ground-mounted,36.907778,-105.9853,58689
EIA_58899,Prosperity Energy Storage Facility Hybri,NM,0.5,single-axis,ground-mounted,35.001944,-106.6372,58899
EIA_59133,EAFB - South Base,CA,1.0,single-axis,ground-mounted,34.917222,-117.9003,59133
EIA_59272,Victor Mesa Linda E2,CA,1.5,single-axis,ground-mounted,34.508056,-117.3872,59272
EIA_59776,Heartland Community College,IL,0.2,single-axis,ground-mounted,40.537,-89.019,59776
