peak_date,peak_sigma,duration_d,nino34
1979-06-30,2.83,13,-0.29
1979-08-07,2.64,13,-0.1
1982-08-28,2.08,1,0.73
1983-06-02,3.24,3,0.54
1983-06-15,3.09,15,0.54
1983-08-07,2.27,1,-0.27
1983-08-11,2.25,2,-0.27
1986-08-11,2.66,7,0.32
1987-06-08,2.07,2,0.92
1987-06-16,2.25,2,0.92
1987-08-17,2.04,2,1.57
1987-08-24,3.04,10,1.57
1991-06-06,2.51,4,0.52
1992-06-16,2.56,6,0.58
1992-06-22,2.35,1,0.58
1993-06-07,2.11,1,0.35
1997-07-17,2.28,3,1.56
1997-07-24,3.14,13,1.56
1997-08-27,2.02,1,1.89
2002-07-03,2.47,5,0.74
2002-08-29,2.04,1,0.87
2006-06-29,2.15,1,0.0
2006-07-02,2.16,1,0.01
2014-06-13,2.22,1,0.23
2015-07-11,2.33,7,1.46
2015-08-11,2.57,9,1.93
