date,sigma,nino34
1979-06-20,2.14,-0.29
1979-06-21,2.24,-0.29
1979-06-22,2.53,-0.29
1979-06-23,2.46,-0.29
1979-06-24,2.53,-0.29
1979-06-25,2.51,-0.29
1979-06-26,2.33,-0.29
1979-06-27,2.4,-0.29
1979-06-28,2.66,-0.29
1979-06-29,2.66,-0.29
1979-06-30,2.83,-0.29
1979-07-01,2.12,-0.47
1979-07-02,2.13,-0.47
1979-08-04,2.19,-0.1
1979-08-05,2.17,-0.1
1979-08-06,2.39,-0.1
1979-08-07,2.64,-0.1
1979-08-08,2.34,-0.1
1979-08-09,2.55,-0.1
1979-08-10,2.55,-0.1
1979-08-11,2.07,-0.1
1979-08-12,2.21,-0.1
1979-08-13,2.38,-0.1
1979-08-14,2.48,-0.1
1979-08-15,2.53,-0.1
1979-08-17,2.01,-0.1
1982-08-28,2.08,0.73
1983-06-01,3.13,0.54
1983-06-02,3.24,0.54
1983-06-03,2.61,0.54
1983-06-08,2.22,0.54
1983-06-09,2.11,0.54
1983-06-10,2.1,0.54
1983-06-11,2.39,0.54
1983-06-12,2.64,0.54
1983-06-13,3.07,0.54
1983-06-14,2.99,0.54
1983-06-15,3.09,0.54
1983-06-16,3.06,0.54
1983-06-17,2.88,0.54
1983-06-18,2.44,0.54
1983-06-19,2.56,0.54
1983-06-20,2.07,0.54
1983-06-22,2.24,0.54
1983-06-24,2.0,0.54
1983-08-07,2.27,-0.27
1983-08-10,2.07,-0.27
1983-08-11,2.25,-0.27
1986-08-08,2.19,0.32
1986-08-10,2.1,0.32
1986-08-11,2.66,0.32
1986-08-12,2.28,0.32
1986-08-14,2.19,0.32
1986-08-15,2.19,0.32
1986-08-16,2.09,0.32
1987-06-08,2.07,0.92
1987-06-09,2.06,0.92
1987-06-15,2.13,0.92
1987-06-16,2.25,0.92
1987-08-16,2.03,1.57
1987-08-17,2.04,1.57
1987-08-20,2.29,1.57
1987-08-21,2.41,1.57
1987-08-22,2.65,1.57
1987-08-23,2.62,1.57
1987-08-24,3.04,1.57
1987-08-25,2.88,1.57
1987-08-26,2.85,1.57
1987-08-27,2.55,1.57
1987-08-28,2.08,1.57
1987-08-29,2.1,1.57
1991-06-05,2.2,0.52
1991-06-06,2.51,0.52
1991-06-07,2.48,0.52
1991-06-08,2.39,0.52
1992-06-13,2.43,0.58
1992-06-14,2.21,0.58
1992-06-15,2.48,0.58
1992-06-16,2.56,0.58
1992-06-17,2.21,0.58
1992-06-18,2.03,0.58
1992-06-22,2.35,0.58
1993-06-07,2.11,0.35
1997-07-16,2.12,1.56
1997-07-17,2.28,1.56
1997-07-18,2.18,1.56
1997-07-21,2.22,1.56
1997-07-22,2.94,1.56
1997-07-23,3.07,1.56
1997-07-24,3.14,1.56
1997-07-25,2.76,1.56
1997-07-26,2.52,1.56
1997-07-27,2.56,1.56
1997-07-28,2.65,1.56
1997-07-29,2.91,1.56
1997-07-30,2.77,1.56
1997-07-31,2.48,1.56
1997-08-01,2.23,1.89
1997-08-03,2.06,1.89
1997-08-27,2.02,1.89
2002-06-29,2.01,0.72
2002-06-30,2.18,0.72
2002-07-01,2.18,0.74
2002-07-02,2.31,0.74
2002-07-03,2.47,0.74
2002-08-29,2.04,0.87
2006-06-29,2.15,0.0
2006-07-02,2.16,0.01
2014-06-13,2.22,0.23
2015-07-05,2.21,1.46
2015-07-07,2.03,1.46
2015-07-08,2.2,1.46
2015-07-09,2.14,1.46
2015-07-10,2.15,1.46
2015-07-11,2.33,1.46
2015-07-12,2.05,1.46
2015-08-06,2.11,1.93
2015-08-07,2.16,1.93
2015-08-08,2.32,1.93
2015-08-09,2.42,1.93
2015-08-10,2.34,1.93
2015-08-11,2.57,1.93
2015-08-12,2.25,1.93
2015-08-13,2.31,1.93
2015-08-14,2.1,1.93
