peak_date,peak_sigma,duration_d,nino34
1979-01-12,2.28,2,-0.13
1979-01-19,2.8,7,-0.13
1981-03-04,2.47,7,-0.64
1981-03-11,2.09,2,-0.64
1982-02-26,2.04,1,-0.17
1983-01-20,3.5,33,2.35
1983-02-27,2.53,5,1.94
1983-03-04,2.57,11,1.38
1983-03-31,2.22,2,1.38
1985-03-22,2.09,2,-0.79
1987-02-24,2.53,5,1.13
1988-02-18,2.14,1,0.28
1988-02-21,2.01,1,0.28
1988-02-29,2.07,2,0.28
1989-11-21,2.08,1,-0.45
1989-11-27,2.64,5,-0.45
1990-02-07,2.51,12,0.21
1992-01-22,2.74,9,1.84
1992-01-31,2.56,2,1.84
1992-03-21,2.8,13,1.38
1992-03-31,2.22,1,1.38
1994-12-30,2.27,1,1.25
1996-12-27,2.19,2,-0.64
1997-03-17,2.93,11,-0.25
1997-03-28,2.05,1,-0.25
1998-02-06,3.34,17,2.03
2001-02-28,2.16,2,-0.63
2001-12-22,2.25,2,-0.41
2001-12-28,2.17,4,-0.41
2002-12-12,2.01,1,1.37
2004-01-12,3.01,11,0.27
2005-03-01,3.13,14,0.45
2009-12-15,2.01,1,1.74
2010-02-02,2.53,3,1.25
2010-02-16,3.22,16,1.25
2016-01-05,2.45,9,2.57
2016-01-15,2.05,1,2.57
2016-03-05,2.35,5,1.62
2020-01-17,2.17,1,0.6
2020-01-22,2.34,2,0.6
