date,sigma,nino34
1979-01-11,2.11,-0.13
1979-01-12,2.28,-0.13
1979-01-18,2.6,-0.13
1979-01-19,2.8,-0.13
1979-01-20,2.42,-0.13
1979-01-21,2.25,-0.13
1979-01-23,2.15,-0.13
1979-01-24,2.18,-0.13
1979-01-25,2.29,-0.13
1981-03-01,2.06,-0.64
1981-03-02,2.35,-0.64
1981-03-03,2.31,-0.64
1981-03-04,2.47,-0.64
1981-03-05,2.08,-0.64
1981-03-06,2.18,-0.64
1981-03-07,2.16,-0.64
1981-03-10,2.01,-0.64
1981-03-11,2.09,-0.64
1982-02-26,2.04,-0.17
1983-01-16,2.26,2.35
1983-01-17,2.62,2.35
1983-01-18,2.81,2.35
1983-01-19,3.29,2.35
1983-01-20,3.5,2.35
1983-01-21,3.38,2.35
1983-01-22,3.02,2.35
1983-01-23,3.11,2.35
1983-01-24,2.71,2.35
1983-01-25,2.63,2.35
1983-01-26,2.27,2.35
1983-01-27,2.35,2.35
1983-01-28,2.35,2.35
1983-01-29,2.49,2.35
1983-01-30,2.87,2.35
1983-01-31,2.88,2.35
1983-02-01,2.87,1.94
1983-02-02,3.08,1.94
1983-02-03,2.67,1.94
1983-02-04,2.9,1.94
1983-02-05,2.74,1.94
1983-02-06,2.69,1.94
1983-02-07,2.85,1.94
1983-02-08,2.88,1.94
1983-02-09,3.03,1.94
1983-02-10,3.0,1.94
1983-02-11,2.98,1.94
1983-02-12,2.75,1.94
1983-02-13,2.45,1.94
1983-02-14,2.35,1.94
1983-02-15,2.21,1.94
1983-02-16,2.07,1.94
1983-02-17,2.22,1.94
1983-02-23,2.03,1.94
1983-02-24,2.14,1.94
1983-02-25,2.05,1.94
1983-02-26,2.52,1.94
1983-02-27,2.53,1.94
1983-03-02,2.07,1.38
1983-03-03,2.38,1.38
1983-03-04,2.57,1.38
1983-03-05,2.55,1.38
1983-03-06,2.36,1.38
1983-03-07,2.07,1.38
1983-03-08,2.27,1.38
1983-03-10,2.49,1.38
1983-03-11,2.25,1.38
1983-03-12,2.29,1.38
1983-03-14,2.03,1.38
1983-03-30,2.21,1.38
1983-03-31,2.22,1.38
1985-03-22,2.09,-0.79
1985-03-23,2.03,-0.79
1987-02-23,2.38,1.13
1987-02-24,2.53,1.13
1987-02-25,2.27,1.13
1987-02-27,2.16,1.13
1987-02-28,2.04,1.13
1988-02-18,2.14,0.28
1988-02-21,2.01,0.28
1988-02-29,2.07,0.28
1988-03-01,2.05,0.1
1989-11-21,2.08,-0.45
1989-11-25,2.07,-0.45
1989-11-26,2.39,-0.45
1989-11-27,2.64,-0.45
1989-11-28,2.44,-0.45
1989-11-29,2.13,-0.45
1990-02-03,2.1,0.21
1990-02-04,2.05,0.21
1990-02-05,2.36,0.21
1990-02-06,2.38,0.21
1990-02-07,2.51,0.21
1990-02-08,2.3,0.21
1990-02-09,2.23,0.21
1990-02-10,2.42,0.21
1990-02-12,2.05,0.21
1990-02-13,2.0,0.21
1990-02-15,2.26,0.21
1990-02-16,2.0,0.21
1992-01-17,2.2,1.84
1992-01-18,2.03,1.84
1992-01-20,2.04,1.84
1992-01-21,2.39,1.84
1992-01-22,2.74,1.84
1992-01-23,2.59,1.84
1992-01-24,2.45,1.84
1992-01-25,2.07,1.84
1992-01-26,2.08,1.84
1992-01-30,2.34,1.84
1992-01-31,2.56,1.84
1992-03-14,2.07,1.38
1992-03-16,2.13,1.38
1992-03-17,2.17,1.38
1992-03-18,2.23,1.38
1992-03-19,2.23,1.38
1992-03-20,2.61,1.38
1992-03-21,2.8,1.38
1992-03-22,2.77,1.38
1992-03-23,2.68,1.38
1992-03-24,2.59,1.38
1992-03-25,2.42,1.38
1992-03-26,2.36,1.38
1992-03-28,2.17,1.38
1992-03-31,2.22,1.38
1994-12-30,2.27,1.25
1996-12-27,2.19,-0.64
1996-12-28,2.06,-0.64
1997-03-14,2.1,-0.25
1997-03-15,2.43,-0.25
1997-03-16,2.75,-0.25
1997-03-17,2.93,-0.25
1997-03-18,2.65,-0.25
1997-03-19,2.72,-0.25
1997-03-20,2.24,-0.25
1997-03-21,2.51,-0.25
1997-03-22,2.74,-0.25
1997-03-23,2.68,-0.25
1997-03-24,2.22,-0.25
1997-03-28,2.05,-0.25
1998-01-24,2.14,2.38
1998-01-25,2.01,2.38
1998-01-26,2.45,2.38
1998-01-27,2.35,2.38
1998-01-28,2.42,2.38
1998-01-30,2.39,2.38
1998-01-31,2.42,2.38
1998-02-01,2.54,2.03
1998-02-02,3.06,2.03
1998-02-03,3.1,2.03
1998-02-04,3.09,2.03
1998-02-05,3.2,2.03
1998-02-06,3.34,2.03
1998-02-07,2.81,2.03
1998-02-08,2.47,2.03
1998-02-09,2.49,2.03
1998-02-10,2.18,2.03
2001-02-27,2.12,-0.63
2001-02-28,2.16,-0.63
2001-12-21,2.11,-0.41
2001-12-22,2.25,-0.41
2001-12-27,2.14,-0.41
2001-12-28,2.17,-0.41
2001-12-29,2.07,-0.41
2001-12-30,2.13,-0.41
