peak_date,peak_sigma,duration_d,nino34
1979-08-03,3.05,4,-0.1
1980-06-19,2.61,1,0.21
1983-06-07,2.39,1,0.54
1983-08-05,2.26,1,-0.27
1984-06-24,2.81,2,-0.9
1984-08-31,2.36,1,-0.24
1986-07-20,2.21,1,-0.11
1986-08-03,2.12,1,0.32
1987-06-05,2.06,1,0.92
1987-06-14,2.53,1,0.92
1987-08-11,2.4,2,1.57
1988-06-05,2.04,1,-1.74
1988-06-15,2.05,1,-1.74
1989-07-27,3.28,2,-0.57
1990-06-02,2.04,1,-0.08
1990-06-19,2.02,1,-0.08
1990-07-30,2.05,1,0.09
1991-08-14,2.37,1,0.68
1991-08-26,2.62,2,0.68
1992-06-26,2.5,3,0.58
1993-08-30,2.63,2,0.13
1994-07-01,2.02,1,0.24
1995-07-02,2.82,2,-0.21
1995-08-13,2.95,1,-0.63
1996-06-19,2.26,1,-0.44
1997-06-17,2.15,1,1.09
1997-07-10,2.09,1,1.56
1997-07-31,2.16,1,1.56
1997-08-15,2.25,1,1.89
2000-06-18,2.07,1,-0.79
2000-07-09,2.75,2,-0.67
2001-06-01,2.22,1,-0.19
2001-06-20,2.91,2,-0.19
2002-08-11,3.09,5,0.87
2002-08-17,2.97,2,0.87
