date,sigma,nino34
1979-07-31,2.09,-0.47
1979-08-01,2.01,-0.1
1979-08-02,2.52,-0.1
1979-08-03,3.08,-0.1
1980-06-19,2.63,0.21
1983-06-05,2.0,0.54
1983-06-07,2.44,0.54
1983-08-05,2.27,-0.27
1984-06-24,2.82,-0.9
1984-06-25,2.71,-0.9
1984-08-31,2.36,-0.24
1986-07-20,2.21,-0.11
1986-08-03,2.13,0.32
1987-06-05,2.11,0.92
1987-06-14,2.56,0.92
1987-08-11,2.42,1.57
1987-08-12,2.28,1.57
1988-06-05,2.09,-1.74
1988-06-15,2.07,-1.74
1989-07-27,3.3,-0.57
1989-07-28,2.47,-0.57
1990-06-02,2.1,-0.08
1990-06-19,2.03,-0.08
1990-07-30,2.05,0.09
1991-08-14,2.38,0.68
1991-08-26,2.62,0.68
1991-08-27,2.42,0.68
1992-06-25,2.25,0.58
1992-06-26,2.5,0.58
1992-06-27,2.34,0.58
1993-08-29,2.3,0.13
1993-08-30,2.63,0.13
1994-07-01,2.01,0.24
1995-07-01,2.78,-0.21
1995-07-02,2.82,-0.21
1995-08-13,2.97,-0.63
1996-06-19,2.28,-0.44
1997-06-17,2.17,1.09
1997-07-10,2.07,1.56
1997-07-31,2.16,1.56
1997-08-15,2.26,1.89
2000-06-18,2.08,-0.79
2000-07-09,2.75,-0.67
2000-07-10,2.31,-0.67
2001-06-01,2.28,-0.19
2001-06-20,2.93,-0.19
2001-06-21,2.06,-0.19
2002-08-09,2.22,0.87
2002-08-10,2.27,0.87
2002-08-11,3.12,0.87
2002-08-12,2.98,0.87
2002-08-13,2.54,0.87
2002-08-17,3.0,0.87
2002-08-18,2.4,0.87
2003-06-10,2.4,-0.29
2003-06-16,2.02,-0.29
2004-06-04,2.64,0.13
2004-06-10,2.28,0.13
2004-06-17,2.8,0.13
2007-06-19,2.33,-0.35
2008-06-14,2.91,-0.68
2008-06-15,2.36,-0.68
2008-08-01,2.33,-0.13
2008-08-07,2.24,-0.13
2008-08-08,2.51,-0.13
2008-08-09,3.03,-0.13
2008-08-12,2.05,-0.13
2010-07-25,2.41,-1.07
2010-08-04,2.27,-1.39
2010-08-21,2.06,-1.39
2010-08-22,2.31,-1.39
2011-06-11,2.06,-0.38
2011-07-12,2.43,-0.43
2012-08-21,3.04,0.47
2013-06-09,3.51,-0.42
2013-06-10,2.81,-0.42
2014-06-13,2.21,0.23
2014-06-20,2.11,0.23
2014-06-21,2.03,0.23
2014-07-12,2.12,-0.06
2014-08-13,2.06,-0.03
2015-07-09,3.0,1.46
2015-07-15,2.08,1.46
2015-08-19,2.43,1.93
2015-08-20,2.28,1.93
2016-06-15,2.86,-0.03
2018-06-08,2.28,0.04
2018-08-16,2.24,0.09
2019-06-30,2.26,0.45
2019-08-05,2.42,0.04
2020-06-13,2.03,-0.34
2021-06-16,2.08,-0.28
2021-08-26,2.4,-0.53
2022-07-21,2.36,-0.69
