peak_date,peak_sigma,duration_d,nino34
1979-01-30,2.28,1,-0.13
1979-11-17,2.6,1,0.29
1979-11-24,2.12,1,0.29
1979-11-30,3.01,1,0.29
1980-03-23,2.1,1,0.03
1980-12-11,2.37,1,0.05
1981-01-24,2.69,2,-0.36
1981-11-07,2.84,3,-0.41
1981-11-30,2.2,1,-0.41
1981-12-06,2.33,1,-0.2
1981-12-17,2.78,2,-0.2
1982-11-08,2.56,1,1.92
1982-12-16,2.27,1,2.2
1983-03-03,2.02,1,1.38
1983-03-16,2.4,1,1.38
1983-12-27,2.88,1,-1.03
1984-02-06,2.12,1,-0.19
1986-03-01,3.03,4,-0.42
1988-02-16,2.26,1,0.28
1988-03-06,3.2,1,0.1
1988-11-18,2.17,1,-2.05
1989-01-12,2.42,1,-1.97
1989-11-27,2.58,1,-0.45
1990-02-23,3.23,3,0.21
1990-11-08,3.36,2,0.1
1990-11-20,2.26,1,0.1
1990-11-29,2.81,2,0.1
1991-03-31,3.52,2,0.03
1991-12-27,2.77,1,1.69
1992-01-06,2.02,1,1.84
1992-02-21,2.07,1,1.78
1992-11-08,3.56,1,-0.28
1992-11-19,2.86,1,-0.28
1992-12-22,2.29,1,-0.15
1993-12-16,2.43,1,0.16
1993-12-20,2.46,1,0.16
1994-03-13,2.93,1,0.11
1994-03-22,2.65,1,0.11
1994-03-25,2.4,1,0.11
1995-02-03,2.33,1,0.73
1995-03-03,2.04,1,0.46
1995-03-17,2.22,1,0.46
1995-03-24,3.28,1,0.46
1996-01-07,2.25,1,-0.86
1996-02-08,2.2,1,-0.86
1996-02-19,3.09,2,-0.86
1996-03-26,2.15,1,-0.61
1997-12-01,2.01,1,2.29
1997-12-09,2.91,3,2.29
1998-01-27,2.03,1,2.38
1999-02-02,2.13,1,-1.32
1999-02-18,2.33,1,-1.32
2000-01-25,2.1,1,-1.77
2000-01-30,2.92,2,-1.77
2000-03-23,2.1,1,-0.98
2000-11-19,2.04,1,-0.79
2001-12-20,2.45,1,-0.41
2002-12-25,2.73,1,1.37
2003-02-18,2.06,1,0.64
2003-12-18,3.24,1,0.43
2004-01-23,3.2,1,0.27
2004-11-24,3.33,2,0.66
2004-12-30,2.1,2,0.74
2005-01-11,2.13,1,0.66
2005-02-18,2.32,1,0.36
2005-03-04,3.32,3,0.45
2005-03-23,3.39,2,0.45
2005-12-20,3.5,2,-0.92
2006-02-16,2.56,1,-0.67
2006-03-12,3.18,2,-0.71
2006-12-15,2.12,1,1.14
2007-01-31,2.78,1,0.7
2007-03-19,2.23,1,-0.18
2008-01-23,2.7,1,-1.68
2008-11-26,2.23,1,-0.46
2008-12-04,2.11,1,-0.86
2009-11-01,3.26,1,1.46
2009-11-16,2.94,1,1.46
2009-11-20,2.62,1,1.46
2010-03-08,2.75,1,0.9
2010-03-25,2.21,1,0.9
2010-12-06,2.36,1,-1.6
2010-12-15,2.58,1,-1.6
2011-01-14,3.43,1,-1.54
2011-01-28,2.12,1,-1.54
2011-03-14,2.78,1,-0.93
2011-03-24,2.82,4,-0.93
2011-11-07,2.51,1,-1.19
2011-12-08,2.19,2,-1.06
2011-12-23,2.02,1,-1.06
2012-01-03,2.13,1,-0.87
2012-03-30,2.94,1,-0.61
2012-12-22,2.22,1,-0.25
2012-12-29,2.37,1,-0.25
2013-01-02,2.18,1,-0.53
2013-02-21,2.02,1,-0.52
2014-12-15,2.05,1,0.71
2015-01-08,2.13,1,0.51
2015-03-23,2.39,1,0.47
2015-12-15,2.56,1,2.66
2016-01-23,2.95,3,2.57
2016-02-06,2.91,1,2.26
2016-02-19,2.23,1,2.26
2016-02-25,2.68,1,2.26
2016-03-23,2.52,2,1.62
2018-02-02,2.11,1,-0.78
2018-12-28,2.08,1,0.89
2019-01-20,2.62,1,0.65
2019-03-14,2.08,1,0.81
2019-12-04,2.08,1,0.52
2020-12-29,2.41,1,-1.15
2021-01-16,2.79,1,-1.0
2021-03-21,2.76,2,-0.8
2021-12-25,2.55,1,-1.06
2022-02-04,2.3,1,-0.89
2022-02-21,2.7,2,-0.89
2022-03-31,2.83,1,-0.97
2022-12-16,2.79,2,-0.85
