date,sigma,nino34
1979-01-30,2.28,-0.13
1979-11-17,2.6,0.29
1979-11-24,2.12,0.29
1979-11-30,3.01,0.29
1980-03-23,2.1,0.03
1980-12-11,2.37,0.05
1981-01-24,2.69,-0.36
1981-01-25,2.18,-0.36
1981-11-06,2.07,-0.41
1981-11-07,2.84,-0.41
1981-11-08,2.69,-0.41
1981-11-30,2.2,-0.41
1981-12-06,2.33,-0.2
1981-12-17,2.78,-0.2
1981-12-18,2.24,-0.2
1982-11-08,2.56,1.92
1982-12-16,2.27,2.2
1983-03-03,2.02,1.38
1983-03-16,2.4,1.38
1983-12-27,2.88,-1.03
1984-02-06,2.12,-0.19
1986-02-27,2.16,-0.71
1986-02-28,2.35,-0.71
1986-03-01,3.03,-0.42
1986-03-02,2.52,-0.42
1988-02-16,2.26,0.28
1988-03-06,3.2,0.1
1988-11-18,2.17,-2.05
1989-01-12,2.42,-1.97
1989-11-27,2.58,-0.45
1990-02-22,2.2,0.21
1990-02-23,3.23,0.21
1990-02-24,2.04,0.21
1990-11-08,3.36,0.1
1990-11-09,2.25,0.1
1990-11-20,2.26,0.1
1990-11-29,2.81,0.1
1990-11-30,2.36,0.1
1991-03-30,2.11,0.03
1991-03-31,3.52,0.03
1991-12-27,2.77,1.69
1992-01-06,2.02,1.84
1992-02-21,2.07,1.78
1992-11-08,3.56,-0.28
1992-11-19,2.86,-0.28
1992-12-22,2.29,-0.15
1993-12-16,2.43,0.16
1993-12-20,2.46,0.16
1994-03-13,2.93,0.11
1994-03-22,2.65,0.11
1994-03-25,2.4,0.11
1995-02-03,2.33,0.73
1995-03-03,2.04,0.46
1995-03-17,2.22,0.46
1995-03-24,3.28,0.46
1996-01-07,2.25,-0.86
1996-02-08,2.2,-0.86
1996-02-19,3.09,-0.86
1996-02-20,2.97,-0.86
1996-03-26,2.15,-0.61
1997-12-01,2.01,2.29
1997-12-07,2.09,2.29
1997-12-08,2.01,2.29
1997-12-09,2.91,2.29
1998-01-27,2.03,2.38
1999-02-02,2.13,-1.32
1999-02-18,2.33,-1.32
2000-01-25,2.1,-1.77
2000-01-29,2.29,-1.77
2000-01-30,2.92,-1.77
2000-03-23,2.1,-0.98
2000-11-19,2.04,-0.79
2001-12-20,2.45,-0.41
2002-12-25,2.73,1.37
2003-02-18,2.06,0.64
2003-12-18,3.24,0.43
2004-01-23,3.2,0.27
2004-11-24,3.33,0.66
2004-11-25,2.23,0.66
2004-12-30,2.1,0.74
2004-12-31,2.1,0.74
2005-01-11,2.13,0.66
2005-02-18,2.32,0.36
2005-03-02,2.79,0.45
2005-03-03,2.83,0.45
2005-03-04,3.32,0.45
2005-03-23,3.39,0.45
2005-03-24,2.08,0.45
2005-12-20,3.5,-0.92
2005-12-21,2.84,-0.92
2006-02-16,2.56,-0.67
2006-03-12,3.18,-0.71
2006-03-13,2.4,-0.71
2006-12-15,2.12,1.14
2007-01-31,2.78,0.7
2007-03-19,2.23,-0.18
2008-01-23,2.7,-1.68
2008-11-26,2.23,-0.46
2008-12-04,2.11,-0.86
2009-11-01,3.26,1.46
2009-11-16,2.94,1.46
2009-11-20,2.62,1.46
2010-03-08,2.75,0.9
2010-03-25,2.21,0.9
2010-12-06,2.36,-1.6
2010-12-15,2.58,-1.6
2011-01-14,3.43,-1.54
2011-01-28,2.12,-1.54
2011-03-14,2.78,-0.93
2011-03-24,2.82,-0.93
2011-03-25,2.31,-0.93
2011-03-27,2.45,-0.93
2011-03-28,2.41,-0.93
2011-11-07,2.51,-1.19
2011-12-08,2.19,-1.06
2011-12-09,2.1,-1.06
2011-12-23,2.02,-1.06
2012-01-03,2.13,-0.87
2012-03-30,2.94,-0.61
2012-12-22,2.22,-0.25
2012-12-29,2.37,-0.25
2013-01-02,2.18,-0.53
2013-02-21,2.02,-0.52
2014-12-15,2.05,0.71
2015-01-08,2.13,0.51
2015-03-23,2.39,0.47
2015-12-15,2.56,2.66
2016-01-22,2.0,2.57
2016-01-23,2.95,2.57
2016-01-24,2.94,2.57
2016-02-06,2.91,2.26
2016-02-19,2.23,2.26
2016-02-25,2.68,2.26
2016-03-23,2.52,1.62
2016-03-24,2.11,1.62
2018-02-02,2.11,-0.78
2018-12-28,2.08,0.89
2019-01-20,2.62,0.65
2019-03-14,2.08,0.81
2019-12-04,2.08,0.52
2020-12-29,2.41,-1.15
2021-01-16,2.79,-1.0
2021-03-20,2.6,-0.8
2021-03-21,2.76,-0.8
2021-12-25,2.55,-1.06
2022-02-04,2.3,-0.89
2022-02-21,2.7,-0.89
2022-02-22,2.2,-0.89
2022-03-31,2.83,-0.97
2022-12-16,2.79,-0.85
2022-12-17,2.25,-0.85
