peak_date,peak_sigma,duration_d,nino34
1979-06-10,2.06,1,-0.29
1979-07-16,2.52,1,-0.47
1979-08-14,2.02,1,-0.1
1980-06-08,2.42,1,0.21
1982-06-30,2.23,1,0.53
1983-07-05,2.06,1,-0.11
1984-06-13,2.08,1,-0.9
1985-06-12,2.0,1,-0.91
1985-06-18,2.06,1,-0.91
1987-06-04,2.68,2,0.92
1987-08-23,2.0,1,1.57
1988-06-03,2.21,1,-1.74
1988-06-15,2.73,1,-1.74
1988-06-25,2.23,1,-1.74
1988-07-20,2.27,1,-1.74
1989-07-26,2.01,1,-0.57
1990-06-22,2.71,1,-0.08
1990-07-05,2.38,1,0.09
1990-07-12,2.52,1,0.09
1990-08-05,2.18,1,0.22
1992-08-12,2.27,1,0.05
1993-06-05,2.13,1,0.35
1994-08-31,2.45,1,0.53
1995-06-11,2.06,1,-0.14
1995-06-30,2.58,1,-0.14
1996-06-26,2.05,1,-0.44
1997-06-04,2.3,2,1.09
1997-07-28,2.07,1,1.56
1999-06-16,2.48,4,-1.19
2000-06-02,2.45,1,-0.79
2000-06-05,2.88,1,-0.79
2001-06-27,2.2,1,-0.19
2003-06-18,2.16,1,-0.29
2003-06-29,2.26,1,-0.29
2004-06-03,2.23,1,0.13
2004-06-18,2.61,1,0.13
2004-07-24,2.51,2,0.49
2005-06-21,2.25,1,0.04
2005-07-22,2.15,1,-0.23
2006-06-01,2.46,1,0.0
2006-06-12,2.34,1,0.0
2006-06-26,2.21,2,0.0
2007-06-28,2.08,1,-0.35
2007-08-29,2.19,2,-0.72
2008-06-21,2.64,1,-0.68
2008-06-29,2.02,1,-0.68
2009-06-03,2.4,1,0.31
2010-08-25,2.39,1,-1.39
2011-06-28,2.66,1,-0.38
2011-07-02,2.08,1,-0.43
2012-06-21,2.23,1,0.02
2013-07-01,2.4,1,-0.39
2014-07-02,2.82,1,-0.06
2015-06-15,2.16,1,1.18
2015-08-29,2.06,1,1.93
2016-08-31,2.11,2,-0.58
2017-06-08,2.29,2,0.34
2017-06-25,3.02,1,0.34
2018-06-03,2.02,1,0.04
2018-07-05,2.86,2,0.12
2019-06-10,2.16,1,0.45
2019-07-22,2.36,1,0.35
2020-06-12,2.74,1,-0.34
2021-06-13,2.01,1,-0.28
2021-06-29,2.66,3,-0.28
2022-06-03,2.05,1,-0.75
2022-06-17,2.48,1,-0.75
2022-06-26,2.21,1,-0.75
