date,sigma,nino34
1979-06-10,2.06,-0.29
1979-07-16,2.52,-0.47
1979-08-14,2.02,-0.1
1980-06-08,2.42,0.21
1982-06-30,2.23,0.53
1983-07-05,2.06,-0.11
1984-06-13,2.08,-0.9
1985-06-12,2.0,-0.91
1985-06-18,2.06,-0.91
1987-06-04,2.68,0.92
1987-06-05,2.23,0.92
1987-08-23,2.0,1.57
1988-06-03,2.21,-1.74
1988-06-15,2.73,-1.74
1988-06-25,2.23,-1.74
1988-07-20,2.27,-1.74
1989-07-26,2.01,-0.57
1990-06-22,2.71,-0.08
1990-07-05,2.38,0.09
1990-07-12,2.52,0.09
1990-08-05,2.18,0.22
1992-08-12,2.27,0.05
1993-06-05,2.13,0.35
1994-08-31,2.45,0.53
1995-06-11,2.06,-0.14
1995-06-30,2.58,-0.14
1996-06-26,2.05,-0.44
1997-06-03,2.28,1.09
1997-06-04,2.3,1.09
1997-07-28,2.07,1.56
1999-06-13,2.06,-1.19
1999-06-14,2.46,-1.19
1999-06-15,2.43,-1.19
1999-06-16,2.48,-1.19
2000-06-02,2.45,-0.79
2000-06-05,2.88,-0.79
2001-06-27,2.2,-0.19
2003-06-18,2.16,-0.29
2003-06-29,2.26,-0.29
2004-06-03,2.23,0.13
2004-06-18,2.61,0.13
2004-07-23,2.14,0.49
2004-07-24,2.51,0.49
2005-06-21,2.25,0.04
2005-07-22,2.15,-0.23
2006-06-01,2.46,0.0
2006-06-12,2.34,0.0
2006-06-25,2.15,0.0
2006-06-26,2.21,0.0
2007-06-28,2.08,-0.35
2007-08-29,2.19,-0.72
2007-08-30,2.15,-0.72
2008-06-21,2.64,-0.68
2008-06-29,2.02,-0.68
2009-06-03,2.4,0.31
2010-08-25,2.39,-1.39
2011-06-28,2.66,-0.38
2011-07-02,2.08,-0.43
2012-06-21,2.23,0.02
2013-07-01,2.4,-0.39
2014-07-02,2.82,-0.06
2015-06-15,2.16,1.18
2015-08-29,2.06,1.93
2016-08-30,2.01,-0.58
2016-08-31,2.11,-0.58
2017-06-07,2.22,0.34
2017-06-08,2.29,0.34
2017-06-25,3.02,0.34
2018-06-03,2.02,0.04
2018-07-05,2.86,0.12
2018-07-06,2.0,0.12
2019-06-10,2.16,0.45
2019-07-22,2.36,0.35
2020-06-12,2.74,-0.34
2021-06-13,2.01,-0.28
2021-06-28,2.6,-0.28
2021-06-29,2.66,-0.28
2021-06-30,2.2,-0.28
2022-06-03,2.05,-0.75
2022-06-17,2.48,-0.75
2022-06-26,2.21,-0.75
