peak_date,peak_sigma,duration_d,nino34
1979-01-14,2.04,1,-0.13
1979-02-16,3.05,1,-0.22
1979-12-24,2.12,1,0.52
1980-01-12,2.32,1,0.54
1980-02-14,2.47,1,0.22
1980-12-02,2.63,1,0.05
1980-12-19,2.48,2,0.05
1980-12-24,2.15,1,0.05
1981-01-17,2.4,2,-0.36
1981-12-09,2.47,1,-0.2
1982-01-10,2.31,1,0.13
1982-01-21,2.72,1,0.13
1982-02-25,2.14,2,-0.17
1982-03-01,2.2,1,0.13
1982-12-08,2.52,1,2.2
1983-01-24,2.25,1,2.35
1983-11-10,2.06,1,-1.29
1983-12-24,3.78,2,-1.03
1984-01-14,2.43,1,-0.67
1984-02-28,2.22,1,-0.19
1984-11-02,2.42,1,-1.19
1985-12-02,3.68,1,-0.41
1986-11-18,2.16,1,1.01
1987-03-04,2.07,1,0.98
1987-12-16,2.24,1,0.94
1990-01-12,2.65,1,0.01
1991-12-18,2.38,1,1.69
1992-02-10,2.3,2,1.78
1992-12-28,3.77,2,-0.15
1993-01-10,2.58,1,0.14
1993-01-13,2.37,1,0.14
1993-02-05,2.13,2,0.41
1993-02-08,2.08,1,0.41
1994-02-17,2.85,1,0.06
1994-02-21,2.29,1,0.06
1994-11-25,2.01,1,1.11
1995-01-04,2.1,1,1.02
1995-01-25,2.06,1,1.02
1995-03-08,2.3,2,0.46
1995-12-12,2.88,2,-0.95
1996-01-27,2.15,1,-0.86
1996-02-28,2.14,1,-0.86
1996-11-17,2.01,1,-0.41
1997-01-13,3.11,2,-0.53
1997-11-10,2.41,1,2.41
1997-11-26,2.37,1,2.41
1998-02-03,3.31,3,2.03
1998-03-11,2.17,1,1.34
1999-02-21,2.47,1,-1.32
1999-11-29,2.57,1,-1.58
2000-01-16,2.76,3,-1.77
2000-02-04,2.33,1,-1.55
2000-11-29,2.53,1,-0.79
2001-03-24,2.51,2,-0.48
2001-11-28,2.34,1,-0.37
2002-01-02,2.26,1,-0.15
2002-03-21,2.48,2,0.01
2002-12-16,2.01,1,1.37
2003-03-13,2.04,1,0.36
2003-12-01,2.06,1,0.43
2003-12-05,3.3,1,0.43
2004-03-21,2.28,1,0.12
2004-12-13,2.37,1,0.74
2004-12-29,2.25,1,0.74
2005-01-04,2.06,1,0.66
2005-01-08,2.09,1,0.66
2005-12-18,2.17,1,-0.92
2006-01-25,2.24,1,-0.91
2006-02-17,2.25,1,-0.67
2006-02-26,2.01,1,-0.67
2006-03-03,2.55,1,-0.71
2006-03-17,2.21,1,-0.71
2006-11-19,2.78,1,0.99
2007-02-22,2.07,1,0.13
2007-11-15,2.03,1,-1.54
2008-01-02,3.3,2,-1.68
2008-11-20,3.21,1,-0.46
2008-12-15,2.31,1,-0.86
2009-03-01,2.65,1,-0.69
2010-01-07,2.07,1,1.52
2010-01-21,2.61,1,1.52
2010-12-18,2.07,1,-1.6
2010-12-22,3.17,1,-1.6
2010-12-25,2.91,1,-1.6
2011-01-12,2.78,1,-1.54
2011-02-19,2.05,1,-1.11
2011-03-02,2.43,1,-0.93
2011-03-21,2.13,1,-0.93
2011-03-24,2.3,1,-0.93
2012-01-02,2.73,1,-0.87
2012-02-07,2.63,1,-0.67
2012-02-11,2.2,1,-0.67
2012-12-04,2.12,1,-0.25
2013-02-19,2.05,1,-0.52
2013-03-06,2.11,1,-0.25
2013-03-20,2.54,1,-0.25
2013-11-12,2.21,1,-0.14
2013-11-23,2.66,1,-0.14
2014-03-01,2.78,2,-0.28
2014-03-25,2.06,1,-0.28
2014-11-13,2.69,2,0.75
2014-12-06,2.12,1,0.71
2014-12-16,2.2,1,0.71
2015-01-07,2.73,1,0.51
2015-02-27,2.01,1,0.42
2016-01-04,2.16,1,2.57
2016-11-19,3.11,1,-0.76
2016-12-08,2.79,1,-0.5
2017-01-07,2.62,1,-0.43
2017-02-03,2.24,1,-0.08
2017-03-21,2.17,1,0.03
2017-11-09,2.13,1,-0.97
2017-11-26,2.08,1,-0.97
2018-01-16,2.41,2,-0.98
2018-03-13,2.13,1,-0.8
2018-03-22,2.6,1,-0.8
2019-01-09,3.23,1,0.65
2019-01-17,2.09,1,0.65
2019-02-04,2.02,1,0.71
2019-02-09,2.71,1,0.71
2019-03-06,2.37,1,0.81
2019-11-27,3.15,2,0.52
2020-01-16,4.13,1,0.6
2020-01-20,2.39,1,0.6
2020-03-14,2.08,1,0.48
2020-11-17,3.05,1,-1.42
2021-01-27,2.6,2,-1.0
2021-02-14,2.49,2,-1.0
2021-11-09,2.17,1,-0.94
2022-01-03,2.16,1,-0.94
2022-11-07,3.05,1,-0.9
2022-11-30,2.47,1,-0.9
2022-12-10,2.04,1,-0.85
2022-12-23,2.79,1,-0.85
