date,sigma,nino34
1979-01-14,2.04,-0.13
1979-02-16,3.05,-0.22
1979-12-24,2.12,0.52
1980-01-12,2.32,0.54
1980-02-14,2.47,0.22
1980-12-02,2.63,0.05
1980-12-19,2.48,0.05
1980-12-20,2.24,0.05
1980-12-24,2.15,0.05
1981-01-16,2.33,-0.36
1981-01-17,2.4,-0.36
1981-12-09,2.47,-0.2
1982-01-10,2.31,0.13
1982-01-21,2.72,0.13
1982-02-25,2.14,-0.17
1982-02-26,2.06,-0.17
1982-03-01,2.2,0.13
1982-12-08,2.52,2.2
1983-01-24,2.25,2.35
1983-11-10,2.06,-1.29
1983-12-24,3.78,-1.03
1983-12-25,2.98,-1.03
1984-01-14,2.43,-0.67
1984-02-28,2.22,-0.19
1984-11-02,2.42,-1.19
1985-12-02,3.68,-0.41
1986-11-18,2.16,1.01
1987-03-04,2.07,0.98
1987-12-16,2.24,0.94
1990-01-12,2.65,0.01
1991-12-18,2.38,1.69
1992-02-10,2.3,1.78
1992-02-11,2.04,1.78
1992-12-28,3.77,-0.15
1992-12-29,2.71,-0.15
1993-01-10,2.58,0.14
1993-01-13,2.37,0.14
1993-02-04,2.03,0.41
1993-02-05,2.13,0.41
1993-02-08,2.08,0.41
1994-02-17,2.85,0.06
1994-02-21,2.29,0.06
1994-11-25,2.01,1.11
1995-01-04,2.1,1.02
1995-01-25,2.06,1.02
1995-03-08,2.3,0.46
1995-03-09,2.11,0.46
1995-12-10,2.31,-0.95
1995-12-12,2.88,-0.95
1996-01-27,2.15,-0.86
1996-02-28,2.14,-0.86
1996-11-17,2.01,-0.41
1997-01-12,2.71,-0.53
1997-01-13,3.11,-0.53
1997-11-10,2.41,2.41
1997-11-26,2.37,2.41
1998-02-03,3.31,2.03
1998-02-04,2.35,2.03
1998-02-06,2.3,2.03
1998-03-11,2.17,1.34
1999-02-21,2.47,-1.32
1999-11-29,2.57,-1.58
2000-01-13,2.07,-1.77
2000-01-14,2.07,-1.77
2000-01-16,2.76,-1.77
2000-02-04,2.33,-1.55
2000-11-29,2.53,-0.79
2001-03-24,2.51,-0.48
2001-03-25,2.5,-0.48
2001-11-28,2.34,-0.37
2002-01-02,2.26,-0.15
2002-03-21,2.48,0.01
2002-03-22,2.11,0.01
2002-12-16,2.01,1.37
2003-03-13,2.04,0.36
2003-12-01,2.06,0.43
2003-12-05,3.3,0.43
2004-03-21,2.28,0.12
2004-12-13,2.37,0.74
2004-12-29,2.25,0.74
2005-01-04,2.06,0.66
2005-01-08,2.09,0.66
2005-12-18,2.17,-0.92
2006-01-25,2.24,-0.91
2006-02-17,2.25,-0.67
2006-02-26,2.01,-0.67
2006-03-03,2.55,-0.71
2006-03-17,2.21,-0.71
2006-11-19,2.78,0.99
2007-02-22,2.07,0.13
2007-11-15,2.03,-1.54
2008-01-01,2.01,-1.68
2008-01-02,3.3,-1.68
2008-11-20,3.21,-0.46
2008-12-15,2.31,-0.86
2009-03-01,2.65,-0.69
2010-01-07,2.07,1.52
2010-01-21,2.61,1.52
2010-12-18,2.07,-1.6
2010-12-22,3.17,-1.6
2010-12-25,2.91,-1.6
2011-01-12,2.78,-1.54
2011-02-19,2.05,-1.11
2011-03-02,2.43,-0.93
2011-03-21,2.13,-0.93
2011-03-24,2.3,-0.93
2012-01-02,2.73,-0.87
2012-02-07,2.63,-0.67
2012-02-11,2.2,-0.67
2012-12-04,2.12,-0.25
2013-02-19,2.05,-0.52
2013-03-06,2.11,-0.25
2013-03-20,2.54,-0.25
2013-11-12,2.21,-0.14
2013-11-23,2.66,-0.14
2014-03-01,2.78,-0.28
2014-03-02,2.34,-0.28
2014-03-25,2.06,-0.28
2014-11-12,2.37,0.75
2014-11-13,2.69,0.75
2014-12-06,2.12,0.71
2014-12-16,2.2,0.71
2015-01-07,2.73,0.51
2015-02-27,2.01,0.42
2016-01-04,2.16,2.57
2016-11-19,3.11,-0.76
2016-12-08,2.79,-0.5
2017-01-07,2.62,-0.43
2017-02-03,2.24,-0.08
2017-03-21,2.17,0.03
2017-11-09,2.13,-0.97
2017-11-26,2.08,-0.97
2018-01-15,2.04,-0.98
2018-01-16,2.41,-0.98
2018-03-13,2.13,-0.8
2018-03-22,2.6,-0.8
2019-01-09,3.23,0.65
2019-01-17,2.09,0.65
2019-02-04,2.02,0.71
2019-02-09,2.71,0.71
2019-03-06,2.37,0.81
2019-11-27,3.15,0.52
2019-11-28,2.91,0.52
2020-01-16,4.13,0.6
2020-01-20,2.39,0.6
2020-03-14,2.08,0.48
2020-11-17,3.05,-1.42
2021-01-27,2.6,-1.0
2021-01-28,2.6,-1.0
2021-02-13,2.41,-1.0
2021-02-14,2.49,-1.0
2021-11-09,2.17,-0.94
2022-01-03,2.16,-0.94
2022-11-07,3.05,-0.9
2022-11-30,2.47,-0.9
2022-12-10,2.04,-0.85
2022-12-23,2.79,-0.85
