peak_date,peak_sigma,duration_d,nino34
1979-06-14,2.62,1,-0.29
1980-08-11,2.43,1,-0.38
1982-08-10,2.41,1,0.73
1982-08-19,2.05,1,0.73
1983-07-18,2.51,2,-0.11
1983-07-31,2.06,1,-0.11
1984-07-29,2.13,1,-0.5
1984-08-14,2.07,1,-0.24
1985-08-17,2.09,1,-0.56
1986-06-19,2.71,1,-0.31
1987-08-06,2.21,1,1.57
1987-08-20,2.36,1,1.57
1988-07-10,2.54,2,-1.74
1989-07-05,2.3,1,-0.57
1990-07-21,2.21,2,0.09
1991-06-06,2.18,1,0.52
1991-08-26,2.33,1,0.68
1993-07-29,2.41,1,0.23
1994-07-09,2.47,1,0.24
1997-07-07,2.35,1,1.56
1997-07-17,2.06,1,1.56
1997-07-20,2.01,1,1.56
1998-06-24,2.28,1,-0.39
1998-08-29,2.49,1,-1.28
1999-06-02,2.04,1,-1.19
1999-08-15,2.82,2,-1.22
2000-06-17,2.29,1,-0.79
2000-07-05,2.12,2,-0.67
2001-06-20,2.63,1,-0.19
2001-06-26,2.18,1,-0.19
2001-08-03,2.0,1,-0.05
2001-08-09,2.08,1,-0.05
2002-06-21,4.26,4,0.72
2002-07-01,2.23,1,0.74
2003-07-12,3.29,2,0.21
2003-07-16,3.11,1,0.21
2004-06-03,2.29,2,0.13
2005-07-06,2.77,2,-0.23
2005-07-22,2.44,1,-0.23
2005-08-07,2.07,1,-0.05
2006-06-21,2.0,1,0.0
2006-06-26,2.45,1,0.0
2006-07-14,2.09,1,0.01
2006-08-20,2.37,1,0.31
2007-06-19,2.38,1,-0.35
2007-08-02,2.16,1,-0.72
2007-08-17,2.32,1,-0.72
2008-06-09,2.16,1,-0.68
2008-06-16,2.04,1,-0.68
2009-07-17,2.15,1,0.48
2009-08-06,2.19,1,0.56
2010-07-16,2.9,2,-1.07
2010-08-05,2.4,2,-1.39
2011-08-03,2.24,1,-0.65
2013-06-10,2.48,1,-0.42
2015-06-18,3.38,3,1.18
2015-06-23,2.22,1,1.18
2015-08-29,2.2,1,1.93
2017-07-01,2.32,1,0.25
2018-07-05,2.55,1,0.12
2018-07-09,2.86,2,0.12
2018-07-16,2.17,1,0.12
2020-06-13,2.16,1,-0.34
2020-07-31,2.19,1,-0.3
2022-08-29,2.17,1,-0.97
