date,sigma,nino34
1979-06-14,2.62,-0.29
1980-08-11,2.43,-0.38
1982-08-10,2.41,0.73
1982-08-19,2.05,0.73
1983-07-17,2.19,-0.11
1983-07-18,2.51,-0.11
1983-07-31,2.06,-0.11
1984-07-29,2.13,-0.5
1984-08-14,2.07,-0.24
1985-08-17,2.09,-0.56
1986-06-19,2.71,-0.31
1987-08-06,2.21,1.57
1987-08-20,2.36,1.57
1988-07-10,2.54,-1.74
1988-07-11,2.43,-1.74
1989-07-05,2.3,-0.57
1990-07-21,2.21,0.09
1990-07-22,2.13,0.09
1991-06-06,2.18,0.52
1991-08-26,2.33,0.68
1993-07-29,2.41,0.23
1994-07-09,2.47,0.24
1997-07-07,2.35,1.56
1997-07-17,2.06,1.56
1997-07-20,2.01,1.56
1998-06-24,2.28,-0.39
1998-08-29,2.49,-1.28
1999-06-02,2.04,-1.19
1999-08-14,2.75,-1.22
1999-08-15,2.82,-1.22
2000-06-17,2.29,-0.79
2000-07-04,2.05,-0.67
2000-07-05,2.12,-0.67
2001-06-20,2.63,-0.19
2001-06-26,2.18,-0.19
2001-08-03,2.0,-0.05
2001-08-09,2.08,-0.05
2002-06-20,2.15,0.72
2002-06-21,4.26,0.72
2002-06-22,4.23,0.72
2002-06-23,2.15,0.72
2002-07-01,2.23,0.74
2003-07-12,3.29,0.21
2003-07-13,2.06,0.21
2003-07-16,3.11,0.21
2004-06-02,2.17,0.13
2004-06-03,2.29,0.13
2005-07-05,2.35,-0.23
2005-07-06,2.77,-0.23
2005-07-22,2.44,-0.23
2005-08-07,2.07,-0.05
2006-06-21,2.0,0.0
2006-06-26,2.45,0.0
2006-07-14,2.09,0.01
2006-08-20,2.37,0.31
2007-06-19,2.38,-0.35
2007-08-02,2.16,-0.72
2007-08-17,2.32,-0.72
2008-06-09,2.16,-0.68
2008-06-16,2.04,-0.68
2009-07-17,2.15,0.48
2009-08-06,2.19,0.56
2010-07-16,2.9,-1.07
2010-07-17,2.34,-1.07
2010-08-04,2.23,-1.39
2010-08-05,2.4,-1.39
2011-08-03,2.24,-0.65
2013-06-10,2.48,-0.42
2015-06-18,3.38,1.18
2015-06-19,2.76,1.18
2015-06-20,2.43,1.18
2015-06-23,2.22,1.18
2015-08-29,2.2,1.93
2017-07-01,2.32,0.25
2018-07-05,2.55,0.12
2018-07-08,2.83,0.12
2018-07-09,2.86,0.12
2018-07-16,2.17,0.12
2020-06-13,2.16,-0.34
2020-07-31,2.19,-0.3
2022-08-29,2.17,-0.97
