date,mm,src
2001-01-01,6.67,power
2001-01-02,2.18,power
2001-01-03,0.61,power
2001-01-04,0.18,power
2001-01-05,0.2,power
2001-01-06,0.03,power
2001-01-07,0.03,power
2001-01-08,0.08,power
2001-01-09,0.17,power
2001-01-10,0.12,power
2001-01-11,0.1,power
2001-01-12,0.21,power
2001-01-13,0.1,power
2001-01-14,0.22,power
2001-01-15,0.05,power
2001-01-16,0.02,power
2001-01-17,0.29,power
2001-01-18,1.44,power
2001-01-19,12.49,power
2001-01-20,4.04,power
2001-01-21,0.23,power
2001-01-22,0.36,power
2001-01-23,0.38,power
2001-01-24,0.07,power
2001-01-25,0.28,power
2001-01-26,0.09,power
2001-01-27,0.01,power
2001-01-28,0.02,power
2001-01-29,0.01,power
2001-01-30,0.01,power
2001-01-31,0.03,power
2001-02-01,0.04,power
2001-02-02,0.06,power
2001-02-03,0.04,power
2001-02-04,0.04,power
2001-02-05,0.01,power
2001-02-06,0.01,power
2001-02-07,0.08,power
2001-02-08,0.1,power
2001-02-09,0.12,power
2001-02-10,0.2,power
2001-02-11,0.08,power
2001-02-12,0.11,power
2001-02-13,0.2,power
2001-02-14,0.11,power
2001-02-15,0.15,power
2001-02-16,0.16,power
2001-02-17,0.14,power
2001-02-18,0.34,power
2001-02-19,0.15,power
2001-02-20,0.12,power
2001-02-21,0.11,power
2001-02-22,0.06,power
2001-02-23,0.09,power
2001-02-24,0.17,power
2001-02-25,0.3,power
2001-02-26,0.4,power
2001-02-27,0.18,power
2001-02-28,0.03,power
2001-03-01,0.15,power
2001-03-02,0.01,power
2001-03-03,0.01,power
2001-03-04,0.01,power
2001-03-05,0.1,power
2001-03-06,0.38,power
2001-03-07,0.5,power
2001-03-08,0.19,power
2001-03-09,0.35,power
2001-03-10,0.06,power
2001-03-11,0.04,power
2001-03-12,0.01,power
2001-03-13,0.04,power
2001-03-14,0.06,power
2001-03-15,0.03,power
2001-03-16,0.18,power
2001-03-17,0.08,power
2001-03-18,0.05,power
2001-03-19,0.03,power
2001-03-20,0.4,power
2001-03-21,0.45,power
2001-03-22,0.93,power
2001-03-23,0.19,power
2001-03-24,0.3,power
2001-03-25,0.27,power
2001-03-26,1.82,power
2001-03-27,1.31,power
2001-03-28,0.38,power
2001-03-29,0.13,power
2001-03-30,0.11,power
2001-03-31,7.25,power
2001-04-01,1.81,power
2001-04-02,0.08,power
2001-04-03,0.21,power
2001-04-04,0.21,power
2001-04-05,0.3,power
2001-04-06,0.16,power
2001-04-07,0.81,power
2001-04-08,1.33,power
2001-04-09,0.36,power
2001-04-10,0.23,power
2001-04-11,0.76,power
2001-04-12,0.55,power
2001-04-13,1.08,power
2001-04-14,0.36,power
2001-04-15,1.69,power
2001-04-16,1.15,power
2001-04-17,1.03,power
2001-04-18,5.8,power
2001-04-19,0.81,power
2001-04-20,0.8,power
2001-04-21,0.39,power
2001-04-22,0.2,power
2001-04-23,0.09,power
2001-04-24,0.18,power
2001-04-25,0.09,power
2001-04-26,0.27,power
2001-04-27,0.78,power
2001-04-28,1.1,power
2001-04-29,3.09,power
2001-04-30,1.09,power
2001-05-01,0.43,power
2001-05-02,0.16,power
2001-05-03,1.34,power
2001-05-04,0.62,power
2001-05-05,0.18,power
2001-05-06,3.16,power
2001-05-07,1.75,power
2001-05-08,0.25,power
2001-05-09,2.4,power
2001-05-10,0.28,power
2001-05-11,1.36,power
2001-05-12,2.69,power
2001-05-13,8.06,power
2001-05-14,21.75,power
2001-05-15,12.68,power
2001-05-16,9.13,power
2001-05-17,1.34,power
2001-05-18,3.62,power
2001-05-19,3.63,power
2001-05-20,7.54,power
2001-05-21,3.67,power
2001-05-22,6.59,power
2001-05-23,4.22,power
2001-05-24,4.9,power
2001-05-25,1.81,power
2001-05-26,0.38,power
2001-05-27,1.25,power
2001-05-28,0.97,power
2001-05-29,2.1,power
2001-05-30,6.32,power
2001-05-31,9.13,power
2001-06-01,3.91,power
2001-06-02,2.82,power
2001-06-03,4.43,power
2001-06-04,2.69,power
2001-06-05,7.28,power
2001-06-06,8.85,power
2001-06-07,18.59,power
2001-06-08,22.64,power
2001-06-09,16.5,power
2001-06-10,6.54,power
2001-06-11,10.15,power
2001-06-12,3.54,power
2001-06-13,5.23,power
2001-06-14,6.16,power
2001-06-15,0.77,power
2001-06-16,1.09,power
2001-06-17,0.85,power
2001-06-18,2.18,power
2001-06-19,1.98,power
2001-06-20,5.57,power
2001-06-21,4.59,power
2001-06-22,3.96,power
2001-06-23,6.55,power
2001-06-24,6.56,power
2001-06-25,4.33,power
2001-06-26,3.4,power
2001-06-27,3.53,power
2001-06-28,6.53,power
2001-06-29,11.86,power
2001-06-30,6.33,power
2001-07-01,13.2,power
2001-07-02,1.81,power
2001-07-03,1.03,power
2001-07-04,1.84,power
2001-07-05,4.74,power
2001-07-06,8.79,power
2001-07-07,13.95,power
2001-07-08,26.72,power
2001-07-09,9.46,power
2001-07-10,8.13,power
2001-07-11,5.05,power
2001-07-12,5.87,power
2001-07-13,5.24,power
2001-07-14,4.35,power
2001-07-15,3.6,power
2001-07-16,7.88,power
2001-07-17,7.28,power
2001-07-18,14.48,power
2001-07-19,13.48,power
2001-07-20,11.54,power
2001-07-21,11.2,power
2001-07-22,6.73,power
2001-07-23,6.87,power
2001-07-24,13.96,power
2001-07-25,7.74,power
2001-07-26,6.41,power
2001-07-27,5.02,power
2001-07-28,8.98,power
2001-07-29,4.11,power
2001-07-30,5.33,power
2001-07-31,3.22,power
2001-08-01,5.17,power
2001-08-02,4.71,power
2001-08-03,8.51,power
2001-08-04,16.38,power
2001-08-05,7.43,power
2001-08-06,12.28,power
2001-08-07,6.58,power
2001-08-08,6.76,power
2001-08-09,8.07,power
2001-08-10,12.18,power
2001-08-11,4.9,power
2001-08-12,7.29,power
2001-08-13,11.15,power
2001-08-14,3.79,power
2001-08-15,5.99,power
2001-08-16,6.06,power
2001-08-17,2.66,power
2001-08-18,2.3,power
2001-08-19,3.58,power
2001-08-20,9.78,power
2001-08-21,9.5,power
2001-08-22,2.98,power
2001-08-23,5.74,power
2001-08-24,11.52,power
2001-08-25,16.45,power
2001-08-26,5.36,power
2001-08-27,7.18,power
2001-08-28,8.99,power
2001-08-29,10.54,power
2001-08-30,12.46,power
2001-08-31,15.61,power
2001-09-01,17.28,power
2001-09-02,6.9,power
2001-09-03,2.41,power
2001-09-04,3.97,power
2001-09-05,8.18,power
2001-09-06,3.09,power
2001-09-07,3.12,power
2001-09-08,8.31,power
2001-09-09,16.73,power
2001-09-10,5.53,power
2001-09-11,6.03,power
2001-09-12,6.4,power
2001-09-13,8.16,power
2001-09-14,8.75,power
2001-09-15,6.09,power
2001-09-16,3.94,power
2001-09-17,6.62,power
2001-09-18,17.36,power
2001-09-19,16.16,power
2001-09-20,2.9,power
2001-09-21,13.83,power
2001-09-22,27.31,power
2001-09-23,5.75,power
2001-09-24,13.3,power
2001-09-25,7.43,power
2001-09-26,7.79,power
2001-09-27,27.05,power
2001-09-28,29.57,power
2001-09-29,28.96,power
2001-09-30,2.76,power
2001-10-01,3.01,power
2001-10-02,4.03,power
2001-10-03,7.71,power
2001-10-04,6.63,power
2001-10-05,6.32,power
2001-10-06,11.58,power
2001-10-07,3.3,power
2001-10-08,2.14,power
2001-10-09,5.0,power
2001-10-10,1.44,power
2001-10-11,3.16,power
2001-10-12,1.22,power
2001-10-13,3.24,power
2001-10-14,9.29,power
2001-10-15,4.72,power
2001-10-16,6.63,power
2001-10-17,25.06,power
2001-10-18,17.56,power
2001-10-19,1.88,power
2001-10-20,1.67,power
2001-10-21,6.0,power
2001-10-22,8.32,power
2001-10-23,15.29,power
2001-10-24,16.13,power
2001-10-25,4.31,power
2001-10-26,11.66,power
2001-10-27,16.7,power
2001-10-28,19.59,power
2001-10-29,15.58,power
2001-10-30,32.94,power
2001-10-31,83.67,power
2001-11-01,8.01,power
2001-11-02,1.69,power
2001-11-03,2.49,power
2001-11-04,3.37,power
2001-11-05,0.37,power
2001-11-06,1.67,power
2001-11-07,4.0,power
2001-11-08,3.86,power
2001-11-09,3.14,power
2001-11-10,3.28,power
2001-11-11,1.96,power
2001-11-12,5.94,power
2001-11-13,8.54,power
2001-11-14,10.29,power
2001-11-15,12.72,power
2001-11-16,6.31,power
2001-11-17,8.39,power
2001-11-18,10.64,power
2001-11-19,6.67,power
2001-11-20,7.24,power
2001-11-21,13.76,power
2001-11-22,11.45,power
2001-11-23,15.49,power
2001-11-24,7.81,power
2001-11-25,18.38,power
2001-11-26,22.95,power
2001-11-27,3.73,power
2001-11-28,4.42,power
2001-11-29,2.25,power
2001-11-30,0.21,power
2001-12-01,0.01,power
2001-12-02,0.01,power
2001-12-03,0.03,power
2001-12-04,1.15,power
2001-12-05,1.13,power
2001-12-06,4.44,power
2001-12-07,14.26,power
2001-12-08,8.29,power
2001-12-09,9.48,power
2001-12-10,12.21,power
2001-12-11,5.3,power
2001-12-12,3.01,power
2001-12-13,3.43,power
2001-12-14,7.21,power
2001-12-15,7.86,power
2001-12-16,0.86,power
2001-12-17,1.03,power
2001-12-18,4.42,power
2001-12-19,7.23,power
2001-12-20,2.81,power
2001-12-21,5.79,power
2001-12-22,6.75,power
2001-12-23,11.53,power
