utc,total,p10,p90,CE,DOM,AEP,ATSI,AP,PS,PL,PE,BC,PEP,REST
2026-06-25 12:00:00+00:00,89700.39853760261,88203.72237485796,91197.07470034724,9905.155982912116,15651.002527813305,16116.142925923166,7426.819139528992,5058.219365827086,4551.04818818413,4556.417143829249,4031.0995022852244,3026.6064132397833,2734.3246404125325,16643.562707647023
2026-06-25 13:00:00+00:00,93500.43845127823,92003.76228853353,94997.11461402281,10529.028749304072,15978.07354402615,16765.387863351312,7792.301138894681,5241.149495669513,4776.46721956911,4720.683563733663,4247.536744225055,3167.3750627094273,2910.143474940322,17372.291594854898
2026-06-25 14:00:00+00:00,97604.14136171079,96107.4651989662,99100.81752445547,11158.588800298898,16655.925761382063,17474.28090952313,8152.185594519095,5430.1457545731355,4963.878447847562,4845.9512064743185,4554.673934273683,3370.0252152582943,3087.4620965704953,17911.023640990094
2026-06-25 15:00:00+00:00,101522.46538195634,100025.78921921164,103019.14154470092,11627.531285808038,17107.172682669276,18143.870363266225,8518.141796456921,5756.970596441443,5175.870943193982,5148.296764218667,4798.399191957235,3538.358834377414,3221.889531785311,18485.963391781814
2026-06-25 16:00:00+00:00,106204.35717252677,104707.68100978225,107701.03333527152,12236.115209726882,17736.369430676958,18802.963538587166,8746.154751868795,5987.9531285394005,5569.883829908591,5298.554680532063,5027.098294863527,3776.3217473503278,3355.906928880081,19667.035631592986
2026-06-25 17:00:00+00:00,110522.64650928919,109025.97034654448,112019.32267203376,12500.112322990073,18260.97995238519,19525.241968969163,9141.987043779945,6271.315527504825,5990.155129572947,5429.017326993914,5241.167226369781,4016.8792364890073,3650.534925513486,20495.255848720844
2026-06-25 18:00:00+00:00,114412.29398855066,112915.61782580602,115908.9701512953,12794.269630797178,18899.31700405573,20227.991319274115,9383.995608380312,6563.404153210741,6254.954478193892,5629.393970256416,5421.759960738904,4274.922549580687,3826.972876688706,21135.31243737399
2026-06-25 19:00:00+00:00,117727.25623052986,116230.58006778528,119223.93239327456,13518.30275457482,19420.055536770094,20532.25112289926,9513.195129730086,6689.626693661878,6756.758543742857,5652.728866381787,5570.899047896866,4502.552859400767,3974.57481366219,21596.31086180929
2026-06-25 20:00:00+00:00,119966.43511354511,118469.7589508004,121463.11127628968,13712.551264871745,20126.01180229527,20726.905728142847,9514.786388900642,6845.166284797499,6818.833689149276,5677.534066240382,5702.074328399253,4729.06571728352,4161.006766527957,21952.49907693673
2026-06-25 21:00:00+00:00,122922.32813312866,121425.65197038399,124419.00429587327,14154.640599276072,20443.28073203626,20916.320330489638,9562.391232248227,6951.702632004693,7066.708809591226,5728.693611469175,5875.007473207419,4953.151571363392,4356.757295487756,22913.67384595481
2026-06-25 22:00:00+00:00,124709.79578470241,123213.11962195764,126206.47194744692,14223.192433537124,20669.662070159917,21101.907290997897,9596.484264180617,7102.960347131826,7262.541467504051,5797.347839662421,5962.759884981397,5004.518972019307,4394.016371576545,23594.4048429513
2026-06-25 23:00:00+00:00,123015.890449852,121519.21428710727,124512.56661259655,13866.66041751545,20409.624759877563,20910.596174417264,9413.173324159508,6973.419851074533,7312.370623290866,5746.6443825118695,5817.289995083067,4908.672285627798,4293.204233921863,23364.234402372214
2026-06-26 00:00:00+00:00,120392.74534512992,118896.06918238528,121889.42150787456,13577.610724921155,20372.789082059662,20572.503471473923,9311.365526160898,6747.301245946072,7055.551196536405,5528.071041517498,5653.16223714464,4807.036020192577,4109.249126923457,22658.105672253638
2026-06-26 01:00:00+00:00,118023.99334786595,116527.31718512118,119520.66951061046,13269.096401700774,19862.50175010745,20237.004417861765,9022.115199079492,6652.919777901251,6755.021467910203,5481.372564786205,5523.519284378883,4780.861619006727,3953.1768425784435,22486.40402255476
2026-06-26 02:00:00+00:00,115524.70525336344,114028.0290906189,117021.38141610818,12951.850101725075,19411.010301881197,20126.96501271602,8875.62183192178,6569.565428785713,6570.595592281526,5338.099674411466,5384.723190386162,4674.148520700364,3815.0055530047925,21807.120045549356
2026-06-26 03:00:00+00:00,107574.63945864965,106077.96329590521,109071.31562139449,12488.751059840104,18157.59990354529,18645.63469114925,8247.276264997705,6180.198054444017,6068.084166262289,4914.369961000092,4906.400460968764,4220.7778455833495,3468.1097834683324,20277.437267390465
2026-06-26 04:00:00+00:00,98800.79775225194,96816.65719133396,100889.26605341317,11424.996202594411,17124.091999151395,16977.573263867034,7664.138113977256,5607.637377581834,5619.155551286218,4548.025764166783,4550.088136122162,3776.6217177254875,3164.0446030035305,18344.42502277583
2026-06-26 05:00:00+00:00,92856.90925631445,90958.33754935795,94900.53971466556,10504.704510630701,16247.00500327432,16223.040747380932,7267.278870299712,5262.714994541988,5207.584817263572,4327.771658850065,4237.698329775013,3443.7038945262507,2958.554848134252,17176.85158163764
2026-06-26 06:00:00+00:00,88650.56964744232,86821.66457100453,90545.06331145584,9959.350895557225,15813.604452686912,15531.996895746473,6896.044873991225,5021.373767718521,4933.526874380464,4186.111240631631,3987.324297906779,3265.5181212581906,2778.3602191813416,16277.35800838356
2026-06-26 07:00:00+00:00,85112.82423924355,83250.53317490418,87108.78902179016,9467.085111378874,15332.359286641418,15196.583986202344,6614.286287124289,4817.835391228524,4705.185787925316,3984.1759879101737,3844.5639996702444,3090.3682561370315,2650.281489330408,15410.098655694941
2026-06-26 08:00:00+00:00,83547.46243224887,81627.83839101497,85492.3095500028,9059.753980120324,15171.772823594409,14940.37503190033,6505.4537513067935,4707.4730625538,4617.592174262237,3937.960471186378,3769.273325373609,3032.189237067655,2589.8496827256267,15215.768892157701
2026-06-26 09:00:00+00:00,83288.77469984483,81324.68992312274,85301.89613119986,8928.766858164328,15098.702864568986,14902.557731136352,6505.6382215890635,4775.651028041737,4581.1823544852905,3906.040537365423,3789.6482493111657,3036.9011056430395,2594.888224178861,15168.797525360585
