utc,load,ens_p10,ens_p50,ens_p90,q10,q50,q90
2026-06-29 12:00:00+00:00,102851.72487338062,101359.14564880889,102851.72487338062,106955.0220880365,100185.87450623307,101678.4537308048,105781.75094546068
2026-06-29 12:05:00+00:00,103137.88870819482,101365.72564710441,103137.88870819482,107321.83627704086,100227.48836308037,102006.30866399957,106193.15728328575
2026-06-29 12:10:00+00:00,103416.50654660627,101384.75601503684,103416.50654660627,107674.30170251938,100287.71882495422,102327.55557572683,106595.9000059677
2026-06-29 12:15:00+00:00,103686.42073162502,101415.17231217495,103686.42073162502,108009.0735565971,100365.07642643192,102641.81713996892,106985.83224545472
2026-06-29 12:20:00+00:00,103946.47360626109,101455.91009808752,103946.47360626109,108322.807031399,100458.07170209066,102948.71603070816,107358.80713369494
2026-06-29 12:25:00+00:00,104195.50751352454,101505.90493234337,104195.50751352454,108612.1573190501,100565.2151865077,103247.87492192695,107710.67780263649
2026-06-29 12:30:00+00:00,104432.36479642542,101564.09237451127,104432.36479642542,108873.77961167545,100685.01741426026,103538.9164876076,108037.29738422758
2026-06-29 12:35:00+00:00,104655.88779797377,101629.40798416,104655.88779797377,109104.32910140004,100815.98891992561,103821.4634017325,108334.51901041635
2026-06-29 12:40:00+00:00,104864.91886117964,101700.78732085835,104864.91886117964,109300.46098034893,100956.64023808096,104095.13833828398,108598.19581315096
2026-06-29 12:45:00+00:00,105058.30032905308,101777.1659441751,105058.30032905308,109458.83044064709,101105.48190330357,104359.5639712444,108824.18092437959
2026-06-29 12:50:00+00:00,105234.87454460411,101857.47941367904,105234.87454460411,109576.09267441956,101261.02445017065,104614.3629745961,109008.32747605036
2026-06-29 12:55:00+00:00,105393.48385084282,101940.66328893899,105393.48385084282,109648.90287379135,101421.77841325945,104859.15802232143,109146.48860011145
2026-06-29 13:00:00+00:00,105532.97059077922,102025.65312952368,105532.97059077922,109673.91623088751,101586.25432714722,105093.57178840277,109234.51742851106
2026-06-29 13:05:00+00:00,105651.70900083407,102121.95749841469,105651.70900083407,109658.32729371545,101769.18600192614,105311.41186490137,109289.47280916211
2026-06-29 13:10:00+00:00,105751.61126743139,102238.92303590255,105751.61126743139,109615.22846741624,101983.74086509465,105509.69809481023,109332.76603668666
2026-06-29 13:15:00+00:00,105836.82665858604,102375.24241751962,105836.82665858604,109550.1217298153,102226.0798773393,105692.8715285093,109366.77891309647
2026-06-29 13:20:00+00:00,105911.50444231302,102529.60831879827,105911.50444231302,109468.50905873808,102492.36399934674,105865.37321637855,109393.89324040325
2026-06-29 13:25:00+00:00,105979.79388662714,102700.71341527079,105979.79388662714,109375.89243200999,102778.7541918035,106031.64420879791,109416.49082061875
2026-06-29 13:30:00+00:00,106045.84425954339,102887.25038246953,106045.84425954339,109277.77382745645,103081.41141539617,106196.12555614737,109436.95345575474
2026-06-29 13:35:00+00:00,106113.80482907669,103087.91189592684,106113.80482907669,109179.65522290293,103396.49663081141,106363.25830880682,109457.6629478229
2026-06-29 13:40:00+00:00,106187.8248632419,103301.39063117505,106187.8248632419,109087.03859617484,103720.17079873571,106537.48351715624,109481.001098835
2026-06-29 13:45:00+00:00,106272.05363005398,103526.3792637465,106272.05363005398,109005.42592509762,104048.59487985574,106723.24223157561,109509.3497108028
2026-06-29 13:50:00+00:00,106370.64039752787,103761.57046917352,106370.64039752787,108940.31918749667,104377.92983485803,106924.97550244487,109545.090585738
2026-06-29 13:55:00+00:00,106487.73443367842,104005.65692298845,106487.73443367842,108897.22036119747,104704.33662442921,107147.12438014393,109590.60552565234
2026-06-29 14:00:00+00:00,106627.48500652058,104257.33130072364,106627.48500652058,108881.63142402541,105023.97620925584,107394.12991505278,109648.27633255761
2026-06-29 14:05:00+00:00,106829.90232010883,104532.82820595299,106829.90232010883,108974.40258821321,105341.88242155987,107679.96029360895,109787.7959077119
2026-06-29 14:10:00+00:00,107123.5112906568,104846.37719099974,107123.5112906568,109235.94231814153,105665.63746517108,108011.02856347931,110063.31625759574
2026-06-29 14:15:00+00:00,107495.23325441811,105193.66335452034,107495.23325441811,109641.08996985774,105995.22485818787,108380.44306688767,110453.90784205467
2026-06-29 14:20:00+00:00,107931.98954764643,105570.37179517114,107931.98954764643,110164.6848994092,106330.62811870853,108781.31214605785,110938.64112093403
2026-06-29 14:25:00+00:00,108420.70150659542,105972.18761160859,108420.70150659542,110781.5664628433,106671.83076483148,109206.74414321371,111496.58655407932
2026-06-29 14:30:00+00:00,108948.29046751867,106394.79590248907,108948.29046751867,111466.5740162074,107018.81631465507,109649.8474005791,112106.81460133595
2026-06-29 14:35:00+00:00,109501.67776666988,106833.88176646899,109501.67776666988,112194.54691554887,107371.56828627762,110103.73026037784,112748.39572254935
2026-06-29 14:40:00+00:00,110067.78474030268,107285.13030220474,110067.78474030268,112940.3245169151,107730.07019779751,110561.50106483376,113400.40037756498
2026-06-29 14:45:00+00:00,110633.5327246707,107744.22660835275,110633.5327246707,113678.74617635345,108094.30556731309,111016.2681561707,114041.89902622826
