utc,tmpf,dwpf,cloud,load,ens_p10,ens_p50,ens_p90
2026-07-01 12:00:00+00:00,78.46025048795664,70.8701433569791,15.958991009488905,109587.12210223853,107217.40160495475,109587.12210223853,113514.6651678568
2026-07-01 13:00:00+00:00,80.38072997644556,70.97463054730703,16.337262803077078,110657.58789571477,107212.44444857807,110657.58789571477,114239.62211375684
2026-07-01 14:00:00+00:00,83.15769620872338,71.08953664509552,16.726870992263834,115438.69695307434,114620.42329003103,115438.69695307434,117652.90915984352
2026-07-01 15:00:00+00:00,85.91996614635231,71.19383215804064,17.107250713672165,123985.2560560597,122138.75885118339,123985.2560560597,125617.23132062743
2026-07-01 16:00:00+00:00,88.53106689198944,71.30545566632122,17.485704972703598,133549.60835592437,130278.38904042417,133549.60835592437,135695.87387541612
2026-07-01 17:00:00+00:00,90.72084810020613,71.40766081199361,17.86512840996611,139970.9674738216,137353.287034111,139970.9674738216,143760.71112174867
2026-07-01 18:00:00+00:00,92.12694915808045,71.51888800961586,18.245293031599736,145315.57319282688,139873.75317079856,145315.57319282688,149727.00162141115
2026-07-01 19:00:00+00:00,92.78260922447464,71.6789974984817,18.24936971922772,146769.18399790034,141937.33172605862,146769.18399790034,152682.22701679036
2026-07-01 20:00:00+00:00,92.86090347432982,71.83612816894336,18.248177392445914,147848.0956150915,144079.9266240699,147848.0956150915,153190.09262193964
2026-07-01 21:00:00+00:00,92.4196022643513,71.99524756499046,18.24907584257555,150118.92052844097,145674.15571992507,150118.92052844097,155554.6330811459
2026-07-01 22:00:00+00:00,91.57333423300427,72.15597131597967,18.24195475818575,151107.7850634658,146684.1630928247,151107.7850634658,156130.17794884043
2026-07-01 23:00:00+00:00,90.38650774008508,72.32228871972819,18.243888726319252,150383.20525787343,146200.04176412107,150383.20525787343,155264.37278424553
2026-07-02 00:00:00+00:00,88.96270045568394,72.47254749369623,18.24486278733856,147609.34438727077,142913.20552180422,147609.34438727077,151951.09159554858
2026-07-02 01:00:00+00:00,87.30485853998347,72.31806770448118,16.968221727321396,143598.9085988073,140709.01185180337,143598.9085988073,147523.33132400192
2026-07-02 02:00:00+00:00,85.48877863463355,72.16479878559677,15.684819464001109,140740.29421979756,138102.35255101122,140740.29421979756,145391.93868261325
2026-07-02 03:00:00+00:00,83.60446445307815,72.0095218618065,14.416714822338196,134923.72045007916,133951.8600882894,134923.72045007916,140164.89958570534
2026-07-02 04:00:00+00:00,81.98303296010492,71.84620464934545,13.134765967684084,124684.35242559302,122294.68139959488,124644.06453417856,131265.78762721916
2026-07-02 05:00:00+00:00,80.82160169665208,71.69764666703085,11.860540760182678,116816.73291120656,110918.94564890506,116787.29061067544,125035.91632966709
2026-07-02 06:00:00+00:00,80.0952600141498,71.54869922021885,10.576865258636952,111758.88586627408,106855.45602446875,111758.88586627408,120952.65750196576
2026-07-02 07:00:00+00:00,79.53799045249424,71.63524252807812,10.27144426563537,108105.85293549136,102775.57272416294,108105.85293549136,118839.9866356932
2026-07-02 08:00:00+00:00,78.98627941899635,71.70569681530428,9.977736139358075,105368.33946619055,101458.83406358423,105368.33946619055,115031.21865077206
2026-07-02 09:00:00+00:00,78.39863469456037,71.79133391488442,9.672204470919203,105938.75667222824,101192.34443621853,105938.75667222824,112986.38393368306
2026-07-02 10:00:00+00:00,78.17547367670413,71.86625422338825,9.372785009190514,104573.92748885263,100502.06481697534,104596.14754184778,112144.83247552169
2026-07-02 11:00:00+00:00,78.81403192439623,71.95520985284857,9.07419038623842,107796.44815499663,103668.4741915709,107752.97939653131,113537.40706932438
2026-07-02 12:00:00+00:00,80.53473853263004,72.0534051648511,8.771191734876892,109240.24499864994,106157.47318290622,109240.24499864994,114778.84786905274
2026-07-02 13:00:00+00:00,82.8333649748005,71.77730162315031,9.807200539834135,116452.27522680751,111244.48047408693,116452.27522680751,121046.61047115205
2026-07-02 14:00:00+00:00,85.42209405432797,71.48459476763412,10.838073311074073,124722.20842153243,120842.32900308941,124722.20842153243,130823.96505506939
2026-07-02 15:00:00+00:00,88.06477957531658,71.20227250198039,11.867566855733465,134091.2739036014,127954.46079447499,134091.2739036014,138574.4121056352
2026-07-02 16:00:00+00:00,90.61602897031595,70.91491233113516,12.891469859704213,140090.3138838015,137186.5991486054,140090.3138838015,145734.70025463094
2026-07-02 17:00:00+00:00,92.80326716613922,70.63541465786987,13.923924269677316,148203.59202483427,142731.28834677403,148203.59202483427,150702.53586232805
2026-07-02 18:00:00+00:00,94.40546574334583,70.35276307359645,14.949141102690614,150266.0583991436,146039.8313438794,150266.0583991436,153747.47582448585
2026-07-02 19:00:00+00:00,95.28591761311182,70.4226597399632,15.09667136591748,152013.2129417349,147602.47354009276,151996.23515962766,155926.70490851376
2026-07-02 20:00:00+00:00,95.50101829301391,70.50563754722384,15.233190985744352,152629.8532673776,148312.35057667733,152612.87548527034,156557.43114589964
2026-07-02 21:00:00+00:00,94.9858398242768,70.57789615489041,15.369450575070958,154177.70919292673,149286.7228422829,154160.73141081948,157860.7249212476
2026-07-02 22:00:00+00:00,93.97499588892815,70.65224841482969,15.516775824972267,154721.75519119765,149487.3061557303,154721.75519119765,158175.4373640283
2026-07-02 23:00:00+00:00,92.6994602368898,70.73479219245188,15.647942654999087,154415.22780434604,149212.9877522107,154415.22780434604,157792.90032616293
2026-07-03 00:00:00+00:00,91.24454266246683,70.80007311557843,15.789460358269114,152449.74059757832,146930.21807833682,152449.74059757832,156133.78422559408
2026-07-03 01:00:00+00:00,89.48110828763593,70.81017384488261,15.795712076220227,150206.220534432,144820.5317333478,149488.9412663966,153106.37090329075
2026-07-03 02:00:00+00:00,87.47952998321723,70.81914065215376,15.814180097008254,148538.30707064774,141103.94684524325,148444.01580962338,151025.94849809475
2026-07-03 03:00:00+00:00,85.41968499953539,70.83286453919828,15.825102773947123,139214.6003110544,136030.6107578636,139214.6003110544,144756.34228636711
2026-07-03 04:00:00+00:00,83.57719969785015,70.83601355755533,15.842476363714903,128445.84628906791,119953.46741328215,128205.5111301894,137980.29002389556
2026-07-03 05:00:00+00:00,82.32104083046345,70.85014020427334,15.848672077544748,119379.37144287022,110780.48612120621,118328.05050408722,131143.7031058701
2026-07-03 06:00:00+00:00,81.55927888490109,70.85048334014486,15.863643532104609,114294.4612448397,105838.47505710059,111965.08770274727,124043.89547760034
2026-07-03 07:00:00+00:00,81.03817361820272,70.96005296464148,16.547583998883383,110794.43663735269,102907.08035732238,109380.94345680732,123586.8890684848
2026-07-03 08:00:00+00:00,80.4807766521137,71.08230546783646,17.233932303593257,108606.57056189816,99954.34738944698,106609.25216087757,120094.85531086504
2026-07-03 09:00:00+00:00,79.86706133614004,71.197549623423,17.91548472726178,104943.42660056739,99408.56871157842,104684.9981525648,116127.5861452336
2026-07-03 10:00:00+00:00,79.43051364608901,71.29829015684336,18.604943121500654,104914.07130704715,98786.92824568374,103888.63842616642,116363.47157447648
2026-07-03 11:00:00+00:00,80.00284505985842,71.41582121686027,19.292249934109336,104134.63889308773,98277.75221646094,104046.20084684389,112518.2052209187
2026-07-03 12:00:00+00:00,81.62281563039647,71.53542273623457,19.979230285048864,108557.34318919088,100947.18920164902,107239.53380909566,113271.54416616981
2026-07-03 13:00:00+00:00,83.91418756343538,71.27701355968571,21.81800613966239,115374.50844225536,106325.52726727036,114325.54839487454,119534.70777988381
