var,fdate,n,mean,median,p10,p25,p75,p90,min,max,spread_p90_p10,eqwt_median
tmax2m,20260704,249,100.96586345381526,101.5,96.6,99.0,103.7,105.4,86.4,108.6,8.800000000000011,101.64999999999999
tmax2m,20260705,249,93.95983935742971,93.5,87.68,90.7,97.4,101.0,80.9,106.4,13.319999999999993,93.47499999999998
tmax2m,20260706,249,86.4417670682731,86.1,81.18,83.2,89.9,92.92,71.3,98.3,11.739999999999995,85.65833333333335
tmax2m,20260707,249,85.1008032128514,86.1,78.46,82.5,88.4,90.22,69.5,97.4,11.760000000000005,84.8
tmax2m,20260708,249,87.22851405622491,87.4,81.68,84.3,89.9,93.26,72.6,99.6,11.579999999999998,86.75833333333333
tmax2m,20260709,249,90.83534136546184,90.8,85.4,88.3,94.2,96.74000000000001,70.6,100.5,11.340000000000003,91.01666666666667
tmax2m,20260710,249,91.46104417670684,91.0,86.0,88.3,94.9,97.84,78.7,103.9,11.840000000000003,91.04166666666667
tmax2m,20260711,249,87.83935742971887,87.7,82.18,84.8,90.9,94.4,70.4,101.8,12.219999999999999,87.15833333333335
tmax2m,20260712,249,86.85742971887551,86.8,80.78,83.6,90.1,92.8,72.0,103.0,12.019999999999996,86.90833333333332
tmax2m,20260713,249,86.6397590361446,86.8,79.4,83.2,89.9,93.10000000000001,72.2,106.6,13.700000000000003,86.89999999999999
tmax2m,20260714,249,88.06465863453815,87.7,81.68,83.8,92.1,95.8,74.5,103.9,14.11999999999999,87.45833333333336
tmax2m,20260715,249,87.87590361445783,87.3,80.4,83.8,91.3,95.94000000000001,74.4,103.7,15.540000000000006,87.13333333333333
tmax2m,20260716,249,88.41646586345381,87.7,81.56,84.6,91.5,95.72,74.6,105.4,14.159999999999997,87.94999999999999
tmax2m,20260717,249,88.32610441767068,88.0,80.53999999999999,84.1,92.6,96.9,69.5,109.9,16.360000000000014,87.96666666666665
tmax2m,20260718,249,87.79036144578313,87.7,79.25999999999999,83.2,92.3,96.94000000000001,70.5,106.8,17.68000000000002,88.10000000000001
tmax2m,20260719,52,91.20384615384616,91.35,81.64999999999999,86.725,96.875,101.08,76.2,106.8,19.430000000000007,90.5
tmin2m,20260704,249,75.89718875502008,75.9,72.14,74.1,77.6,79.4,69.5,83.4,7.260000000000005,75.425
tmin2m,20260705,249,73.3590361445783,73.5,70.75999999999999,72.1,74.6,75.8,68.6,79.8,5.040000000000006,73.1
tmin2m,20260706,249,72.05662650602409,71.9,69.88000000000001,70.8,73.3,74.6,64.5,77.8,4.719999999999985,71.95
tmin2m,20260707,249,70.83253012048193,71.2,67.38000000000001,69.6,72.4,73.4,62.3,75.9,6.019999999999996,70.60000000000001
tmin2m,20260708,249,69.94056224899597,70.2,66.08,68.4,71.9,73.02,61.6,75.6,6.939999999999998,69.675
tmin2m,20260709,249,71.37068273092368,71.5,67.4,69.3,73.1,74.92,58.9,80.5,7.519999999999996,71.03333333333335
tmin2m,20260710,249,72.79116465863454,73.0,69.6,71.3,74.4,75.7,63.6,78.8,6.1000000000000085,72.74166666666666
tmin2m,20260711,249,71.33293172690763,71.9,66.74,69.2,73.7,75.5,60.7,80.7,8.760000000000005,70.96666666666665
tmin2m,20260712,249,69.26144578313253,69.7,64.25999999999999,66.7,71.9,73.7,56.9,77.8,9.440000000000012,69.29166666666667
tmin2m,20260713,249,68.24457831325302,68.4,63.5,65.6,70.9,73.14,58.2,78.3,9.64,68.2
tmin2m,20260714,249,68.8991967871486,68.6,63.76,65.6,71.7,74.2,60.0,81.2,10.440000000000005,68.85000000000001
tmin2m,20260715,249,69.2963855421687,68.8,64.08,66.3,71.9,75.84,57.1,83.0,11.760000000000005,68.925
tmin2m,20260716,249,69.79156626506024,69.7,64.48,67.0,72.4,75.5,58.9,83.4,11.019999999999996,69.64166666666667
tmin2m,20260717,249,70.43654618473896,70.3,64.88000000000001,67.5,73.1,75.84,58.9,82.1,10.959999999999994,70.40833333333335
tmin2m,20260718,249,70.36064257028112,70.4,63.48,67.2,73.7,76.92,57.9,85.2,13.440000000000005,70.06666666666666
tmin2m,20260719,52,73.30961538461538,73.1,67.22,69.9,77.14999999999999,79.39,60.0,84.7,12.170000000000002,73.05
