NAME,total,utility_gas,lp_gas,electricity,fuel_oil,wood,state,county,fips,oil_share,state_name
"Autauga County, Alabama",22523,7026,1737,13553,16,105,01,001,01001,0.07103849398392754,Alabama
"Baldwin County, Alabama",94642,9139,1653,82764,88,303,01,003,01003,0.0929819741763699,Alabama
"Barbour County, Alabama",9080,526,735,7701,0,43,01,005,01005,0.0,Alabama
"Bibb County, Alabama",7571,1479,570,5215,0,222,01,007,01007,0.0,Alabama
"Blount County, Alabama",21977,2785,2258,16294,16,438,01,009,01009,0.07280338535741912,Alabama
"Bullock County, Alabama",3453,407,758,2209,0,61,01,011,01011,0.0,Alabama
"Butler County, Alabama",7262,977,1043,5112,11,80,01,013,01013,0.15147342329936656,Alabama
"Calhoun County, Alabama",45125,12233,2680,29183,20,610,01,015,01015,0.0443213296398892,Alabama
"Chambers County, Alabama",13419,2266,1338,9462,48,168,01,017,01017,0.3577017661524704,Alabama
"Cherokee County, Alabama",10477,1241,1882,6988,2,340,01,019,01019,0.01908943399828195,Alabama
"Chilton County, Alabama",17554,1280,2746,13263,20,146,01,021,01021,0.11393414606357526,Alabama
"Choctaw County, Alabama",5174,186,914,3896,3,172,01,023,01023,0.05798221878623889,Alabama
"Clarke County, Alabama",8452,1840,1070,5339,13,133,01,025,01025,0.15380974917179366,Alabama
"Clay County, Alabama",5765,1226,709,3427,0,359,01,027,01027,0.0,Alabama
"Cleburne County, Alabama",5849,458,1536,3556,0,194,01,029,01029,0.0,Alabama
"Coffee County, Alabama",20860,1606,912,18061,7,40,01,031,01031,0.03355704697986577,Alabama
"Colbert County, Alabama",24217,6747,1781,15304,29,108,01,033,01033,0.11975058842961556,Alabama
"Conecuh County, Alabama",4528,733,649,3068,0,65,01,035,01035,0.0,Alabama
"Coosa County, Alabama",4201,199,684,3007,53,241,01,037,01037,1.2616043799095453,Alabama
"Covington County, Alabama",14495,2144,1023,11134,9,92,01,039,01039,0.062090375991721285,Alabama
"Crenshaw County, Alabama",5075,637,789,3568,13,42,01,041,01041,0.2561576354679803,Alabama
"Cullman County, Alabama",34543,3843,3761,25899,228,525,01,043,01043,0.6600468980690734,Alabama
"Dale County, Alabama",19769,1617,524,17299,4,59,01,045,01045,0.020233699226061004,Alabama
"Dallas County, Alabama",15416,5885,1479,7554,8,177,01,047,01047,0.05189413596263622,Alabama
"DeKalb County, Alabama",25946,3015,4224,18019,117,291,01,049,01049,0.4509365605488322,Alabama
"Elmore County, Alabama",32529,5283,2930,23719,56,192,01,051,01051,0.17215407789972026,Alabama
"Escambia County, Alabama",12781,1024,625,10843,10,108,01,053,01053,0.07824113919098662,Alabama
"Etowah County, Alabama",39160,13112,2075,23413,59,420,01,055,01055,0.15066394279877426,Alabama
"Fayette County, Alabama",6051,1254,599,4055,4,117,01,057,01057,0.06610477607007106,Alabama
"Franklin County, Alabama",11593,3740,1035,6727,0,56,01,059,01059,0.0,Alabama
"Geneva County, Alabama",10550,555,381,9383,18,73,01,061,01061,0.17061611374407584,Alabama
"Greene County, Alabama",3037,529,536,1946,0,15,01,063,01063,0.0,Alabama
