fips,NAME,fuel_oil,lat,lon
01001,"Autauga County, Alabama",16,32.532237,-86.64644
01003,"Baldwin County, Alabama",88,30.659218,-87.746067
01009,"Blount County, Alabama",16,33.977358,-86.56644
01013,"Butler County, Alabama",11,31.751667,-86.681969
01015,"Calhoun County, Alabama",20,33.770516,-85.827909
01017,"Chambers County, Alabama",48,32.915504,-85.394032
01019,"Cherokee County, Alabama",2,34.069515,-85.654242
01021,"Chilton County, Alabama",20,32.854051,-86.726607
01023,"Choctaw County, Alabama",3,31.990954,-88.248889
01025,"Clarke County, Alabama",13,31.685521,-87.818624
01031,"Coffee County, Alabama",7,31.402258,-85.989602
01033,"Colbert County, Alabama",29,34.703112,-87.801457
01037,"Coosa County, Alabama",53,32.931445,-86.243482
01039,"Covington County, Alabama",9,31.243987,-86.448721
01041,"Crenshaw County, Alabama",13,31.730311,-86.320038
01043,"Cullman County, Alabama",228,34.131923,-86.869267
01045,"Dale County, Alabama",4,31.430654,-85.609476
01047,"Dallas County, Alabama",8,32.333526,-87.11436
01049,"DeKalb County, Alabama",117,34.460915,-85.804021
01051,"Elmore County, Alabama",56,32.597229,-86.142735
01053,"Escambia County, Alabama",10,31.122287,-87.16841
01055,"Etowah County, Alabama",59,34.047641,-86.034263
01057,"Fayette County, Alabama",4,33.716157,-87.764292
01061,"Geneva County, Alabama",18,31.092382,-85.821022
01069,"Houston County, Alabama",18,31.158183,-85.296411
01071,"Jackson County, Alabama",23,34.764114,-85.980056
01073,"Jefferson County, Alabama",272,33.553444,-86.896536
01075,"Lamar County, Alabama",3,33.787085,-88.087431
01077,"Lauderdale County, Alabama",83,34.904168,-87.651108
01079,"Lawrence County, Alabama",34,34.529776,-87.321865
01081,"Lee County, Alabama",5,32.604064,-85.353048
01083,"Limestone County, Alabama",21,34.810239,-86.981399
01089,"Madison County, Alabama",118,34.764238,-86.55108
01091,"Marengo County, Alabama",25,32.247591,-87.791091
01093,"Marion County, Alabama",8,34.138219,-87.881551
01095,"Marshall County, Alabama",8,34.309564,-86.321668
01097,"Mobile County, Alabama",120,30.684572,-88.196568
01099,"Monroe County, Alabama",24,31.580353,-87.383342
01101,"Montgomery County, Alabama",78,32.202881,-86.204461
01103,"Morgan County, Alabama",20,34.454484,-86.846402
01105,"Perry County, Alabama",26,32.639005,-87.293827
01107,"Pickens County, Alabama",19,33.2968,-88.096864
01109,"Pike County, Alabama",25,31.798653,-85.941608
01111,"Randolph County, Alabama",53,33.296461,-85.464064
01113,"Russell County, Alabama",110,32.289811,-85.18698
01115,"St. Clair County, Alabama",13,33.719491,-86.311327
01117,"Shelby County, Alabama",26,33.266893,-86.661007
01119,"Sumter County, Alabama",71,32.597481,-88.200057
01121,"Talladega County, Alabama",199,33.369314,-86.17593
01123,"Tallapoosa County, Alabama",4,32.863308,-85.799618
01125,"Tuscaloosa County, Alabama",45,33.29022,-87.522783
01127,"Walker County, Alabama",64,33.791558,-87.301094
01131,"Wilcox County, Alabama",20,31.990082,-87.304935
02013,"Aleutians East Borough, Alaska",877,55.245044,-161.997477
