case_id,ylat,xlong,iy,ix,grid_lat,grid_lon
400011,35.4774,-97.6764,417,894,35.476894,262.32886
407013,43.0168,-78.9779,747,1399,43.013454,281.00803
404351,39.4045,-90.0025,571,1114,39.39382,270.00705
404352,42.3708,-74.0406,754,1536,42.363747,285.95145
404336,42.3804,-89.8412,682,1109,42.386414,270.155
404988,45.5976,-94.8633,794,968,45.6013,265.13327
406923,45.2466,-68.6177,898,1646,45.24846,291.3854
407041,35.6608,-117.8126,491,292,35.659336,242.19928
406921,43.8906,-70.3193,836,1618,43.887177,289.67963
406924,44.8738,-68.8482,883,1644,44.88246,291.13824
407037,44.798,-68.7135,881,1649,44.790287,291.29492
406910,45.3954,-94.7412,786,972,45.38408,265.27698
407046,44.9847,-95.7144,770,946,44.97279,264.2741
407047,43.982,-95.7658,733,946,43.980362,264.2475
407056,44.8066,-95.2071,764,960,44.80369,264.79868
407002,43.1993,-76.178,770,1472,43.19616,283.81586
407053,43.2618,-75.1949,779,1497,43.273632,284.7906
406918,44.1998,-70.0705,849,1621,44.197422,289.92874
406922,44.974,-69.0921,884,1637,44.9652,290.8974
406917,44.5352,-94.9102,754,968,44.52991,265.0902
406932,42.8978,-77.7288,750,1434,42.897964,282.28925
407026,46.537,-68.3448,946,1638,46.535297,291.66522
405467,45.653,-94.0301,797,990,45.662,265.9786
403022,43.2793,-77.7626,763,1430,43.262436,282.24738
404731,43.0419,-78.1359,753,1422,43.044987,281.8814
402533,45.48,-92.8128,792,1022,45.490288,267.19257
404478,44.7326,-94.6082,762,976,44.737972,265.40057
407012,38.8237,-76.9352,607,1488,38.819897,283.0596
407009,46.6829,-68.0371,954,1643,46.69635,291.94714
407010,46.7058,-68.0438,954,1643,46.69635,291.94714
407028,44.7165,-69.8112,870,1622,44.727825,290.19754
407029,44.8535,-69.9043,874,1618,44.862,290.0979
407003,43.1946,-76.1748,770,1472,43.19616,283.81586
407025,43.3504,-75.7352,778,1483,43.336758,284.27942
406894,39.6307,-77.9091,630,1454,39.624077,282.07693
403744,45.4975,-95.1616,790,960,45.500034,264.82346
406225,44.7275,-93.9626,762,993,44.722023,266.0418
404088,42.3121,-89.9094,679,1107,42.31039,270.0734
403021,41.593,-75.0272,720,1517,41.602886,284.98032
403446,44.1213,-93.2688,740,1012,44.11078,266.72006
405534,44.0986,-91.7938,742,1052,44.10645,268.2175
404569,41.7534,-74.9609,726,1517,41.759697,285.0327
404555,41.392,-74.4548,716,1534,41.386295,285.53796
403722,42.5696,-72.1619,775,1584,42.570763,287.84225
404719,39.4138,-108.0899,580,597,39.40439,251.92755
404720,40.2404,-104.7709,602,694,40.248104,255.24364
407055,44.9429,-92.854,772,1022,44.955242,267.15396
405526,45.4882,-92.8506,792,1021,45.49165,267.15442
402344,45.3916,-92.6851,789,1025,45.405933,267.301
403708,43.8658,-91.3271,734,1065,43.869534,268.68237
405855,44.3681,-92.028,751,1045,44.35898,267.97626
404089,41.0329,-89.3984,633,1126,41.032253,270.61487
403726,42.2438,-72.1006,764,1589,42.249245,287.90848
404675,40.2585,-104.8249,603,692,40.270714,255.1704
402316,45.3197,-92.798,786,1023,45.328476,267.21896
403706,43.8581,-91.3254,734,1065,43.869534,268.68237
404471,44.7322,-94.6227,762,975,44.73881,265.36282
403427,45.674,-94.7509,797,971,45.679203,265.2514
403426,45.3483,-92.9232,787,1019,45.360622,267.06866
403419,45.5173,-94.1107,792,988,45.530266,265.89502
405464,45.4283,-94.7059,788,972,45.437603,265.27927
403677,44.0355,-93.4953,737,1006,44.0375,266.4911
403404,44.6564,-93.108,761,1016,44.668606,266.90704
403421,44.6819,-93.7627,761,998,44.689934,266.22885
403019,42.7606,-78.5596,740,1412,42.758434,281.42352
403365,42.7266,-74.0008,767,1534,42.71584,286.00055
403367,43.6352,-76.0848,786,1471,43.620846,283.91605
403370,43.9643,-75.9836,799,1471,43.960575,284.0279
403935,41.208,-87.8351,644,1168,41.218273,272.14844
403936,41.1027,-87.9773,639,1165,41.092663,272.02304
403727,42.2562,-71.9741,765,1592,42.253082,288.02338
404350,37.7896,-89.063,514,1146,37.787155,270.93723
405592,40.472,-90.6494,609,1092,40.46177,269.33972
403742,42.0279,-71.5957,760,1604,42.03461,288.39215
403301,42.2547,-71.888,766,1594,42.264206,288.1033
403302,41.9847,-70.8554,764,1624,41.986385,289.12848
404591,42.5931,-71.8681,778,1591,42.59693,288.11832
403300,42.1345,-71.6301,763,1602,42.127155,288.35266
403299,42.1393,-71.6334,764,1602,42.153023,288.3627
404592,42.1743,-71.796,763,1598,42.15693,288.21307
403672,42.0752,-71.9982,759,1593,42.090347,287.99866
403326,41.4553,-74.5495,718,1531,41.458492,285.4513
403670,42.2199,-71.9722,764,1592,42.22719,288.01343
404051,42.0752,-72.0112,758,1593,42.064445,287.98874
404295,42.6772,-71.4508,784,1602,42.670036,288.56567
404293,42.5856,-72.5576,773,1573,42.59878,287.43542
407033,41.4491,-74.5548,718,1531,41.458492,285.4513
407040,35.6562,-117.8103,491,292,35.659336,242.19928
407027,44.6203,-68.509,877,1656,44.630295,291.49954
401995,42.1537,-71.9885,761,1593,42.14214,288.01852
403447,44.7036,-93.7872,761,998,44.689934,266.22885
403015,43.1721,-77.8465,759,1428,43.168766,282.14395
403035,43.1035,-77.3472,760,1442,43.11427,282.65573
404563,43.1742,-77.847,759,1428,43.168766,282.14395
405404,43.0181,-77.2606,757,1445,43.01797,282.73947
403721,42.2576,-71.9741,765,1592,42.253082,288.02338
401820,38.9384,-76.0451,617,1512,38.936207,283.94815
404226,44.2671,-92.6643,747,1028,44.277336,267.3312
403732,42.2416,-72.1044,764,1589,42.249245,287.90848
403841,42.8968,-73.7017,776,1540,42.90898,286.29724
406839,40.4654,-104.6089,610,699,40.473667,255.39798
406786,27.5231,-80.7462,171,1457,27.529482,279.26767
402535,44.5522,-92.637,757,1028,44.545277,267.35095
405772,38.5435,-121.7748,623,204,38.54708,238.23982
405798,39.5989,-76.8528,636,1484,39.606647,283.14795
407017,41.5779,-71.5655,744,1610,41.57575,288.4398
406919,44.6929,-69.7887,869,1623,44.694267,290.22238
406920,44.2897,-70.1163,852,1619,44.290146,289.89008
407011,42.6787,-73.9471,766,1536,42.6762,286.06213
407001,44.6054,-75.1591,828,1486,44.621857,284.831
406241,44.6784,-74.9638,831,1491,44.66757,285.0412
406240,42.9523,-78.6165,747,1409,42.95922,281.36813
404936,44.9358,-95.375,769,955,44.9409,264.6141
404893,45.0589,-123.4974,869,223,45.06179,236.50414
402358,44.4686,-93.1234,753,1016,44.45426,266.89264
404140,38.21,-103.7459,525,717,38.22211,256.2393
402885,42.0576,-71.9257,758,1595,42.049706,288.0585
405381,41.3628,-74.4833,715,1534,41.36019,285.52908
406775,29.7613,-81.7634,248,1409,29.76985,278.24557
403731,42.0716,-72.0003,758,1593,42.064445,287.98874
406197,45.3911,-122.344,873,256,45.40586,237.67033
402164,45.6422,-95.3581,795,955,45.63707,264.63696
406904,42.964,-74.1425,775,1528,42.96475,285.86145
403730,42.0724,-71.9974,758,1593,42.064445,287.98874
403892,44.0,-93.5011,736,1006,44.010674,266.48947
403482,43.9559,-75.6178,801,1480,43.95634,284.37177
406777,26.7532,-81.1911,139,1447,26.743238,278.80484
402432,44.2129,-93.5489,743,1005,44.19958,266.4634
402822,45.4179,-94.0088,788,991,45.420242,266.00375
402827,45.2722,-93.8282,783,996,45.28122,266.18668
402167,44.2412,-93.963,744,994,44.238453,266.0533
402433,44.846,-92.8749,768,1021,44.849506,267.10855
402431,44.0934,-93.4051,739,1009,44.0876,266.60635
406851,45.4307,-94.0239,788,990,45.421257,265.96564
403269,29.8804,-81.6949,252,1410,29.870462,278.29684
403272,27.5998,-80.566,175,1462,27.609621,279.43646
403271,27.3238,-81.7912,157,1423,27.322308,278.195
403173,44.6626,-93.1143,761,1015,44.669884,266.8694
404253,42.064,-78.4779,715,1420,42.05574,281.52243
406061,44.2618,-94.2932,745,985,44.27416,265.71768
403759,45.4315,-122.2865,874,257,45.4388,237.69695
403270,29.7609,-81.4338,249,1419,29.750275,278.5536
403273,27.8552,-80.669,183,1457,27.84245,279.3329
403277,30.2946,-82.186,265,1392,30.293438,277.81686
403275,30.0002,-82.299,254,1390,30.012545,277.6999
402991,33.1022,-82.01,369,1380,33.094395,277.9898
403074,42.5196,-72.9195,768,1564,42.53342,287.0699
402506,42.2432,-71.6722,767,1600,42.245544,288.3231
402507,42.0713,-71.8608,759,1597,42.06081,288.1382
401979,44.0241,-92.5916,738,1031,44.031815,267.42548
402751,44.5204,-94.5242,754,978,44.521812,265.4663
402994,44.5504,-92.6602,757,1028,44.545277,267.35095
404250,42.4611,-77.7359,734,1437,42.460167,282.27164
404252,42.469,-77.7068,734,1438,42.454426,282.30728
406071,41.7388,-71.2661,752,1616,41.737457,288.72812
404673,40.6152,-103.2339,613,738,40.62759,256.77106
405533,44.0161,-96.3139,734,931,44.01363,263.6883
404963,43.1609,-76.2852,768,1470,43.15613,283.7272
403993,43.2158,-78.9024,755,1400,43.218826,281.10312
405976,41.5668,-73.8327,727,1549,41.571747,286.1594
405979,42.0399,-73.9786,743,1541,42.04322,286.02637
406868,35.9873,-119.4806,514,246,35.980785,240.53656
406867,36.2492,-119.885,527,236,36.256763,240.109
406870,36.6968,-119.8858,543,240,36.70143,240.10994
404892,45.0761,-122.9333,865,237,45.062237,237.05649
402434,45.2128,-93.7187,781,999,45.224426,266.29764
403179,41.3558,-74.6219,714,1530,41.360683,285.38107
402347,32.889,-81.105,366,1409,32.880825,278.8879
402148,37.8402,-121.2152,594,213,37.853676,238.79485
405434,45.5569,-94.1662,793,986,45.558968,265.82
406776,30.3793,-83.3128,262,1355,30.371988,276.6715
406909,46.0003,-68.4573,926,1641,46.002438,291.53506
406845,42.2524,-75.8263,738,1490,42.246525,284.18588
404432,39.7278,-105.1131,584,682,39.738102,254.87376
404657,29.0,-82.6706,215,1384,29.012587,277.32452
405844,30.8761,-86.2077,268,1261,30.877584,273.80484
406785,27.5467,-80.6675,172,1459,27.545927,279.33188
405695,42.0646,-89.4973,671,1120,42.066174,270.51944
405653,39.4148,-108.0893,580,597,39.40439,251.92755
402166,43.847,-93.8376,730,997,43.85971,266.14484
403020,42.4855,-76.3205,744,1474,42.503017,283.6691
404915,45.0108,-69.032,886,1638,45.008118,290.95654
404213,37.8269,-89.0129,516,1147,37.838406,270.9775
404037,45.6592,-93.9317,797,992,45.659954,266.0551
405969,42.1736,-89.0892,676,1130,42.17628,270.89716
402770,45.4952,-94.1168,791,988,45.503513,265.8936
402877,44.1103,-93.5029,740,1006,44.117966,266.49594
403297,44.1046,-91.8685,742,1050,44.10976,268.14285
404266,41.3532,-74.5163,714,1533,41.340748,285.4854
403279,31.6943,-102.6884,281,735,31.697712,257.32715
403634,44.2519,-93.2741,745,1012,44.24485,266.72867
404729,43.276,-77.955,762,1425,43.264645,282.05917
403596,40.2802,-103.618,601,726,40.283886,256.37408
402378,37.0711,-106.0052,488,648,37.078026,253.9969
403274,27.2197,-80.741,159,1459,27.207209,279.26147
404700,27.6396,-81.9374,168,1417,27.63654,278.07388
401934,42.5624,-72.5887,771,1573,42.546925,287.41586
403346,44.6563,-93.1114,760,1016,44.641815,266.90524
404235,45.0854,-94.2137,775,986,45.077217,265.79538
403332,44.1975,-93.6136,743,1003,44.20187,266.38858
404477,44.1114,-92.747,741,1026,44.119297,267.24475
402858,41.7754,-74.7747,728,1522,41.779167,285.22543
402859,41.7748,-75.0339,726,1515,41.772736,284.96265
403046,44.9327,-73.6712,849,1522,44.9277,286.34506
403368,42.8263,-74.0593,771,1531,42.840324,285.93112
403369,42.9132,-73.601,777,1543,42.9143,286.41315
403371,42.7662,-77.3433,747,1445,42.755444,282.65958
403372,42.9855,-78.2895,750,1418,42.988464,281.71454
403417,41.6154,-71.566,745,1609,41.609116,288.4152
406726,41.4585,-71.7057,739,1607,41.468742,288.28616
401893,37.1907,-105.9847,492,649,37.187935,254.01813
405728,41.9948,-72.5254,752,1580,42.00369,287.47617
406766,46.9167,-67.8564,963,1645,46.90741,292.1318
406767,46.9261,-67.8329,964,1646,46.924263,292.1812
403893,44.2502,-93.2696,745,1012,44.24485,266.72867
405913,44.9533,-95.7005,769,947,44.945473,264.31125
403861,41.4567,-96.0048,639,941,41.45436,264.00363
404784,42.6081,-76.1327,749,1478,42.60935,283.85315
402527,45.4381,-94.0452,789,990,45.448013,265.96707
402050,44.9499,-95.497,769,952,44.942696,264.50055
402257,42.3336,-71.9918,768,1591,42.33812,288.01825
402149,35.7592,-119.3484,505,247,35.75143,240.63947
405455,39.8432,-111.8893,611,491,39.84632,248.10245
406692,42.9144,-77.4534,752,1441,42.910065,282.55606
406793,38.9157,-76.9171,611,1488,38.925125,283.09033
406831,44.4863,-121.2482,833,275,44.50368,238.76016
406832,44.6288,-123.0201,850,231,44.631466,236.99324
406833,45.0278,-123.0939,865,233,45.032898,236.91057
403767,45.1265,-122.6077,865,246,45.12764,237.38528
405307,45.6613,-93.9422,797,992,45.659954,266.0551
403960,37.5719,-106.0998,507,647,37.5858,253.90334
406693,42.8981,-77.4595,751,1441,42.883804,282.54813
406703,42.259,-72.0174,765,1591,42.260445,287.9884
405819,39.5631,-77.1618,632,1476,39.549072,282.84396
406738,45.4927,-92.8663,792,1020,45.492996,267.1163
407471,41.6792,-70.8948,753,1627,41.679394,289.119
407510,41.6635,-70.3998,756,1640,41.65604,289.59906
407362,36.3614,-119.392,527,251,36.353134,240.59633
400004,27.7858,-82.3903,171,1401,27.78543,277.6161
406516,29.1121,-96.5242,180,931,29.11808,263.47025
407459,34.0609,-93.0839,368,1035,34.07018,266.91248
406601,40.3363,-104.8843,606,691,40.3492,255.12668
406611,42.012,-73.3466,746,1558,42.00407,286.64984
407374,34.4431,-84.7094,406,1290,34.44807,275.296
407534,42.4641,-88.2797,689,1151,42.470646,271.7034
407077,42.4666,-88.5981,688,1143,42.465015,271.40933
407078,41.3902,-87.5958,651,1174,41.388706,272.38904
407079,38.5803,-89.6896,542,1125,38.589527,270.3039
407080,38.578,-89.6998,542,1125,38.589527,270.3039
407092,39.5597,-89.2712,579,1134,39.56278,270.72733
407519,38.5049,-89.1471,540,1141,38.49795,270.84763
407469,38.1792,-88.1707,531,1171,38.17859,271.84503
407470,39.9801,-90.4812,592,1098,39.99248,269.50592
407088,41.7744,-89.7869,659,1113,41.760307,270.22995
405017,42.4521,-70.9682,780,1617,42.452953,289.05026
406610,42.4254,-72.5185,767,1576,42.42159,287.48227
407405,42.1582,-73.2894,752,1558,42.16008,286.7064
407409,42.1623,-72.8513,755,1570,42.153267,287.15552
407095,39.16,-76.7862,620,1490,39.149822,283.22763
406585,44.1823,-70.5098,845,1610,44.180737,289.49118
407182,44.2814,-70.5253,848,1609,44.26558,289.48782
407331,44.3474,-70.1306,854,1618,44.349327,289.87622
407287,45.0861,-94.1821,775,987,45.076252,265.8333
407366,35.742,-80.2924,475,1414,35.74046,279.69223
406434,40.5294,-74.3882,686,1544,40.536106,285.61804
407576,39.9078,-74.23,665,1554,39.920464,285.77515
407577,39.9065,-74.2275,664,1554,39.89435,285.76633
406606,44.3488,-75.4855,816,1480,44.347614,284.50427
407063,42.6594,-76.9278,746,1457,42.65832,283.08017
407074,41.4073,-74.5852,716,1530,41.412914,285.39874
407090,43.0691,-75.9445,767,1479,43.074245,284.04132
407185,42.7937,-77.5264,747,1440,42.784542,282.48065
407304,42.9782,-77.8749,752,1429,42.979103,282.12537
407311,43.5241,-76.1586,782,1470,43.522434,283.8458
407384,43.2732,-73.5225,790,1541,43.265945,286.46506
