time,tarawa_dir,tarawa_spd,christmas_dir,christmas_spd
2026-06-06 23:00:00,210.0,7.0,80.0,8.0
2026-06-07 00:00:00,250.0,6.0,90.0,8.0
2026-06-07 01:00:00,250.0,7.0,90.0,7.0
2026-06-07 02:00:00,260.0,9.0,100.0,8.0
2026-06-07 03:00:00,230.0,8.0,80.0,7.0
2026-06-07 04:00:00,220.0,9.0,70.0,4.0
2026-06-07 05:00:00,240.0,8.0,110.0,3.0
2026-06-07 06:00:00,240.0,6.0,110.0,4.0
2026-06-07 07:00:00,,,110.0,5.0
2026-06-07 08:00:00,310.0,10.0,110.0,6.0
2026-06-07 09:00:00,,,110.0,6.0
2026-06-07 10:00:00,250.0,13.0,110.0,5.0
2026-06-07 11:00:00,,,,
2026-06-07 12:00:00,270.0,8.0,100.0,7.0
2026-06-07 13:00:00,280.0,6.0,110.0,8.0
2026-06-07 14:00:00,,,,
2026-06-07 15:00:00,340.0,4.0,110.0,6.0
2026-06-07 16:00:00,280.0,4.0,100.0,5.0
2026-06-07 17:00:00,,,,
2026-06-07 18:00:00,,,,
2026-06-07 19:00:00,,,,
2026-06-07 20:00:00,,,,
2026-06-07 21:00:00,,,110.0,8.0
2026-06-07 22:00:00,,,100.0,7.0
2026-06-07 23:00:00,240.0,9.0,110.0,7.0
2026-06-08 00:00:00,,,100.0,6.0
2026-06-08 01:00:00,260.0,10.0,100.0,7.0
2026-06-08 02:00:00,,,110.0,6.0
2026-06-08 03:00:00,280.0,9.0,110.0,6.0
2026-06-08 04:00:00,280.0,8.0,110.0,4.0
2026-06-08 05:00:00,270.0,7.0,110.0,4.0
2026-06-08 06:00:00,260.0,8.0,100.0,3.0
2026-06-08 07:00:00,260.0,9.0,100.0,3.0
2026-06-08 08:00:00,250.0,8.0,100.0,3.0
2026-06-08 09:00:00,,,100.0,4.0
2026-06-08 10:00:00,,,110.0,5.0
2026-06-08 11:00:00,250.0,7.0,110.0,4.0
2026-06-08 12:00:00,,,110.0,3.0
2026-06-08 13:00:00,,,110.0,3.0
2026-06-08 14:00:00,,,110.0,4.0
2026-06-08 15:00:00,,,110.0,4.0
2026-06-08 16:00:00,,,110.0,3.0
2026-06-08 17:00:00,,,100.0,3.0
2026-06-08 18:00:00,270.0,5.0,,2.0
2026-06-08 19:00:00,270.0,10.0,100.0,3.0
2026-06-08 20:00:00,260.0,3.0,100.0,6.0
2026-06-08 21:00:00,270.0,7.0,100.0,5.0
2026-06-08 22:00:00,260.0,7.0,100.0,5.0
2026-06-08 23:00:00,270.0,5.0,110.0,7.0
2026-06-09 00:00:00,,,90.0,5.0
2026-06-09 01:00:00,280.0,4.0,100.0,5.0
2026-06-09 02:00:00,230.0,11.0,100.0,5.0
2026-06-09 03:00:00,230.0,7.0,90.0,4.0
2026-06-09 04:00:00,,,80.0,4.0
2026-06-09 05:00:00,270.0,7.0,,2.0
2026-06-09 06:00:00,,,,1.0
