T	BoM MJO RMM RMM2
julian_day	unitless
    2442200.    	    1.203040    
    2442201.    	    1.015120    
    2442202.    	    1.085510    
    2442203.    	    1.035730    
    2442204.    	    1.305180    
    2442205.    	    1.628890    
    2442206.    	    1.722480    
    2442207.    	    1.778180    
    2442208.    	    1.356940    
    2442209.    	   0.7754760    
    2442210.    	   0.3895340    
    2442211.    	   1.3885200E-02
    2442212.    	  -0.2176700    
    2442213.    	  -0.3810500    
    2442214.    	  -0.6453500    
    2442215.    	  -0.4710700    
    2442216.    	  -0.4875200    
    2442217.    	  -0.3639800    
    2442218.    	  -0.3555700    
    2442219.    	  -0.4764600    
    2442220.    	  -0.8327500    
    2442221.    	  -0.8386700    
    2442222.    	  -0.5040500    
    2442223.    	  -0.3244400    
    2442224.    	  -0.3335500    
    2442225.    	  -0.4141800    
    2442226.    	  -0.3598900    
    2442227.    	  -0.2979900    
    2442228.    	  -0.4018900    
    2442229.    	  -0.2438500    
    2442230.    	   8.7101303E-02
    2442231.    	   0.2301200    
    2442232.    	   0.3871550    
    2442233.    	   0.4261380    
    2442234.    	   0.4003940    
    2442235.    	   0.5954070    
    2442236.    	   0.8704440    
    2442237.    	    1.088250    
    2442238.    	    1.170530    
    2442239.    	    1.129660    
    2442240.    	   0.9985710    
    2442241.    	   0.7027090    
    2442242.    	   0.4022800    
    2442243.    	   0.1108410    
    2442244.    	  -0.1318600    
    2442245.    	  -0.3131800    
    2442246.    	  -0.5031500    
    2442247.    	  -0.4485100    
    2442248.    	  -0.4816500    
    2442249.    	  -0.9020500    
    2442250.    	   -1.291660    
    2442251.    	   -1.209970    
    2442252.    	   -1.047460    
    2442253.    	  -0.8778300    
    2442254.    	  -0.8361900    
    2442255.    	  -0.8081300    
    2442256.    	  -0.6000300    
    2442257.    	  -0.4206800    
    2442258.    	  -0.1322400    
    2442259.    	   5.7481099E-02
    2442260.    	   0.6626220    
    2442261.    	   0.9644910    
    2442262.    	    1.277680    
    2442263.    	    1.396580    
    2442264.    	    1.598830    
    2442265.    	    1.671500    
    2442266.    	    1.739890    
    2442267.    	    1.774260    
    2442268.    	    1.730520    
    2442269.    	    1.436980    
    2442270.    	    1.289150    
    2442271.    	   0.9617550    
    2442272.    	   0.6550390    
    2442273.    	   0.4874530    
    2442274.    	   0.4925340    
    2442275.    	   0.4983320    
    2442276.    	   0.1857920    
    2442277.    	   6.1874699E-02
    2442278.    	  -0.2001300    
    2442279.    	  -0.3209900    
    2442280.    	  -0.2014100    
    2442281.    	  -0.1798500    
    2442282.    	  -3.0315099E-02
    2442283.    	   2.5394000E-02
    2442284.    	  -3.0573800E-02
    2442285.    	   9.0743102E-02
    2442286.    	   0.1482050    
    2442287.    	  -9.1490597E-02
    2442288.    	  -0.2460200    
    2442289.    	  -0.1928800    
    2442290.    	  -0.1870700    
    2442291.    	  -0.2894300    
    2442292.    	  -0.3222600    
    2442293.    	  -0.3491300    
    2442294.    	  -0.4704300    
    2442295.    	  -0.5704800    
    2442296.    	  -0.7616400    
    2442297.    	   -1.195410    
    2442298.    	   -1.491670    
    2442299.    	   -1.290560    
    2442300.    	   -1.091950    
    2442301.    	   -1.106170    
    2442302.    	   -1.016920    
    2442303.    	  -0.7690100    
    2442304.    	  -0.4161400    
    2442305.    	  -0.1998900    
    2442306.    	  -0.2651500    
    2442307.    	  -0.4306500    
    2442308.    	  -0.4992600    
    2442309.    	  -0.3435000    
    2442310.    	  -0.4189400    
    2442311.    	  -0.4085100    
    2442312.    	  -0.5457600    
    2442313.    	  -0.6326000    
    2442314.    	  -0.5223200    
    2442315.    	  -0.4315200    
    2442316.    	  -0.3606700    
    2442317.    	  -0.2326900    
    2442318.    	  -0.2154800    
    2442319.    	  -0.3926500    
    2442320.    	  -0.7287000    
    2442321.    	  -0.8855500    
    2442322.    	  -0.9097400    
    2442323.    	  -0.9504400    
    2442324.    	  -0.5804200    
    2442325.    	  -0.3863300    
    2442326.    	  -0.1052200    
    2442327.    	   0.1841930    
    2442328.    	   0.4593250    
    2442329.    	   0.3687200    
    2442330.    	   0.2162490    
    2442331.    	   0.1968640    
    2442332.    	   5.4135099E-02
    2442333.    	  -8.3649099E-02
    2442334.    	  -0.2084700    
    2442335.    	  -0.1939700    
    2442336.    	  -0.2171900    
    2442337.    	  -5.0491601E-02
    2442338.    	   0.1742740    
    2442339.    	   0.3924610    
    2442340.    	   0.5358690    
    2442341.    	   0.6393290    
    2442342.    	   0.7306020    
    2442343.    	   0.7902810    
    2442344.    	   0.6532910    
    2442345.    	   0.5189270    
    2442346.    	   0.5628450    
    2442347.    	   0.3127780    
    2442348.    	  -0.1321700    
    2442349.    	  -0.4175500    
    2442350.    	  -0.2362100    
    2442351.    	  -5.5858899E-02
    2442352.    	   2.5939500E-02
    2442353.    	   0.1758810    
    2442354.    	   0.4357840    
    2442355.    	   0.7056540    
    2442356.    	   0.5500470    
    2442357.    	   0.4921610    
    2442358.    	   0.4455400    
    2442359.    	   0.5764230    
    2442360.    	   0.4463980    
    2442361.    	   0.7162250    
    2442362.    	   0.8025270    
    2442363.    	   0.7813940    
    2442364.    	   0.7377090    
    2442365.    	   0.7532060    
    2442366.    	   0.6739280    
    2442367.    	   0.3513810    
    2442368.    	   0.2800800    
    2442369.    	   0.5614470    
    2442370.    	   0.7848130    
    2442371.    	   0.8485710    
    2442372.    	   0.8956940    
    2442373.    	   0.7547850    
    2442374.    	   0.6434280    
    2442375.    	   0.6181380    
    2442376.    	   0.4055640    
    2442377.    	   0.3848950    
    2442378.    	   0.6718850    
    2442379.    	   0.8416430    
    2442380.    	   0.9693570    
    2442381.    	    1.035850    
    2442382.    	    1.139320    
    2442383.    	   0.9686440    
    2442384.    	   0.8908900    
    2442385.    	   0.7095990    
    2442386.    	   0.2026920    
    2442387.    	  -0.3334400    
    2442388.    	  -0.6329900    
    2442389.    	  -0.4708400    
    2442390.    	  -0.1871600    
    2442391.    	  -3.4988299E-02
    2442392.    	  -1.1546100E-02
    2442393.    	   0.1936030    
    2442394.    	   0.4171110    
    2442395.    	   0.4697700    
    2442396.    	   0.2045870    
    2442397.    	   0.3582850    
    2442398.    	   0.5970070    
    2442399.    	   0.6985610    
    2442400.    	   0.7156670    
    2442401.    	   0.6730640    
    2442402.    	   0.7351620    
    2442403.    	   0.4943730    
    2442404.    	   0.4104090    
    2442405.    	  -0.1810600    
    2442406.    	  -0.3610400    
    2442407.    	  -0.5488800    
    2442408.    	  -0.8604800    
    2442409.    	   -1.016900    
    2442410.    	  -0.7292600    
    2442411.    	  -0.5342600    
    2442412.    	  -0.7188700    
    2442413.    	   -1.071140    
    2442414.    	   -1.022170    
    2442415.    	   -1.218420    
    2442416.    	   -1.069700    
    2442417.    	   -1.058940    
    2442418.    	   -1.013780    
    2442419.    	   -1.132140    
    2442420.    	   -1.118670    
    2442421.    	  -0.6798500    
    2442422.    	  -0.1822600    
    2442423.    	   5.6797501E-02
    2442424.    	   0.1820180    
    2442425.    	   0.4775360    
    2442426.    	   0.7096280    
    2442427.    	    1.201790    
    2442428.    	    1.412210    
    2442429.    	    1.700460    
    2442430.    	    1.725510    
    2442431.    	    1.535730    
    2442432.    	    1.179690    
    2442433.    	    1.230320    
    2442434.    	   0.8587010    
    2442435.    	   0.6649440    
    2442436.    	   0.4757110    
    2442437.    	   0.4287350    
    2442438.    	   0.4344510    
    2442439.    	   0.6151970    
    2442440.    	   0.8622860    
    2442441.    	    1.179490    
    2442442.    	   0.7505020    
    2442443.    	   0.6127800    
    2442444.    	   0.2445100    
    2442445.    	  -0.1508000    
    2442446.    	  -0.5352400    
    2442447.    	   -1.046010    
    2442448.    	   -1.498820    
    2442449.    	   -1.587340    
    2442450.    	   -1.731760    
    2442451.    	   -2.109770    
    2442452.    	   -2.035260    
    2442453.    	   -1.656310    
    2442454.    	   -1.397820    
    2442455.    	  -0.9005100    
    2442456.    	  -0.5190000    
    2442457.    	  -1.3109200E-02
    2442458.    	   0.3293660    
    2442459.    	   0.8666420    
    2442460.    	    1.021040    
    2442461.    	   0.9421340    
    2442462.    	    1.030020    
    2442463.    	   0.9060210    
    2442464.    	   0.5238940    
    2442465.    	   0.3889570    
    2442466.    	  -0.1243300    
    2442467.    	  -4.1727800E-02
    2442468.    	  -6.6544302E-02
    2442469.    	  -0.2883300    
    2442470.    	  -0.5978500    
    2442471.    	  -0.9905800    
    2442472.    	   -1.134430    
    2442473.    	   -1.200540    
    2442474.    	   -1.199000    
    2442475.    	   -1.290460    
    2442476.    	   -1.425000    
    2442477.    	   -1.370590    
    2442478.    	   -1.493410    
    2442479.    	   -1.575430    
    2442480.    	   -1.605450    
    2442481.    	   -1.346720    
    2442482.    	   -1.142200    
    2442483.    	   -1.331210    
    2442484.    	   -1.496850    
    2442485.    	   -1.565660    
    2442486.    	   -1.686820    
    2442487.    	   -1.932520    
    2442488.    	   -2.087570    
    2442489.    	   -1.747190    
    2442490.    	   -1.290230    
    2442491.    	  -0.9515800    
    2442492.    	  -0.6818900    
    2442493.    	  -0.7110800    
    2442494.    	  -0.3338600    
    2442495.    	   0.3130890    
    2442496.    	   0.6620990    
    2442497.    	   0.9332530    
    2442498.    	   0.9552820    
    2442499.    	   0.7384690    
    2442500.    	   0.7764110    
    2442501.    	    1.029180    
    2442502.    	    1.257580    
    2442503.    	    1.528970    
    2442504.    	    1.553680    
    2442505.    	    1.193770    
    2442506.    	   0.8582680    
    2442507.    	   0.8537630    
    2442508.    	   0.6781550    
    2442509.    	   0.3673390    
    2442510.    	  -6.7167699E-02
    2442511.    	  -0.4862700    
    2442512.    	   -1.183660    
    2442513.    	   -1.459840    
    2442514.    	   -1.547270    
    2442515.    	   -2.025040    
    2442516.    	   -2.366270    
    2442517.    	   -2.691720    
    2442518.    	   -2.825230    
    2442519.    	   -2.473120    
    2442520.    	   -2.154410    
    2442521.    	   -1.657940    
    2442522.    	   -1.172180    
    2442523.    	  -0.7315500    
    2442524.    	  -0.2093800    
    2442525.    	   0.3097680    
    2442526.    	   0.8828380    
    2442527.    	    1.046720    
    2442528.    	   0.8387740    
    2442529.    	   0.8612740    
    2442530.    	   0.9247280    
    2442531.    	   0.8384620    
    2442532.    	   0.5038420    
    2442533.    	   0.1774170    
    2442534.    	  -9.1464400E-02
    2442535.    	  -0.4298000    
    2442536.    	  -0.6393600    
    2442537.    	  -0.8540500    
    2442538.    	  -0.9621400    
    2442539.    	   -1.108400    
    2442540.    	   -1.068220    
    2442541.    	  -0.5803600    
    2442542.    	  -0.4848200    
    2442543.    	  -0.3634000    
    2442544.    	  -0.3875300    
    2442545.    	  -0.5071600    
    2442546.    	  -0.4251600    
    2442547.    	  -0.1457600    
    2442548.    	  -0.2746000    
    2442549.    	  -0.3081500    
    2442550.    	  -0.1237300    
    2442551.    	  -7.6407500E-02
    2442552.    	  -0.1012500    
    2442553.    	  -0.3703900    
    2442554.    	  -0.3783200    
    2442555.    	  -0.4826200    
    2442556.    	  -0.6996700    
    2442557.    	   -1.055080    
    2442558.    	   -1.169020    
    2442559.    	   -1.003270    
    2442560.    	  -0.5168300    
