T	BoM MJO RMM amplitude
julian_day	unitless
    2442200.    	    2.029480    
    2442201.    	    1.897290    
    2442202.    	    1.864760    
    2442203.    	    1.830920    
    2442204.    	    2.033260    
    2442205.    	    2.026900    
    2442206.    	    1.827670    
    2442207.    	    1.807890    
    2442208.    	    1.360180    
    2442209.    	   0.7802440    
    2442210.    	   0.4051480    
    2442211.    	   0.1212860    
    2442212.    	   0.2185190    
    2442213.    	   0.3950820    
    2442214.    	   0.6707750    
    2442215.    	   0.5268650    
    2442216.    	   0.6974020    
    2442217.    	   0.6761340    
    2442218.    	   0.7807050    
    2442219.    	   0.8710150    
    2442220.    	    1.375230    
    2442221.    	    1.382060    
    2442222.    	    1.175940    
    2442223.    	   0.9426580    
    2442224.    	   0.8353040    
    2442225.    	   0.9316070    
    2442226.    	   0.8784130    
    2442227.    	   0.6382500    
    2442228.    	   0.4134420    
    2442229.    	   0.2440170    
    2442230.    	   0.2747240    
    2442231.    	   0.3525010    
    2442232.    	   0.5256690    
    2442233.    	   0.9458210    
    2442234.    	    1.190040    
    2442235.    	    1.230060    
    2442236.    	    1.191000    
    2442237.    	    1.170760    
    2442238.    	    1.173330    
    2442239.    	    1.136090    
    2442240.    	    1.036790    
    2442241.    	   0.7164350    
    2442242.    	   0.4513730    
    2442243.    	   0.2281140    
    2442244.    	   0.1626910    
    2442245.    	   0.3313820    
    2442246.    	   0.5031800    
    2442247.    	   0.4831670    
    2442248.    	   0.5598150    
    2442249.    	   0.9608570    
    2442250.    	    1.342190    
    2442251.    	    1.258580    
    2442252.    	    1.118690    
    2442253.    	   0.9851670    
    2442254.    	   0.9509130    
    2442255.    	   0.9814160    
    2442256.    	   0.9525710    
    2442257.    	   0.7872620    
    2442258.    	   0.7965030    
    2442259.    	    1.137700    
    2442260.    	    1.416520    
    2442261.    	    1.625850    
    2442262.    	    1.845130    
    2442263.    	    1.935270    
    2442264.    	    2.028490    
    2442265.    	    1.868840    
    2442266.    	    1.820530    
    2442267.    	    1.778560    
    2442268.    	    1.736700    
    2442269.    	    1.451340    
    2442270.    	    1.307310    
    2442271.    	    1.189390    
    2442272.    	    1.249200    
    2442273.    	    1.300020    
    2442274.    	    1.370480    
    2442275.    	    1.526450    
    2442276.    	    1.493810    
    2442277.    	    1.132370    
    2442278.    	   0.8119920    
    2442279.    	   0.5388620    
    2442280.    	   0.3584130    
    2442281.    	   0.4007010    
    2442282.    	   8.2733601E-02
    2442283.    	   0.4496430    
    2442284.    	   0.6028280    
    2442285.    	   0.6590730    
    2442286.    	   0.4444140    
    2442287.    	   0.3358400    
    2442288.    	   0.3832530    
    2442289.    	   0.4722740    
    2442290.    	   0.4750310    
    2442291.    	   0.6240160    
    2442292.    	   0.8099410    
    2442293.    	   0.8336390    
    2442294.    	   0.9752210    
    2442295.    	    1.104890    
    2442296.    	    1.217660    
    2442297.    	    1.535870    
    2442298.    	    1.706360    
    2442299.    	    1.522840    
    2442300.    	    1.271850    
    2442301.    	    1.180790    
    2442302.    	    1.165720    
    2442303.    	    1.056870    
    2442304.    	   0.9436390    
    2442305.    	   0.8988060    
    2442306.    	   0.8507730    
    2442307.    	   0.8914720    
    2442308.    	    1.172620    
    2442309.    	    1.248100    
    2442310.    	    1.201680    
    2442311.    	   0.9395220    
    2442312.    	   0.9832590    
    2442313.    	   0.9244440    
    2442314.    	   0.8117300    
    2442315.    	   0.5814960    
    2442316.    	   0.5298160    
    2442317.    	   0.3740620    
    2442318.    	   0.2249700    
    2442319.    	   0.4011410    
