T	BoM MJO RMM phase
julian_day	unitless
    2442200.    	    5.000000    
    2442201.    	    5.000000    
    2442202.    	    5.000000    
    2442203.    	    5.000000    
    2442204.    	    5.000000    
    2442205.    	    6.000000    
    2442206.    	    6.000000    
    2442207.    	    6.000000    
    2442208.    	    6.000000    
    2442209.    	    7.000000    
    2442210.    	    6.000000    
    2442211.    	    5.000000    
    2442212.    	    3.000000    
    2442213.    	    2.000000    
    2442214.    	    2.000000    
    2442215.    	    2.000000    
    2442216.    	   1.0000000    
    2442217.    	   1.0000000    
    2442218.    	   1.0000000    
    2442219.    	   1.0000000    
    2442220.    	   1.0000000    
    2442221.    	   1.0000000    
    2442222.    	   1.0000000    
    2442223.    	   1.0000000    
    2442224.    	   1.0000000    
    2442225.    	   1.0000000    
    2442226.    	   1.0000000    
    2442227.    	   1.0000000    
    2442228.    	    2.000000    
    2442229.    	    3.000000    
    2442230.    	    5.000000    
    2442231.    	    5.000000    
    2442232.    	    6.000000    
    2442233.    	    5.000000    
    2442234.    	    5.000000    
    2442235.    	    5.000000    
    2442236.    	    6.000000    
    2442237.    	    6.000000    
    2442238.    	    6.000000    
    2442239.    	    7.000000    
    2442240.    	    7.000000    
    2442241.    	    7.000000    
    2442242.    	    7.000000    
    2442243.    	    8.000000    
    2442244.    	    2.000000    
    2442245.    	    2.000000    
    2442246.    	    2.000000    
    2442247.    	    3.000000    
    2442248.    	    3.000000    
    2442249.    	    3.000000    
    2442250.    	    3.000000    
    2442251.    	    3.000000    
    2442252.    	    3.000000    
    2442253.    	    3.000000    
    2442254.    	    3.000000    
    2442255.    	    3.000000    
    2442256.    	    4.000000    
    2442257.    	    4.000000    
    2442258.    	    4.000000    
    2442259.    	    5.000000    
    2442260.    	    5.000000    
    2442261.    	    5.000000    
    2442262.    	    5.000000    
    2442263.    	    6.000000    
    2442264.    	    6.000000    
    2442265.    	    6.000000    
    2442266.    	    6.000000    
    2442267.    	    6.000000    
    2442268.    	    7.000000    
    2442269.    	    7.000000    
    2442270.    	    6.000000    
    2442271.    	    6.000000    
    2442272.    	    5.000000    
    2442273.    	    5.000000    
    2442274.    	    5.000000    
    2442275.    	    5.000000    
    2442276.    	    5.000000    
    2442277.    	    5.000000    
    2442278.    	    4.000000    
    2442279.    	    4.000000    
    2442280.    	    4.000000    
    2442281.    	    4.000000    
    2442282.    	   1.0000000    
    2442283.    	    8.000000    
    2442284.    	   1.0000000    
