time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-17 23:15:17,125.2300,49.1700, 985.4,  243, 17.7, 15.3, 15.3, 86, 86,11.17,201, 4.0
2026-09-17 23:15:18,125.3249,49.2344, 984.4,  257, 17.3, 13.7, 13.7, 80, 80,10.08,197, 4.6
2026-09-17 23:15:21,125.3250,49.2345, 982.2,  276, 17.0, 13.5, 13.5, 80, 80, 9.94,194, 4.7
2026-09-17 23:15:43,125.3253,49.2356, 966.4,  418, 15.6, 13.1, 13.1, 85, 85, 9.84,202, 8.1
2026-09-17 23:16:14,125.3277,49.2384, 944.7,  614, 15.1, 13.3, 13.3, 89, 89,10.20,216,13.1
2026-09-17 23:16:21,125.3286,49.2391, 939.7,  660, 16.1, 14.5, 14.5, 90, 90,11.07,219,13.5
2026-09-17 23:16:25,125.3289,49.2395, 936.9,  687, 18.8, 15.8, 15.8, 83, 83,12.11,220,13.5
2026-09-17 23:16:27,125.3291,49.2397, 935.4,  701, 19.7, 16.2, 16.2, 81, 81,12.50,221,13.5
2026-09-17 23:16:32,125.3299,49.2401, 931.9,  734, 20.5, 14.2, 14.2, 67, 67,11.00,221,13.3
2026-09-17 23:16:35,125.3303,49.2404, 929.7,  754, 21.4, 12.5, 12.5, 57, 57, 9.84,222,13.1
2026-09-17 23:16:41,125.3360,49.2378, 925.0,  798, 22.3, 10.7, 10.7, 48, 48, 8.79,224,12.5
2026-09-17 23:16:45,125.3315,49.2413, 922.8,  818, 22.7,  9.6,  9.6, 43, 43, 8.16,225,12.2
2026-09-17 23:16:47,125.3317,49.2414, 921.6,  831, 22.7,  9.2,  9.2, 42, 42, 7.94,226,11.9
2026-09-17 23:16:57,125.3329,49.2421, 914.8,  891, 22.6,  7.2,  7.2, 37, 37, 6.96,232,10.9
2026-09-17 23:17:19,125.3355,49.2430, 900.0, 1034, 23.8,  3.7,  3.7, 27, 27, 5.55,249,10.6
2026-09-17 23:17:47,125.3395,49.2438, 880.6, 1224, 22.3,  1.9,  1.9, 26, 26, 4.98,254,10.5
2026-09-17 23:17:57,125.3409,49.2441, 874.2, 1286, 21.8,  1.7,  1.7, 27, 27, 4.95,254,10.9
2026-09-17 23:18:33,125.3460,49.2478, 850.0, 1528, 20.6,  1.3,  1.3, 28, 28, 4.96,246,13.5
2026-09-17 23:18:37,125.3473,49.2457, 847.9, 1550, 20.4,  1.4,  1.4, 28, 28, 4.99,246,13.6
2026-09-17 23:18:47,125.3491,49.2462, 841.3, 1615, 19.9,  0.9,  0.9, 28, 28, 4.86,245,13.8
2026-09-17 23:19:40,125.3580,49.2493, 807.0, 1972, 17.1, -3.1, -2.8, 25, 25, 3.77,236,13.8
2026-09-17 23:19:47,125.3591,49.2498, 802.6, 2018, 16.6, -3.2, -2.9, 25, 25, 3.75,235,14.0
2026-09-17 23:20:47,125.3691,49.2545, 763.1, 2444, 12.6, -3.9, -3.4, 31, 31, 3.76,233,15.9
