time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-19 11:15:30, 96.9500,33.0000, 653.5, 3712,  9.3,  6.2,  6.2, 81, 81, 9.15,133, 1.0
2026-09-19 11:15:41, 96.9501,33.0000, 648.7, 3783,  9.5,  5.8,  5.8, 77, 77, 8.93, 84, 2.8
2026-09-19 11:17:00, 96.9479,33.0002, 610.9, 4283,  5.3,  3.9,  3.9, 90, 90, 8.30,122, 2.7
2026-09-19 11:17:22, 96.9458,32.9986, 600.0, 4420,  4.2,  3.2,  3.2, 93, 93, 8.08,118, 2.4
2026-09-19 11:17:24, 96.9474,33.0005, 599.2, 4431,  4.1,  3.2,  3.2, 93, 93, 8.06,119, 2.3
2026-09-19 11:17:33, 96.9473,33.0005, 594.7, 4496,  4.3,  3.2,  3.2, 93, 93, 8.12,119, 1.3
2026-09-19 11:18:00, 96.9473,33.0004, 581.0, 4685,  3.2,  1.8,  1.8, 90, 90, 7.52,297, 1.3
2026-09-19 11:18:08, 96.9475,33.0004, 577.1, 4744,  2.9,  1.6,  1.6, 91, 91, 7.49,265, 1.5
2026-09-19 11:19:00, 96.9489,33.0018, 553.2, 5084,  2.5, -0.9, -0.8, 78, 78, 6.48,222, 5.8
2026-09-19 11:19:05, 96.9491,33.0019, 551.1, 5113,  2.5, -1.0, -0.9, 78, 78, 6.48,226, 6.0
2026-09-19 11:19:53, 96.9525,33.0038, 531.0, 5420,  0.1, -2.0, -1.7, 86, 86, 6.26,245, 9.1
2026-09-19 11:19:55, 96.9558,33.0086, 530.2, 5434,  0.0, -1.9, -1.7, 87, 87, 6.27,246, 9.1
2026-09-19 11:20:00, 96.9532,33.0040, 527.9, 5467, -0.1, -1.9, -1.7, 87, 87, 6.32,249, 9.1
2026-09-19 11:20:25, 96.9556,33.0046, 517.5, 5620, -0.6, -3.1, -2.8, 83, 83, 5.89,249, 9.7
2026-09-19 11:21:00, 96.9595,33.0061, 503.3, 5840, -2.4, -3.6, -3.2, 92, 94, 5.83,244,12.3
2026-09-19 11:21:08, 96.9558,33.0086, 500.0, 5888, -2.9, -3.8, -3.4, 94, 96, 5.79,243,12.1
2026-09-19 11:21:16, 96.9613,33.0068, 497.1, 5940, -3.3, -3.9, -3.4, 96, 99, 5.79,243,11.5
2026-09-19 11:21:54, 96.9651,33.0084, 481.9, 6188, -5.5, -5.8, -5.1, 98,103, 5.18,252,10.2
2026-09-19 11:22:00, 96.9658,33.0084, 479.4, 6226, -5.2, -7.0, -6.2, 87, 92, 4.74,254,10.2
2026-09-19 11:22:05, 96.9662,33.0085, 477.3, 6258, -5.2, -7.6, -6.8, 83, 87, 4.52,256,10.1
2026-09-19 11:22:42, 96.9700,33.0092, 462.0, 6512, -7.1,-10.0, -8.9, 80, 85, 3.89,259, 9.1
2026-09-19 11:22:58, 96.9715,33.0094, 456.5, 6603, -7.9, -9.8, -8.7, 86, 93, 3.98,261, 9.0
2026-09-19 11:23:00, 96.9717,33.0094, 455.8, 6617, -8.0, -9.9, -8.8, 86, 93, 3.97,261, 9.1
2026-09-19 11:23:23, 96.9739,33.0098, 447.1, 6772, -8.7,-10.7, -9.5, 85, 93, 3.79,255,10.4
2026-09-19 11:23:56, 96.9779,33.0108, 436.3, 6962,-10.0,-10.4, -9.3, 97,107, 3.98,251,13.2
2026-09-19 11:24:00, 96.9785,33.0111, 435.0, 6983,-10.0,-10.5, -9.4, 96,106, 3.95,252,13.3
2026-09-19 11:25:10, 96.9880,33.0128, 412.8, 7386,-11.5,-12.8,-11.4, 90,100, 3.46,252,12.1
2026-09-19 11:25:36, 96.9911,33.0137, 404.5, 7536,-12.8,-13.6,-12.2, 93,105, 3.31,250,10.5
2026-09-19 11:25:50, 96.9958,33.0186, 400.0, 7617,-13.3,-14.9,-13.3, 88,100, 3.02,248, 8.3
2026-09-19 11:26:00, 96.9931,33.0144, 397.0, 7673,-13.6,-15.4,-13.8, 86, 99, 2.91,245, 7.0
2026-09-19 11:26:30, 96.9950,33.0152, 386.2, 7873,-14.6,-16.4,-14.7, 86,100, 2.75,248, 8.2
2026-09-19 11:27:00, 96.9982,33.0163, 376.6, 8068,-16.4,-17.0,-15.3, 95,112, 2.68,248,12.9
2026-09-19 11:27:20, 97.0010,33.0173, 370.2, 8213,-17.5,-17.5,-15.7,100,118, 2.62,253,14.0
2026-09-19 11:27:59, 97.0070,33.0186, 358.5, 8445,-18.7,-20.3,-18.2, 87,105, 2.13,255,15.8
2026-09-19 11:28:00, 97.0071,33.0186, 358.2, 8451,-18.7,-20.4,-18.3, 87,105, 2.12,255,15.8
2026-09-19 11:28:43, 97.0139,33.0201, 345.1, 8726,-20.3,-22.4,-20.1, 83,102, 1.85,260,13.7
2026-09-19 11:29:00, 97.0162,33.0204, 339.9, 8844,-21.3,-22.7,-20.4, 88,109, 1.82,266,13.2
2026-09-19 11:29:52, 97.0238,33.0204, 324.7, 9178,-24.4,-25.1,-22.7, 94,119, 1.53,267,14.0
2026-09-19 11:30:00, 97.0251,33.0205, 322.4, 9225,-24.8,-26.2,-23.6, 88,112, 1.40,266,14.2
2026-09-19 11:30:16, 97.0273,33.0206, 317.7, 9328,-25.3,-29.4,-26.6, 69, 88, 1.06,266,15.2
2026-09-19 11:30:29, 97.0297,33.0206, 313.7, 9428,-25.5,-33.7,-30.6, 47, 60, 0.71,268,16.2
2026-09-19 11:31:00, 97.0351,33.0207, 304.6, 9631,-27.1,-36.4,-33.1, 41, 54, 0.56,270,16.9
2026-09-19 11:31:11, 97.0372,33.0207, 301.6, 9703,-27.6,-36.5,-33.2, 43, 56, 0.56,268,16.9
2026-09-19 11:31:18, 97.0358,33.0186, 300.0, 9743,-27.8,-38.3,-34.9, 36, 48, 0.47,266,16.9
2026-09-19 11:31:27, 97.0401,33.0209, 297.4, 9803,-28.2,-40.3,-36.8, 30, 40, 0.39,261,16.9
2026-09-19 11:32:00, 97.0460,33.0219, 288.5,10013,-30.2,-42.2,-38.6, 30, 40, 0.32,260,17.8
2026-09-19 11:33:54, 97.0671,33.0255, 259.4,10769,-36.7,-48.7,-44.8, 28, 40, 0.18,255,15.6
2026-09-19 11:34:00, 97.0680,33.0260, 258.4,10795,-36.8,-49.2,-45.2, 27, 38, 0.17,251,15.8
2026-09-19 11:34:08, 97.0692,33.0262, 256.8,10839,-37.1,-49.6,-45.6, 26, 38, 0.16,249,15.7
2026-09-19 11:34:36, 97.0758,33.0286, 250.0,11024,-38.8,-50.1,-46.1, 29, 43, 0.16,253,15.5
2026-09-19 11:35:49, 97.0872,33.0305, 232.1,11529,-43.3,-52.0,-47.9, 38, 58, 0.14,257,20.4
2026-09-19 11:36:00, 97.0896,33.0308, 229.5,11605,-43.9,-51.3,-47.2, 44, 67, 0.15,254,22.0
2026-09-19 11:36:13, 97.0926,33.0317, 226.1,11703,-44.9,-51.4,-47.4, 48, 74, 0.15,252,23.2
2026-09-19 11:36:46, 97.1003,33.0336, 218.5,11931,-46.7,-54.8,-50.6, 40, 63, 0.10,255,21.6
2026-09-19 11:37:02, 97.1038,33.0344, 214.7,12049,-47.9,-54.6,-50.4, 46, 73, 0.11,255,23.1
2026-09-19 11:37:30, 97.1110,33.0361, 208.4,12244,-49.6,-52.0,-47.9, 76,123, 0.15,258,24.8
2026-09-19 11:37:32, 97.1116,33.0361, 207.9,12258,-49.7,-52.0,-47.9, 77,124, 0.15,259,24.7
2026-09-19 11:38:04, 97.1197,33.0372, 201.1,12476,-51.5,-54.8,-50.6, 68,112, 0.11,258,24.1
2026-09-19 11:38:09, 97.1258,33.0386, 200.0,12512,-51.7,-55.3,-51.1, 65,108, 0.11,257,24.4
2026-09-19 11:38:28, 97.1259,33.0385, 196.4,12630,-52.4,-57.4,-53.1, 55, 92, 0.09,257,25.2
2026-09-19 11:38:54, 97.1328,33.0397, 192.2,12770,-53.3,-58.0,-53.7, 57, 95, 0.08,257,25.1
2026-09-19 11:39:30, 97.1424,33.0417, 185.0,13012,-55.0,-59.5,-55.1, 58, 99, 0.07,257,27.0
2026-09-19 11:40:18, 97.1565,33.0438, 177.2,13287,-57.3,-62.4,-58.0, 53, 92, 0.05,260,28.1
2026-09-19 11:41:04, 97.1695,33.0461, 170.6,13527,-58.3,-64.0,-59.5, 49, 85, 0.04,257,27.1
2026-09-19 11:41:26, 97.1756,33.0473, 167.2,13653,-59.4,-65.3,-60.8, 47, 84, 0.04,258,26.1
2026-09-19 11:41:58, 97.1838,33.0485, 162.8,13820,-59.3,-67.2,-62.6, 35, 63, 0.03,258,21.6
2026-09-19 11:42:22, 97.1889,33.0496, 159.0,13968,-59.3,-67.5,-62.9, 34, 61, 0.03,253,20.8
2026-09-19 11:42:30, 97.1906,33.0503, 157.4,14031,-59.8,-67.8,-63.2, 35, 63, 0.03,253,21.7
2026-09-19 11:42:41, 97.1933,33.0508, 155.3,14116,-60.6,-68.4,-63.8, 36, 65, 0.03,252,22.1
2026-09-19 11:43:20, 97.2058,33.0486, 150.0,14329,-62.4,-69.8,-65.2, 37, 68, 0.02,249,20.3
2026-09-19 11:43:30, 97.2034,33.0541, 148.4,14394,-62.8,-70.3,-65.7, 36, 67, 0.02,248,19.7
2026-09-19 11:44:16, 97.2118,33.0571, 140.2,14745,-64.9,-72.6,-67.9, 35, 65, 0.02,244,18.9
2026-09-19 11:44:30, 97.2142,33.0583, 137.5,14862,-65.8,-73.4,-68.7, 35, 66, 0.01,241,19.1
2026-09-19 11:45:30, 97.2231,33.0640, 126.2,15376,-70.1,-76.4,-71.6, 40, 79, 0.01,231,18.8
2026-09-19 11:45:32, 97.2237,33.0642, 125.9,15390,-70.3,-76.5,-71.8, 40, 80, 0.01,232,19.3
2026-09-19 11:46:08, 97.2300,33.0689, 119.8,15687,-72.2,-78.1,-73.3, 42, 84, 0.01,228,23.4
2026-09-19 11:46:30, 97.2343,33.0717, 116.0,15873,-73.8,-79.6,-74.9, 41, 84, 0.01,233,23.5
2026-09-19 11:46:35, 97.2354,33.0727, 115.0,15922,-74.1,-79.9,-75.2, 42, 85, 0.01,235,23.0
2026-09-19 11:47:16, 97.2438,33.0755, 108.2,16276,-75.4,-81.7,-76.9, 38, 79, 0.01,250,19.0
2026-09-19 11:47:30, 97.2462,33.0766, 106.7,16358,-75.1,-81.5,-76.8, 37, 77, 0.01,247,17.3
2026-09-19 11:47:31, 97.2463,33.0767, 106.5,16367,-75.1,-81.5,-76.8, 37, 77, 0.01,246,17.2
2026-09-19 11:47:47, 97.2490,33.0777, 104.6,16473,-75.5,-82.1,-77.3, 36, 74, 0.00,237,18.1
2026-09-19 11:47:58, 97.2508,33.0789, 103.1,16560,-74.3,-81.1,-76.4, 35, 73, 0.01,230,18.1
2026-09-19 11:48:13, 97.2527,33.0805, 101.1,16674,-74.9,-81.6,-76.9, 36, 74, 0.01,225,18.7
2026-09-19 11:48:23, 97.2558,33.0786, 100.0,16735,-73.5,-80.8,-76.1, 33, 67, 0.01,224,21.6
2026-09-19 11:48:25, 97.2545,33.0820,  99.9,16743,-73.3,-81.1,-76.3, 31, 62, 0.01,224,22.0
