time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-26 11:31:23,136.0060,31.4938,1011.1,    6, 27.6, 25.2, 25.2, 87, 87,20.29,211, 7.4
2026-09-26 11:31:48,136.0071,31.4948, 999.3,  111, 26.7, 24.8, 24.8, 90, 90,20.08,210, 7.1
2026-09-26 11:32:00,136.0075,31.4956, 993.3,  164, 26.1, 24.7, 24.7, 92, 92,20.07,209, 8.2
2026-09-26 11:32:12,136.0080,31.4964, 986.0,  230, 25.5, 24.5, 24.5, 94, 94,19.95,209, 8.6
2026-09-26 11:32:24,136.0086,31.4972, 978.9,  293, 24.9, 24.1, 24.1, 96, 96,19.67,213, 8.7
2026-09-26 11:32:36,136.0092,31.4980, 972.0,  356, 24.3, 23.8, 23.8, 97, 97,19.44,217, 8.9
2026-09-26 11:32:48,136.0100,31.4987, 965.7,  413, 23.9, 23.5, 23.5, 98, 98,19.13,220, 9.3
2026-09-26 11:33:00,136.0107,31.4996, 959.1,  473, 23.4, 23.0, 23.0, 98, 98,18.76,221,10.2
2026-09-26 11:33:12,136.0117,31.5004, 952.8,  530, 23.0, 22.6, 22.6, 97, 97,18.39,224,10.8
2026-09-26 11:33:24,136.0127,31.5012, 946.6,  588, 22.6, 22.1, 22.1, 97, 97,17.93,230,11.0
2026-09-26 11:33:36,136.0138,31.5019, 940.7,  642, 22.5, 20.7, 20.7, 90, 90,16.58,232,11.2
2026-09-26 11:33:48,136.0148,31.5027, 934.7,  698, 22.3, 19.8, 19.8, 86, 86,15.75,234,10.9
2026-09-26 11:34:00,136.0161,31.5033, 928.8,  754, 22.0, 20.2, 20.2, 89, 89,16.20,237,10.2
2026-09-26 11:34:11,136.0169,31.5038, 922.9,  809, 21.8, 19.9, 19.9, 89, 89,16.07,239,10.0
2026-09-26 11:34:23,136.0181,31.5044, 917.7,  859, 21.3, 20.1, 20.1, 93, 93,16.38,242,10.1
2026-09-26 11:34:35,136.0192,31.5048, 911.8,  914, 21.0, 19.8, 19.8, 93, 93,16.18,242,10.1
2026-09-26 11:34:47,136.0203,31.5054, 906.5,  965, 20.7, 19.5, 19.5, 93, 93,15.91,242,10.6
2026-09-26 11:34:59,136.0215,31.5060, 900.9, 1019, 20.3, 18.9, 18.9, 91, 91,15.40,243,10.6
2026-09-26 11:35:11,136.0228,31.5064, 895.0, 1076, 19.9, 18.7, 18.7, 93, 93,15.34,243,10.3
2026-09-26 11:35:23,136.0239,31.5069, 889.1, 1133, 19.7, 17.6, 17.6, 87, 87,14.35,240,10.2
2026-09-26 11:35:35,136.0249,31.5075, 883.3, 1190, 19.5, 16.6, 16.6, 83, 83,13.56,240,10.1
2026-09-26 11:35:47,136.0261,31.5080, 877.6, 1245, 19.0, 16.1, 16.1, 83, 83,13.18,241,10.4
2026-09-26 11:35:59,136.0273,31.5086, 871.9, 1302, 18.6, 15.8, 15.8, 83, 83,13.01,241,10.8
2026-09-26 11:36:11,136.0286,31.5091, 866.1, 1359, 18.0, 17.1, 17.1, 95, 95,14.31,241,11.0
2026-09-26 11:36:23,136.0297,31.5097, 860.0, 1419, 17.6, 17.3, 17.3, 98, 98,14.57,242,11.2
2026-09-26 11:36:35,136.0310,31.5103, 854.7, 1472, 17.2, 17.2, 17.2,100,100,14.58,246,11.6
2026-09-26 11:36:46,136.0323,31.5107, 849.9, 1521, 17.0, 17.0, 17.0,100,100,14.45,248,11.8
2026-09-26 11:36:58,136.0337,31.5112, 845.3, 1568, 16.8, 16.5, 16.5, 98, 98,14.06,247,11.4
2026-09-26 11:37:10,136.0349,31.5116, 840.1, 1620, 16.5, 16.5, 16.5,100,100,14.15,246,11.0
2026-09-26 11:37:22,136.0362,31.5121, 834.3, 1680, 16.2, 16.1, 16.1,100,100,13.96,242,11.0
2026-09-26 11:37:34,136.0373,31.5128, 829.4, 1729, 15.8, 15.7, 15.7, 99, 99,13.66,239,11.0
2026-09-26 11:37:46,136.0386,31.5134, 824.2, 1783, 15.7, 15.1, 15.1, 96, 96,13.24,242,10.8
2026-09-26 11:37:58,136.0397,31.5139, 819.3, 1834, 15.5, 14.3, 14.3, 93, 93,12.62,246,10.6
2026-09-26 11:38:10,136.0410,31.5143, 814.0, 1889, 15.1, 14.3, 14.3, 95, 95,12.72,247,10.7
2026-09-26 11:38:22,136.0422,31.5148, 808.7, 1945, 14.9, 13.2, 13.2, 90, 90,11.85,243,11.3
2026-09-26 11:38:34,136.0435,31.5154, 803.2, 2002, 14.3, 13.3, 13.3, 93, 93,12.02,241,12.0
2026-09-26 11:38:46,136.0449,31.5161, 798.1, 2056, 14.0, 13.1, 13.1, 94, 94,11.94,242,12.0
2026-09-26 11:38:58,136.0462,31.5166, 793.0, 2111, 13.7, 13.0, 13.0, 95, 95,11.93,242,11.7
2026-09-26 11:39:10,136.0475,31.5172, 788.0, 2165, 13.5, 12.9, 12.9, 96, 96,11.92,240,11.6
2026-09-26 11:39:22,136.0487,31.5179, 783.3, 2214, 13.2, 12.9, 12.9, 98, 98,12.04,240,11.9
2026-09-26 11:39:34,136.0501,31.5186, 778.3, 2269, 13.1, 13.0, 13.0,100,100,12.20,240,12.7
2026-09-26 11:39:46,136.0515,31.5194, 773.0, 2326, 12.8, 12.6, 12.6, 99, 99,11.97,240,12.8
2026-09-26 11:39:58,136.0529,31.5200, 767.7, 2384, 12.8, 12.6, 12.6, 99, 99,12.06,240,12.9
2026-09-26 11:40:10,136.0543,31.5207, 762.4, 2443, 12.5, 12.2, 12.2, 98, 98,11.82,240,13.8
2026-09-26 11:40:22,136.0559,31.5215, 757.6, 2496, 12.2, 12.1, 12.1,100,100,11.83,242,14.2
2026-09-26 11:40:34,136.0575,31.5222, 752.4, 2554, 11.9, 11.9, 11.9,100,100,11.69,244,14.2
2026-09-26 11:40:46,136.0591,31.5229, 746.5, 2620, 11.4, 11.4, 11.4,100,100,11.40,244,14.2
2026-09-26 11:40:58,136.0608,31.5236, 741.3, 2679, 11.3, 11.3, 11.3,100,100,11.43,244,14.6
2026-09-26 11:41:10,136.0625,31.5242, 737.0, 2728, 10.8, 10.8, 10.8,100,100,11.09,243,14.5
2026-09-26 11:41:22,136.0640,31.5250, 732.6, 2777, 11.5,  7.3,  7.3, 75, 75, 8.78,244,14.1
2026-09-26 11:41:34,136.0657,31.5255, 727.6, 2835, 11.1,  6.8,  6.8, 75, 75, 8.55,247,14.5
2026-09-26 11:41:46,136.0674,31.5262, 723.3, 2884, 10.9,  8.0,  8.0, 82, 82, 9.34,249,14.9
2026-09-26 11:42:02,136.0697,31.5269, 717.2, 2956, 11.4,  2.7,  2.7, 55, 55, 6.50,252,14.8
2026-09-26 11:42:14,136.0715,31.5274, 712.3, 3013, 11.4,  0.5,  0.5, 47, 47, 5.60,254,14.9
2026-09-26 11:42:26,136.0734,31.5278, 707.6, 3068, 11.4, -1.0, -0.9, 42, 42, 5.01,257,15.2
2026-09-26 11:42:38,136.0752,31.5282, 703.4, 3118, 11.1, -2.5, -2.2, 39, 39, 4.53,258,15.4
2026-09-26 11:42:49,136.0770,31.5285, 698.7, 3174, 11.0, -1.8, -1.6, 41, 41, 4.80,259,15.7
2026-09-26 11:43:01,136.0790,31.5287, 693.7, 3234, 10.8, -2.5, -2.3, 39, 39, 4.57,260,16.0
2026-09-26 11:43:13,136.0810,31.5291, 688.8, 3293, 10.4,  2.9,  2.9, 60, 60, 6.87,259,16.6
2026-09-26 11:43:25,136.0830,31.5294, 683.5, 3357, 10.1,  2.0,  2.0, 57, 57, 6.50,257,17.3
2026-09-26 11:43:37,136.0853,31.5299, 678.7, 3415, 10.0,  0.1,  0.1, 50, 50, 5.68,257,17.6
2026-09-26 11:43:49,136.0874,31.5303, 674.9, 3462,  9.7,  1.2,  1.2, 56, 56, 6.21,257,17.7
2026-09-26 11:44:01,136.0896,31.5308, 670.5, 3516,  9.8, -3.2, -2.8, 40, 40, 4.52,256,17.9
2026-09-26 11:44:13,136.0918,31.5313, 665.8, 3576,  9.3, -1.8, -1.6, 46, 46, 5.05,255,17.9
2026-09-26 11:44:25,136.0941,31.5318, 660.4, 3643,  8.8,  0.8,  0.8, 57, 57, 6.14,253,17.3
2026-09-26 11:44:37,136.0960,31.5324, 655.9, 3699,  8.4,  1.0,  1.0, 60, 60, 6.28,250,16.6
2026-09-26 11:44:49,136.0979,31.5331, 651.3, 3757,  8.0,  0.3,  0.3, 58, 58, 6.00,251,16.5
2026-09-26 11:45:01,136.0999,31.5336, 646.8, 3814,  7.5, -0.4, -0.4, 57, 57, 5.74,252,16.8
2026-09-26 11:45:13,136.1019,31.5342, 642.3, 3872,  7.1, -1.3, -1.2, 55, 55, 5.41,251,17.1
2026-09-26 11:45:25,136.1040,31.5348, 637.5, 3934,  6.6, -2.1, -1.9, 54, 54, 5.14,250,17.4
2026-09-26 11:45:37,136.1061,31.5354, 632.9, 3993,  6.1, -2.4, -2.1, 55, 55, 5.09,248,17.6
2026-09-26 11:45:49,136.1082,31.5362, 627.8, 4059,  5.6, -3.7, -3.3, 51, 51, 4.65,248,18.0
2026-09-26 11:46:01,136.1103,31.5369, 623.2, 4120,  5.6, -8.3, -7.4, 36, 36, 3.29,250,18.8
2026-09-26 11:46:13,136.1126,31.5376, 618.4, 4182,  5.0, -4.9, -4.3, 49, 49, 4.30,253,19.5
