time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-05 11:31:35,134.3029,36.5066,1013.0,    6, 25.6, 18.3, 18.3, 64, 64,13.18, 57,13.1
2026-09-05 11:31:47,134.3019,36.5061,1007.3,   56, 24.5, 17.7, 17.7, 66, 66,12.76, 42, 6.2
2026-09-05 11:31:59,134.3008,36.5053,1001.5,  106, 23.9, 17.6, 17.6, 68, 68,12.74, 50,10.5
2026-09-05 11:32:10,134.2998,36.5045, 994.4,  168, 23.4, 17.5, 17.5, 70, 70,12.76, 52,11.8
2026-09-05 11:32:22,134.2985,36.5037, 986.5,  238, 22.6, 17.4, 17.4, 72, 72,12.79, 54,12.2
2026-09-05 11:32:34,134.2972,36.5030, 977.6,  317, 22.0, 17.4, 17.4, 75, 75,12.88, 52,12.2
2026-09-05 11:32:46,134.2959,36.5021, 969.0,  394, 21.2, 17.2, 17.2, 78, 78,12.85, 51,11.9
2026-09-05 11:32:58,134.2947,36.5013, 959.9,  476, 20.4, 16.9, 16.9, 80, 80,12.71, 50,11.8
2026-09-05 11:33:10,134.2935,36.5005, 951.7,  550, 19.7, 16.5, 16.5, 82, 82,12.49, 50,12.2
2026-09-05 11:33:22,134.2921,36.4996, 942.5,  634, 18.9, 16.6, 16.6, 87, 87,12.74, 50,12.6
2026-09-05 11:33:34,134.2909,36.4987, 932.8,  723, 18.1, 16.7, 16.7, 92, 92,12.93, 54,13.0
2026-09-05 11:33:45,134.2895,36.4980, 924.0,  804, 17.3, 16.1, 16.1, 93, 93,12.54, 59,13.2
2026-09-05 11:33:57,134.2879,36.4974, 916.0,  878, 16.8, 14.7, 14.7, 87, 87,11.58, 60,12.8
2026-09-05 11:34:09,134.2865,36.4967, 909.0,  944, 16.3, 14.2, 14.2, 88, 88,11.30, 56,12.4
2026-09-05 11:34:21,134.2852,36.4959, 901.0, 1020, 15.6, 14.0, 14.0, 90, 90,11.21, 54,12.4
2026-09-05 11:34:33,134.2839,36.4950, 893.3, 1093, 15.0, 13.5, 13.5, 91, 91,10.95, 54,12.2
2026-09-05 11:34:45,134.2826,36.4943, 885.2, 1170, 14.5, 12.8, 12.8, 90, 90,10.56, 55,11.7
2026-09-05 11:34:57,134.2813,36.4936, 877.8, 1241, 13.8, 12.9, 12.9, 94, 94,10.68, 57,11.1
2026-09-05 11:35:09,134.2801,36.4930, 870.8, 1308, 13.3, 12.5, 12.5, 95, 95,10.53, 60,11.1
2026-09-05 11:35:21,134.2787,36.4924, 863.0, 1384, 12.7, 12.4, 12.4, 98, 98,10.55, 61,11.1
2026-09-05 11:35:33,134.2774,36.4919, 854.7, 1465, 12.1, 12.1, 12.1,100,100,10.42, 60,10.6
2026-09-05 11:35:44,134.2764,36.4913, 847.3, 1538, 12.0, 12.0, 12.0,100,100,10.44, 60,10.1
2026-09-05 11:35:56,134.2752,36.4908, 839.1, 1620, 11.4, 11.4, 11.4,100,100,10.14, 61, 9.6
2026-09-05 11:36:08,134.2741,36.4903, 831.7, 1694, 10.6,  9.7,  9.7, 94, 94, 9.10, 63, 8.4
2026-09-05 11:36:20,134.2731,36.4900, 824.9, 1762,  9.8,  6.9,  6.9, 82, 82, 7.59, 72, 6.0
2026-09-05 11:36:32,134.2727,36.4900, 817.5, 1838, 13.7,-12.4,-11.0, 15, 15, 1.81, 82, 3.3
2026-09-05 11:36:44,134.2724,36.4900, 810.0, 1916, 14.9,-15.8,-14.1, 11, 11, 1.38, 85, 1.7
2026-09-05 11:36:56,134.2724,36.4899, 803.3, 1985, 14.6,-16.3,-14.6, 10, 10, 1.34, 94, 1.3
2026-09-05 11:37:08,134.2721,36.4900, 796.9, 2053, 14.4,-17.5,-15.7,  9,  9, 1.22,102, 1.9
2026-09-05 11:37:20,134.2719,36.4900, 790.2, 2124, 14.0,-16.8,-15.1, 10, 10, 1.29,101, 3.1
2026-09-05 11:37:32,134.2713,36.4901, 783.5, 2195, 14.3,-18.5,-16.6,  9,  9, 1.13,103, 4.6
2026-09-05 11:37:44,134.2706,36.4902, 777.2, 2263, 14.2,-18.2,-16.3,  9,  9, 1.17,109, 5.5
2026-09-05 11:37:56,134.2699,36.4905, 770.9, 2332, 13.8,-17.5,-15.7, 10, 10, 1.26,115, 5.9
2026-09-05 11:38:08,134.2692,36.4908, 763.5, 2413, 13.1,-17.5,-15.6, 10, 10, 1.27,114, 6.0
2026-09-05 11:38:20,134.2684,36.4911, 756.0, 2495, 12.7,-16.8,-15.0, 11, 11, 1.36, 96, 5.7
2026-09-05 11:38:32,134.2675,36.4909, 748.7, 2577, 12.6,-18.3,-16.4, 10, 10, 1.21, 73, 5.7
2026-09-05 11:38:44,134.2670,36.4906, 740.3, 2671, 12.7,-20.3,-18.3,  8,  8, 1.03, 64, 5.6
2026-09-05 11:38:56,134.2662,36.4904, 733.2, 2752, 12.7,-22.8,-20.6,  7,  7, 0.83, 62, 5.9
2026-09-05 11:39:08,134.2655,36.4900, 726.2, 2832, 12.6,-25.9,-23.4,  5,  5, 0.64, 63, 6.6
2026-09-05 11:39:20,134.2647,36.4897, 718.5, 2921, 12.2,-36.0,-32.8,  2,  2, 0.25, 63, 7.1
2026-09-05 11:39:32,134.2638,36.4893, 711.9, 2998, 12.3,-31.8,-28.8,  3,  3, 0.38, 61, 7.3
2026-09-05 11:39:44,134.2630,36.4889, 705.7, 3071, 11.8,-27.0,-24.4,  5,  5, 0.59, 61, 7.5
2026-09-05 11:39:55,134.2621,36.4886, 700.0, 3139, 11.1,-23.5,-21.1,  7,  7, 0.82, 60, 7.4
2026-09-05 11:40:07,134.2613,36.4881, 694.9, 3200, 10.7,-19.6,-17.6, 10, 10, 1.16, 55, 6.7
2026-09-05 11:40:19,134.2608,36.4877, 689.4, 3266, 10.5,-11.8,-10.5, 20, 20, 2.24, 47, 6.0
2026-09-05 11:40:31,134.2602,36.4872, 684.5, 3326, 10.7,-14.8,-13.3, 15, 15, 1.77, 42, 5.6
2026-09-05 11:40:43,134.2596,36.4868, 679.8, 3383, 10.8,-18.9,-16.9, 11, 11, 1.27, 42, 4.7
2026-09-05 11:40:55,134.2594,36.4865, 674.5, 3448, 10.6,-16.3,-14.6, 14, 14, 1.59, 47, 3.6
