time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-06 10:44:00,-36.5000,61.5000,1003.0,    0, 10.0,  3.0,  3.0, 62, 62, 4.73, 20, 7.0
2026-09-06 10:44:00,-36.5000,61.5000, 911.0,  804,  2.6,  0.3,  0.3, 85, 85, 4.29,360, 5.3
2026-09-06 10:44:00,-36.5000,61.5000, 894.0,  959,  4.2, -9.8, -8.7, 35, 35, 2.03,356, 4.9
2026-09-06 10:44:00,-36.5000,61.5000, 888.0, 1015,  4.0, -8.0, -7.1, 41, 41, 2.35,354, 4.8
2026-09-06 10:44:00,-36.5000,61.5000, 868.0, 1203,  3.0, -0.2, -0.2, 79, 79, 4.34,349, 4.4
2026-09-06 10:44:00,-36.5000,61.5000, 850.0, 1376,  1.6, -0.4, -0.4, 87, 87, 4.37,345, 4.0
2026-09-06 10:44:00,-36.5000,61.5000, 833.0, 1538,  0.4, -2.4, -2.1, 81, 81, 3.85,350, 3.8
2026-09-06 10:44:00,-36.5000,61.5000, 812.0, 1743,  0.2,-13.8,-12.3, 34, 34, 1.62,356, 3.6
2026-09-06 10:44:00,-36.5000,61.5000, 763.0, 2239, -2.9, -7.2, -6.4, 72, 74, 2.91, 10, 3.0
2026-09-06 10:44:00,-36.5000,61.5000, 757.0, 2301, -3.3, -6.4, -5.7, 79, 82, 3.13,  9, 3.5
2026-09-06 10:44:00,-36.5000,61.5000, 700.0, 2917, -6.5,-14.5,-13.0, 53, 56, 1.78,355, 9.0
2026-09-06 10:44:00,-36.5000,61.5000, 680.0, 3142, -8.4,-17.6,-15.8, 47, 51, 1.41,340, 9.0
2026-09-06 10:44:00,-36.5000,61.5000, 668.0, 3280, -9.5,-19.5,-17.5, 44, 48, 1.22,350, 9.7
2026-09-06 10:44:00,-36.5000,61.5000, 656.0, 3420, -9.5,-33.5,-30.4, 12, 13, 0.35,360,10.5
2026-09-06 10:44:00,-36.5000,61.5000, 641.0, 3598,-10.1,-40.1,-36.6,  7,  7, 0.18, 12,11.4
2026-09-06 10:44:00,-36.5000,61.5000, 633.0, 3695,-10.5,-38.5,-35.1,  8,  9, 0.22, 19,11.9
2026-09-06 10:44:00,-36.5000,61.5000, 632.0, 3707,-10.6,-38.4,-35.0,  8,  9, 0.22, 20,12.0
2026-09-06 10:44:00,-36.5000,61.5000, 569.0, 4503,-17.1,-34.1,-31.0, 21, 25, 0.38, 27,13.8
2026-09-06 10:44:00,-36.5000,61.5000, 500.0, 5460,-22.9,-47.9,-44.0,  8, 10, 0.10, 35,16.0
2026-09-06 10:44:00,-36.5000,61.5000, 474.0, 5843,-25.7,-49.5,-45.5,  9, 11, 0.09, 35,16.0
2026-09-06 10:44:00,-36.5000,61.5000, 400.0, 7060,-34.7,-54.7,-50.5, 11, 16, 0.06, 40,22.0
2026-09-06 10:44:00,-36.5000,61.5000, 365.0, 7693,-38.3,-56.3,-52.0, 14, 20, 0.05, 40,24.3
2026-09-06 10:44:00,-36.5000,61.5000, 346.0, 8058,-41.1,-49.1,-45.1, 42, 63, 0.13, 40,25.6
2026-09-06 10:44:00,-36.5000,61.5000, 341.0, 8155,-42.0,-50.3,-46.3, 40, 60, 0.11, 40,26.0
2026-09-06 10:44:00,-36.5000,61.5000, 321.0, 8561,-45.5,-55.5,-51.3, 32, 50, 0.07, 40,34.0
2026-09-06 10:44:00,-36.5000,61.5000, 310.0, 8793,-45.9,-62.9,-58.4, 13, 21, 0.03, 40,38.6
2026-09-06 10:44:00,-36.5000,61.5000, 300.0, 9010,-47.1,-59.1,-54.7, 24, 39, 0.04, 40,43.0
2026-09-06 10:44:00,-36.5000,61.5000, 293.0, 9167,-48.1,-57.1,-52.8, 35, 56, 0.06, 39,43.7
2026-09-06 10:44:00,-36.5000,61.5000, 283.0, 9396,-49.5,-60.5,-56.1, 27, 43, 0.04, 38,44.8
2026-09-06 10:44:00,-36.5000,61.5000, 269.0, 9730,-48.9,-66.9,-62.3, 11, 17, 0.02, 37,46.4
2026-09-06 10:44:00,-36.5000,61.5000, 256.0,10055,-51.2,-67.2,-62.6, 14, 22, 0.02, 35,48.0
2026-09-06 10:44:00,-36.5000,61.5000, 250.0,10210,-52.3,-67.3,-62.7, 15, 25, 0.02, 40,47.0
2026-09-06 10:44:00,-36.5000,61.5000, 239.0,10500,-53.3,-70.3,-65.7, 11, 19, 0.01, 40,39.0
2026-09-06 10:44:00,-36.5000,61.5000, 210.0,11340,-48.9,-81.3,-76.5,  1,  2, 0.00, 35,20.0
2026-09-06 10:44:00,-36.5000,61.5000, 209.0,11371,-48.7,-81.7,-76.9,  1,  2, 0.00, 35,20.0
2026-09-06 10:44:00,-36.5000,61.5000, 200.0,11660,-48.1,-81.1,-76.3,  1,  2, 0.00, 30,20.0
2026-09-06 10:44:00,-36.5000,61.5000, 157.0,13242,-49.3,-82.3,-77.5,  1,  2, 0.00, 26,10.7
2026-09-06 10:44:00,-36.5000,61.5000, 150.0,13540,-48.5,-81.5,-76.7,  1,  2, 0.00, 25, 9.0
2026-09-06 10:44:00,-36.5000,61.5000, 143.0,13855,-47.9,-80.9,-76.2,  1,  2, 0.00, 10, 6.0
2026-09-06 10:44:00,-36.5000,61.5000, 134.0,14283,-47.1,-80.1,-75.3,  1,  2, 0.01,  2, 9.3
2026-09-06 10:44:00,-36.5000,61.5000, 127.0,14635,-47.9,-80.7,-75.9,  1,  2, 0.01,355,12.0
2026-09-06 10:44:00,-36.5000,61.5000, 118.0,15117,-49.1,-81.5,-76.8,  1,  2, 0.00,355, 5.0
2026-09-06 10:44:00,-36.5000,61.5000, 108.0,15698,-50.4,-82.5,-77.7,  1,  2, 0.00,  0, 8.0
2026-09-06 10:44:00,-36.5000,61.5000, 106.0,15821,-50.7,-82.7,-77.9,  1,  2, 0.00,349, 7.3
2026-09-06 10:44:00,-36.5000,61.5000, 100.0,16200,-50.5,-82.5,-77.7,  1,  2, 0.00,315, 5.0
2026-09-06 10:44:00,-36.5000,61.5000,  86.0,17185,-50.3,-82.8,-78.0,  1,  2, 0.01,330, 0.0
2026-09-06 10:44:00,-36.5000,61.5000,  81.0,17577,-50.3,-82.9,-78.1,  1,  2, 0.01,310, 5.0
2026-09-06 10:44:00,-36.5000,61.5000,  70.0,18530,-50.1,-83.1,-78.3,  1,  2, 0.01,280, 3.0
2026-09-06 10:44:00,-36.5000,61.5000,  63.3,19186,-49.9,-82.9,-78.1,  1,  2, 0.01,243, 3.8
2026-09-06 10:44:00,-36.5000,61.5000,  62.0,19321,-50.1,-83.0,-78.2,  1,  2, 0.01,235, 4.0
2026-09-06 10:44:00,-36.5000,61.5000,  50.0,20720,-51.7,-83.7,-78.9,  1,  2, 0.01,235, 7.0
2026-09-06 10:44:00,-36.5000,61.5000,  44.9,21419,-52.3,-84.3,-79.5,  1,  2, 0.01,266, 8.9
2026-09-06 10:44:00,-36.5000,61.5000,  42.0,21853,-52.2,-84.2,-79.4,  1,  2, 0.01,285,10.0
2026-09-06 10:44:00,-36.5000,61.5000,  31.0,23827,-51.6,-83.6,-78.8,  1,  2, 0.01,270, 2.0
2026-09-06 10:44:00,-36.5000,61.5000,  30.0,24040,-51.5,-83.5,-78.7,  1,  2, 0.01,245, 6.0
2026-09-06 10:44:00,-36.5000,61.5000,  24.0,25506,-47.8,-81.4,-76.6,  1,  2, 0.02,240,11.0
2026-09-06 10:44:00,-36.5000,61.5000,  22.4,25959,-46.7,-80.7,-75.9,  1,  2, 0.03,228, 7.0
2026-09-06 10:44:00,-36.5000,61.5000,  22.0,26079,-46.9,-80.7,-76.0,  1,  2, 0.03,225, 6.0
2026-09-06 10:44:00,-36.5000,61.5000,  20.0,26710,-47.9,-80.9,-76.1,  1,  2, 0.03,230,12.0
