time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-26 10:32:58,-49.5046,61.4886, 997.0,   33,  5.0, -5.9, -5.3, 45, 45, 2.46,321,13.9
2026-09-26 10:33:18,-49.5012,61.4865, 985.8,  125,  1.9, -5.7, -5.0, 57, 57, 2.54,322,14.5
2026-09-26 10:33:38,-49.4979,61.4842, 974.1,  220,  1.0, -4.9, -4.4, 65, 65, 2.72,325,15.0
2026-09-26 10:33:58,-49.4953,61.4819, 964.5,  300, -0.0, -5.4, -4.8, 67, 67, 2.65,330,15.2
2026-09-26 10:39:28,-49.4563,61.4428, 951.2,  411, -0.8, -6.1, -5.4, 67, 68, 2.54,332,15.7
2026-09-26 10:39:48,-49.4544,61.4406, 897.2,  900, -7.1,-24.8,-22.3, 23, 25, 0.57,339,13.5
2026-09-26 10:40:08,-49.4529,61.4382, 766.0, 2100, -7.8,-24.7,-22.3, 24, 26, 0.67,341,13.6
2026-09-26 10:40:38,-49.4502,61.4349, 751.3, 2251, -8.4,-24.9,-22.4, 25, 27, 0.68,340,13.4
2026-09-26 10:40:58,-49.4485,61.4329, 739.5, 2373, -9.1,-27.0,-24.4, 22, 24, 0.56,338,12.3
2026-09-26 10:41:18,-49.4469,61.4309, 732.1, 2451, -9.9,-27.3,-24.6, 23, 25, 0.56,339,12.1
2026-09-26 10:41:38,-49.4454,61.4288, 724.0, 2537,-10.6,-27.4,-24.8, 24, 26, 0.56,341,12.3
2026-09-26 10:41:58,-49.4439,61.4268, 716.7, 2614,-11.4,-27.7,-25.0, 25, 28, 0.55,340,12.0
2026-09-26 10:42:18,-49.4422,61.4249, 709.7, 2690,-12.2,-27.7,-25.0, 26, 30, 0.56,338,11.8
2026-09-26 10:42:38,-49.4406,61.4229, 702.1, 2772,-13.1,-27.8,-25.1, 28, 32, 0.56,338,11.7
2026-09-26 10:42:58,-49.4388,61.4210, 693.6, 2865,-13.9,-27.8,-25.1, 30, 34, 0.56,336,11.6
