time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-03 10:41:11,-51.5699,63.3204,1001.4,   33,  6.0,  4.5,  4.5, 90, 90, 5.27,159, 8.8
2026-09-03 10:41:31,-51.5713,63.3217, 937.2,  570,  2.4, -0.4, -0.4, 81, 81, 3.95,154, 8.5
2026-09-03 10:41:51,-51.5727,63.3229, 924.6,  679,  1.7, -0.8, -0.7, 84, 84, 3.91,150, 7.6
2026-09-03 10:42:11,-51.5741,63.3239, 918.7,  730,  1.5,  0.4,  0.4, 92, 92, 4.29,161, 5.7
2026-09-03 10:42:31,-51.5741,63.3247, 902.9,  870,  2.1,  2.1,  2.1,100,100, 4.94,197, 3.8
2026-09-03 10:42:51,-51.5731,63.3252, 890.8,  979,  2.2,  2.2,  2.2,100,100, 5.03,226, 4.3
2026-09-03 10:43:11,-51.5716,63.3257, 878.8, 1089,  2.3,  2.3,  2.3,100,100, 5.14,234, 4.5
2026-09-03 10:43:31,-51.5702,63.3260, 871.7, 1155,  2.0,  2.0,  2.0,100,100, 5.06,251, 3.0
2026-09-03 10:43:51,-51.5696,63.3260, 856.9, 1293,  1.5,  1.5,  1.5,100,100, 4.97,275, 1.8
2026-09-03 10:44:11,-51.5693,63.3259, 850.0, 1358,  1.1,  1.1,  1.1,100,100, 4.88,321, 1.6
2026-09-03 10:44:31,-51.5691,63.3255, 835.5, 1496,  0.6,  0.6,  0.6,100,100, 4.79,338, 3.1
2026-09-03 10:44:51,-51.5685,63.3247, 824.2, 1606,  0.4,  0.4,  0.4,100,100, 4.77,334, 4.9
2026-09-03 10:45:11,-51.5677,63.3238, 814.4, 1702,  0.1,  0.1,  0.1,100,100, 4.73,339, 6.3
2026-09-03 10:45:41,-51.5666,63.3219, 799.3, 1852, -0.2, -0.2, -0.2,100,100, 4.71,342, 7.1
2026-09-03 10:46:01,-51.5652,63.3207, 786.6, 1980, -0.9, -0.9, -0.8,100,101, 4.56,335, 7.6
2026-09-03 10:46:21,-51.5642,63.3194, 777.3, 2075, -1.5, -1.5, -1.3,100,101, 4.41,334, 7.5
2026-09-03 10:46:41,-51.5626,63.3182, 766.9, 2182, -2.0, -2.0, -1.8,100,102, 4.31,331, 7.5
2026-09-03 10:47:01,-51.5613,63.3170, 757.0, 2285, -2.6, -2.6, -2.3,100,102, 4.18,329, 7.4
2026-09-03 10:47:21,-51.5595,63.3159, 747.9, 2381, -3.0, -3.0, -2.7,100,103, 4.09,320, 6.1
2026-09-03 10:47:41,-51.5579,63.3154, 737.2, 2496, -3.3, -3.3, -2.9,100,103, 4.08,309, 4.6
2026-09-03 10:48:01,-51.5563,63.3148, 728.6, 2588, -3.9, -3.9, -3.5, 99,103, 3.92,315, 4.7
2026-09-03 10:48:21,-51.5546,63.3140, 719.0, 2693, -4.5, -4.8, -4.3, 97,102, 3.71,316, 5.5
2026-09-03 10:48:41,-51.5527,63.3133, 709.5, 2798, -5.0, -5.0, -4.4,100,105, 3.73,314, 6.2
2026-09-03 10:49:01,-51.5507,63.3125, 700.0, 2904, -5.6, -5.6, -5.0,100,106, 3.59,317, 6.3
2026-09-03 10:49:21,-51.5489,63.3116, 690.3, 3014, -6.4, -6.4, -5.7,100,106, 3.43,315, 6.5
2026-09-03 10:49:41,-51.5465,63.3109, 678.8, 3144, -7.1, -7.1, -6.3,100,107, 3.30,312, 6.3
2026-09-03 10:50:01,-51.5449,63.3101, 669.4, 3253, -7.8, -7.8, -6.9,100,108, 3.18,320, 6.2
2026-09-03 10:50:21,-51.5431,63.3091, 661.5, 3345, -8.6, -8.6, -7.7,100,109, 3.02,326, 6.6
2026-09-03 10:50:41,-51.5414,63.3082, 651.7, 3461, -9.5, -9.8, -8.7, 98,107, 2.78,329, 7.1
2026-09-03 10:51:01,-51.5396,63.3069, 641.1, 3587,-10.2,-10.8, -9.6, 96,106, 2.63,321, 8.7
2026-09-03 10:51:21,-51.5373,63.3058, 631.4, 3704,-10.9,-11.4,-10.2, 96,107, 2.54,314, 9.8
2026-09-03 10:51:41,-51.5341,63.3046, 622.0, 3820,-11.5,-12.3,-11.0, 94,105, 2.40,314,12.0
2026-09-03 10:52:01,-51.5305,63.3028, 615.2, 3904,-12.0,-13.1,-11.7, 91,102, 2.27,312,13.3
2026-09-03 10:52:21,-51.5264,63.3014, 605.6, 4025,-12.7,-13.7,-12.3, 92,104, 2.19,309,13.1
2026-09-03 10:52:41,-51.5224,63.2999, 596.5, 4140,-13.4,-14.2,-12.7, 94,107, 2.14,310,11.6
2026-09-03 10:53:01,-51.5192,63.2986, 591.8, 4200,-14.2,-14.8,-13.3, 95,109, 2.05,311,10.5
2026-09-03 10:53:21,-51.5160,63.2974, 580.0, 4353,-14.8,-15.5,-13.9, 95,109, 1.98,314,10.4
2026-09-03 10:53:41,-51.5126,63.2961, 571.6, 4463,-15.5,-16.1,-14.4, 95,111, 1.91,310,11.9
2026-09-03 10:54:01,-51.5086,63.2946, 562.4, 4585,-16.2,-16.8,-15.0, 96,112, 1.83,304,12.9
2026-09-03 10:54:21,-51.5043,63.2935, 555.2, 4683,-16.9,-17.3,-15.5, 96,114, 1.77,297,12.6
2026-09-03 10:54:41,-51.5000,63.2927, 546.5, 4800,-17.6,-18.0,-16.2, 96,114, 1.69,287,12.5
2026-09-03 10:55:01,-51.4952,63.2922, 537.9, 4919,-18.3,-19.0,-17.1, 94,113, 1.58,282,12.4
2026-09-03 10:55:21,-51.4900,63.2917, 529.2, 5040,-19.0,-19.6,-17.6, 95,114, 1.53,276,12.9
2026-09-03 10:55:41,-51.4851,63.2916, 522.9, 5130,-19.8,-20.6,-18.5, 94,114, 1.42,274,12.5
2026-09-03 10:56:01,-51.4801,63.2913, 513.7, 5262,-20.8,-21.5,-19.3, 94,115, 1.34,274,12.5
2026-09-03 10:56:21,-51.4754,63.2913, 504.9, 5388,-21.7,-22.3,-20.1, 95,117, 1.27,272,11.7
2026-09-03 10:56:41,-51.4707,63.2912, 500.0, 5460,-22.7,-23.3,-21.0, 95,118, 1.17,275,11.1
2026-09-03 10:57:01,-51.4664,63.2910, 488.5, 5631,-23.6,-24.3,-21.9, 94,118, 1.10,274, 9.8
2026-09-03 10:57:21,-51.4624,63.2909, 480.2, 5756,-24.6,-25.3,-22.8, 94,119, 1.02,271, 9.5
