time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-03 10:41:00,-51.5000,63.3000,1001.0,    0,  6.0,  4.5,  4.5, 90, 90, 5.27,160, 9.0
2026-09-03 10:41:00,-51.5000,63.3000, 919.0,  712,  1.6,  0.5,  0.5, 92, 92, 4.32,244, 5.3
2026-09-03 10:41:00,-51.5000,63.3000, 872.0, 1147,  2.0,  2.0,  2.0,100,100, 5.07,295, 3.1
2026-09-03 10:41:00,-51.5000,63.3000, 850.0, 1358,  1.2,  1.2,  1.2,100,100, 4.91,320, 2.0
2026-09-03 10:41:00,-51.5000,63.3000, 849.0, 1367,  1.2,  1.2,  1.2,100,100, 4.90,335, 2.0
2026-09-03 10:41:00,-51.5000,63.3000, 700.0, 2904, -5.7, -5.7, -5.1,100,106, 3.57,315, 6.0
2026-09-03 10:41:00,-51.5000,63.3000, 615.0, 3892,-12.0,-12.3,-11.0, 98,110, 2.42,310,13.0
2026-09-03 10:41:00,-51.5000,63.3000, 525.0, 5099,-19.7,-20.4,-18.3, 94,114, 1.44,275,13.0
2026-09-03 10:41:00,-51.5000,63.3000, 523.0, 5128,-19.9,-20.6,-18.5, 94,114, 1.42,275,12.8
2026-09-03 10:41:00,-51.5000,63.3000, 500.0, 5460,-22.7,-23.3,-21.0, 95,118, 1.17,275,11.0
2026-09-03 10:41:00,-51.5000,63.3000, 432.0, 6511,-31.1,-31.6,-28.6, 95,129, 0.63,272,12.3
2026-09-03 10:41:00,-51.5000,63.3000, 400.0, 7050,-35.7,-37.1,-33.8, 87,123, 0.40,270,13.0
2026-09-03 10:41:00,-51.5000,63.3000, 375.0, 7495,-39.6,-43.9,-40.2, 63, 93, 0.21,285,13.0
2026-09-03 10:41:00,-51.5000,63.3000, 372.0, 7550,-40.1,-44.8,-41.0, 61, 90, 0.19,285,13.4
2026-09-03 10:41:00,-51.5000,63.3000, 324.0, 8481,-45.9,-54.9,-50.7, 36, 56, 0.07,292,20.2
2026-09-03 10:41:00,-51.5000,63.3000, 300.0, 8990,-48.9,-55.9,-51.7, 44, 71, 0.07,295,24.0
2026-09-03 10:41:00,-51.5000,63.3000, 272.0, 9631,-51.7,-59.7,-55.3, 38, 63, 0.05,290,25.0
2026-09-03 10:41:00,-51.5000,63.3000, 270.0, 9679,-51.6,-59.7,-55.4, 38, 62, 0.05,290,25.0
2026-09-03 10:41:00,-51.5000,63.3000, 250.0,10180,-51.1,-60.1,-55.7, 34, 56, 0.05,300,22.0
2026-09-03 10:41:00,-51.5000,63.3000, 200.0,11640,-48.3,-62.3,-57.8, 19, 30, 0.04,305,21.0
2026-09-03 10:41:00,-51.5000,63.3000, 166.0,12871,-45.3,-63.1,-58.6, 12, 19, 0.05,305,17.0
2026-09-03 10:41:00,-51.5000,63.3000, 164.0,12951,-45.1,-63.1,-58.6, 12, 18, 0.05,305,15.7
2026-09-03 10:41:00,-51.5000,63.3000, 154.0,13366,-47.6,-68.5,-63.9,  8, 12, 0.03,305, 9.0
2026-09-03 10:41:00,-51.5000,63.3000, 150.0,13540,-48.7,-70.7,-66.1,  6, 10, 0.02,300,12.0
2026-09-03 10:41:00,-51.5000,63.3000, 138.0,14089,-46.9,-76.9,-72.2,  2,  3, 0.01,310,14.5
2026-09-03 10:41:00,-51.5000,63.3000, 132.0,14382,-48.1,-81.1,-76.3,  1,  2, 0.00,315,15.8
2026-09-03 10:41:00,-51.5000,63.3000, 127.0,14635,-48.5,-81.5,-76.7,  1,  2, 0.00,320,17.0
2026-09-03 10:41:00,-51.5000,63.3000, 107.0,15757,-50.1,-83.1,-78.3,  1,  2, 0.00,316,13.4
2026-09-03 10:41:00,-51.5000,63.3000, 100.0,16200,-48.5,-81.5,-76.7,  1,  2, 0.01,315,12.0
2026-09-03 10:41:00,-51.5000,63.3000,  93.0,16677,-48.3,-81.3,-76.6,  1,  2, 0.01,310, 8.0
2026-09-03 10:41:00,-51.5000,63.3000,  85.5,17229,-48.1,-81.1,-76.3,  1,  2, 0.01,314, 8.6
2026-09-03 10:41:00,-51.5000,63.3000,  70.0,18540,-49.3,-82.3,-77.5,  1,  2, 0.01,325,10.0
2026-09-03 10:41:00,-51.5000,63.3000,  50.0,20740,-51.1,-83.1,-78.3,  1,  2, 0.01,305, 6.0
2026-09-03 10:41:00,-51.5000,63.3000,  47.0,21142,-51.5,-83.5,-78.7,  1,  2, 0.01,302, 6.1
2026-09-03 10:41:00,-51.5000,63.3000,  30.0,24070,-49.9,-82.9,-78.1,  1,  2, 0.02,280, 7.0
