time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-24 10:41:05,-13.6274,64.8010, 990.5,   33,  7.0,  4.7,  4.7, 85, 85, 5.39, 91,18.1
2026-09-24 10:41:25,-13.6358,64.8013, 983.5,   91,  6.9,  6.9,  6.9,100,100, 6.35, 93,18.6
2026-09-24 10:41:45,-13.6445,64.8019, 972.6,  182,  6.2,  6.2,  6.2,100,100, 6.11, 97,20.8
2026-09-24 10:42:05,-13.6545,64.8031, 962.8,  266,  5.5,  5.5,  5.5,100,100, 5.89,103,23.0
2026-09-24 10:42:25,-13.6650,64.8043, 953.6,  344,  5.3,  5.3,  5.3,100,100, 5.84,105,25.2
2026-09-24 10:42:45,-13.6758,64.8059, 947.1,  400,  5.0,  5.0,  5.0,100,100, 5.79,108,26.3
2026-09-24 10:43:05,-13.6862,64.8080, 937.1,  487,  4.4,  4.4,  4.4,100,100, 5.59,113,27.3
2026-09-24 10:43:25,-13.6966,64.8106, 929.2,  556,  3.9,  3.9,  3.9,100,100, 5.46,118,27.3
2026-09-24 10:43:45,-13.7053,64.8131, 921.2,  626,  3.7,  3.7,  3.7,100,100, 5.41,121,26.7
2026-09-24 10:44:05,-13.7150,64.8159, 912.9,  699,  3.3,  3.3,  3.3,100,100, 5.32,124,26.9
2026-09-24 10:44:25,-13.7249,64.8190, 902.1,  796,  3.1,  3.1,  3.1,100,100, 5.31,125,28.4
2026-09-24 10:44:45,-13.7347,64.8224, 892.3,  885,  2.6,  2.6,  2.6,100,100, 5.16,128,29.6
2026-09-24 10:45:05,-13.7435,64.8256, 880.5,  992,  2.0,  2.0,  2.0,100,100, 5.03,130,28.7
2026-09-24 10:45:25,-13.7520,64.8292, 869.0, 1098,  1.3,  1.3,  1.3,100,100, 4.82,133,27.9
2026-09-24 10:45:45,-13.7600,64.8328, 858.2, 1199,  0.4,  0.4,  0.4,100,100, 4.57,136,28.1
2026-09-24 10:46:05,-13.7678,64.8365, 850.0, 1276, -0.1, -0.1, -0.1,100,100, 4.48,137,27.7
2026-09-24 10:46:25,-13.7754,64.8401, 837.3, 1396, -0.6, -0.6, -0.5,100,100, 4.39,138,27.3
2026-09-24 10:46:45,-13.7827,64.8437, 826.9, 1497, -1.0, -1.0, -0.9,100,101, 4.30,139,26.9
2026-09-24 10:47:05,-13.7902,64.8475, 815.9, 1603, -1.5, -1.5, -1.4,100,101, 4.19,140,27.3
2026-09-24 10:47:25,-13.7977,64.8514, 805.3, 1707, -1.9, -1.9, -1.7,100,102, 4.13,141,27.8
2026-09-24 10:47:45,-13.8048,64.8553, 794.5, 1815, -2.6, -2.6, -2.3,100,102, 3.98,141,27.8
2026-09-24 10:48:05,-13.8116,64.8595, 784.2, 1918, -3.1, -3.1, -2.7,100,103, 3.88,144,28.0
2026-09-24 10:48:25,-13.8180,64.8637, 775.1, 2010, -3.3, -3.3, -3.0,100,103, 3.86,146,27.9
2026-09-24 10:48:45,-13.8241,64.8678, 767.0, 2094, -3.9, -3.9, -3.5,100,104, 3.73,147,27.5
2026-09-24 10:49:05,-13.8299,64.8720, 758.4, 2182, -4.3, -4.3, -3.8,100,104, 3.66,149,27.2
2026-09-24 10:49:25,-13.8353,64.8764, 750.1, 2269, -4.5, -4.5, -4.0,100,104, 3.66,151,27.5
2026-09-24 10:49:45,-13.8403,64.8809, 742.3, 2351, -4.8, -4.8, -4.3,100,105, 3.60,154,27.6
2026-09-24 10:50:05,-13.8447,64.8856, 734.9, 2431, -5.1, -5.1, -4.5,100,105, 3.56,157,28.2
2026-09-24 10:50:25,-13.8485,64.8907, 728.2, 2502, -5.3, -5.3, -4.7,100,105, 3.55,161,29.2
2026-09-24 10:50:45,-13.8518,64.8960, 722.0, 2570, -5.2, -5.2, -4.6,100,105, 3.59,163,30.0
2026-09-24 10:51:05,-13.8546,64.9012, 716.2, 2633, -5.3, -5.3, -4.7,100,105, 3.61,165,30.4
2026-09-24 10:51:25,-13.8575,64.9065, 711.0, 2691, -5.4, -5.4, -4.8,100,105, 3.61,167,30.3
2026-09-24 10:51:45,-13.8603,64.9119, 705.9, 2747, -5.5, -5.5, -4.9,100,105, 3.59,167,30.3
2026-09-24 10:52:05,-13.8629,64.9171, 701.0, 2802, -5.8, -5.8, -5.1,100,106, 3.55,167,30.0
2026-09-24 10:52:25,-13.8656,64.9222, 695.6, 2862, -6.0, -6.0, -5.3,100,106, 3.52,168,29.9
2026-09-24 10:52:45,-13.8677,64.9275, 689.6, 2930, -6.2, -6.2, -5.5,100,106, 3.50,169,29.6
2026-09-24 10:53:05,-13.8695,64.9328, 683.6, 2998, -6.4, -6.4, -5.7,100,106, 3.47,170,29.8
2026-09-24 10:53:25,-13.8714,64.9381, 679.1, 3050, -6.6, -6.6, -5.9,100,107, 3.43,171,29.9
2026-09-24 10:53:45,-13.8732,64.9434, 669.2, 3164, -7.1, -7.1, -6.3,100,107, 3.36,172,29.9
2026-09-24 10:54:05,-13.8745,64.9486, 660.5, 3267, -7.6, -7.6, -6.8,100,108, 3.26,173,29.5
2026-09-24 10:54:25,-13.8757,64.9538, 651.7, 3371, -8.1, -8.1, -7.2,100,108, 3.19,174,29.2
2026-09-24 10:54:45,-13.8768,64.9592, 642.7, 3479, -8.5, -8.5, -7.6,100,109, 3.13,175,29.4
2026-09-24 10:55:05,-13.8779,64.9645, 633.6, 3589, -9.1, -9.1, -8.1,100,109, 3.03,175,29.8
2026-09-24 10:55:25,-13.8794,64.9698, 624.9, 3696, -9.8, -9.8, -8.7,100,110, 2.92,174,29.8
2026-09-24 10:55:45,-13.8809,64.9751, 616.4, 3802,-10.4,-10.4, -9.3,100,111, 2.81,173,29.8
2026-09-24 10:56:05,-13.8825,64.9804, 608.6, 3901,-11.0,-11.0, -9.8,100,111, 2.71,173,29.8
2026-09-24 10:56:25,-13.8839,64.9857, 601.1, 3995,-11.6,-11.6,-10.3,100,112, 2.63,173,29.6
2026-09-24 10:56:45,-13.8854,64.9908, 594.3, 4083,-12.1,-12.1,-10.8,100,112, 2.55,173,29.1
2026-09-24 10:57:05,-13.8867,64.9956, 587.7, 4168,-12.3,-12.3,-11.0,100,113, 2.53,173,28.1
