time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-12 16:35:37,-59.7142,70.3323,1001.0,   10,  4.4, -0.6, -0.5, 70, 70, 3.66,184, 8.4
2026-09-12 16:35:47,-59.7490,70.3283, 994.4,   64,  3.0, -0.9, -0.8, 76, 76, 3.61,156, 4.0
2026-09-12 16:36:07,-59.7495,70.3291, 982.3,  163,  2.1, -1.3, -1.2, 78, 78, 3.53,170, 5.7
2026-09-12 16:36:37,-59.7496,70.3304, 964.0,  315,  0.6, -1.3, -1.2, 87, 87, 3.59,193, 4.1
2026-09-12 16:36:57,-59.7484,70.3311, 951.6,  418, -0.2, -1.7, -1.5, 90, 90, 3.54,212, 4.9
2026-09-12 16:37:17,-59.7469,70.3319, 940.6,  512, -0.9, -2.2, -2.0, 91, 91, 3.45,205, 6.1
2026-09-12 16:37:46,-59.7449,70.3334, 925.0,  645, -1.9, -3.0, -2.7, 92, 94, 3.31,212, 5.6
2026-09-12 16:38:07,-59.7432,70.3342, 913.1,  748, -2.6, -3.7, -3.3, 92, 95, 3.18,211, 4.9
2026-09-12 16:38:37,-59.7417,70.3354, 894.9,  907, -3.9, -4.2, -3.7, 98,102, 3.14,204, 5.4
2026-09-12 16:38:57,-59.7403,70.3363, 883.4, 1009, -4.6, -5.5, -4.9, 93, 97, 2.87,203, 5.7
2026-09-12 16:39:27,-59.7394,70.3377, 867.8, 1149, -5.4, -5.8, -5.1, 97,103, 2.86,182, 5.7
2026-09-12 16:39:45,-59.7394,70.3387, 857.8, 1240, -5.8, -6.2, -5.5, 96,102, 2.80,185, 4.8
2026-09-12 16:40:00,-59.7391,70.3391, 850.0, 1312, -3.6,-15.1,-13.5, 40, 42, 1.39,191, 2.3
2026-09-12 16:40:08,-59.7392,70.3392, 846.6, 1344, -2.9,-13.2,-11.8, 45, 46, 1.63,203, 1.9
2026-09-12 16:40:34,-59.7377,70.3397, 835.4, 1449, -2.2,-14.5,-13.0, 38, 39, 1.49,238, 3.8
2026-09-12 16:40:57,-59.7353,70.3400, 825.0, 1548, -2.1,-19.2,-17.3, 26, 26, 1.01,256, 3.8
2026-09-12 16:41:17,-59.7337,70.3401, 816.4, 1632, -2.4,-21.6,-19.4, 21, 22, 0.83,264, 3.2
2026-09-12 16:41:47,-59.7308,70.3400, 803.6, 1756, -2.8,-20.4,-18.3, 24, 25, 0.94,282, 3.3
2026-09-12 16:42:07,-59.7294,70.3398, 795.6, 1836, -3.3,-16.3,-14.6, 36, 37, 1.35,282, 2.7
2026-09-12 16:42:27,-59.7279,70.3398, 786.8, 1924, -3.5,-16.5,-14.8, 36, 37, 1.34,283, 3.0
2026-09-12 16:42:46,-59.7264,70.3396, 779.3, 1999, -3.9,-26.5,-23.9, 15, 16, 0.56,290, 3.0
2026-09-12 16:43:07,-59.7247,70.3394, 770.8, 2086, -4.0,-31.6,-28.6, 10, 10, 0.35,290, 4.1
