time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-12 10:45:59,-48.9811,61.0270, 990.5,   33,  5.0,  0.7,  0.7, 73, 73, 4.05,331,12.3
2026-09-12 10:46:19,-48.9797,61.0255, 965.3,  242,  3.6, -4.2, -3.7, 56, 56, 2.89,333,12.1
2026-09-12 10:46:39,-48.9776,61.0235, 958.5,  300,  2.8, -3.4, -3.0, 64, 64, 3.10,334,12.0
2026-09-12 10:46:59,-48.9757,61.0217, 943.6,  427,  2.2, -4.4, -3.9, 62, 62, 2.92,337,10.6
2026-09-12 10:47:19,-48.9747,61.0201, 932.3,  524,  2.6, -7.3, -6.5, 48, 48, 2.37,342, 8.2
2026-09-12 10:47:39,-48.9737,61.0189, 922.8,  607,  2.5, -8.8, -7.8, 43, 43, 2.13,348, 5.8
2026-09-12 10:47:59,-48.9737,61.0181, 914.4,  680,  2.3,-10.3, -9.1, 39, 39, 1.91,  3, 4.2
2026-09-12 10:48:19,-48.9740,61.0175, 903.9,  774,  1.7,-12.0,-10.7, 36, 36, 1.69, 12, 4.1
2026-09-12 10:48:39,-48.9743,61.0166, 894.1,  861,  1.0,-12.7,-11.3, 35, 35, 1.61, 17, 4.4
2026-09-12 10:48:59,-48.9750,61.0160, 883.7,  955, -0.0,-12.8,-11.5, 37, 37, 1.61, 20, 3.9
2026-09-12 10:49:19,-48.9753,61.0153, 873.9, 1044, -0.9,-12.5,-11.2, 41, 41, 1.67, 22, 3.4
2026-09-12 10:49:39,-48.9760,61.0148, 863.2, 1142, -1.8, -7.6, -6.8, 64, 65, 2.50, 65, 3.2
2026-09-12 10:49:59,-48.9775,61.0148, 855.8, 1211, -1.5, -2.5, -2.2, 93, 94, 3.71, 86, 3.6
2026-09-12 10:50:19,-48.9787,61.0148, 850.0, 1265, -0.9,-21.9,-19.7, 19, 19, 0.78, 74, 3.2
2026-09-12 10:50:39,-48.9797,61.0145, 836.1, 1396, -0.7,-22.0,-19.7, 18, 18, 0.79, 51, 3.6
2026-09-12 10:50:59,-48.9808,61.0139, 826.2, 1491, -0.7,-24.1,-21.7, 15, 15, 0.66, 44, 4.0
2026-09-12 10:51:19,-48.9819,61.0135, 816.8, 1582, -0.7,-19.8,-17.8, 22, 22, 0.97, 46, 2.7
2026-09-12 10:51:39,-48.9822,61.0133, 807.8, 1671, -0.8,-20.2,-18.1, 21, 22, 0.95, 61, 1.7
2026-09-12 10:51:59,-48.9828,61.0132, 798.0, 1768, -0.9,-21.6,-19.4, 19, 19, 0.85, 60, 2.1
2026-09-12 10:52:19,-48.9836,61.0129, 790.0, 1848, -1.3,-23.5,-21.1, 17, 17, 0.73, 44, 1.9
2026-09-12 10:52:39,-48.9838,61.0127, 782.2, 1927, -1.8,-26.3,-23.7, 13, 14, 0.57, 16, 1.3
2026-09-12 10:52:59,-48.9838,61.0125, 773.6, 2015, -2.0,-33.0,-30.0,  7,  7, 0.31,314, 0.5
2026-09-12 10:53:19,-48.9835,61.0126, 765.4, 2100, -2.0,-35.4,-32.2,  6,  6, 0.24,288, 0.8
2026-09-12 10:53:39,-48.9832,61.0124, 755.7, 2201, -2.2,-30.5,-27.7,  9,  9, 0.40,306, 1.4
2026-09-12 10:53:59,-48.9827,61.0123, 749.2, 2270, -2.6,-29.2,-26.4, 11, 11, 0.46,306, 2.0
2026-09-12 10:54:19,-48.9820,61.0120, 742.5, 2340, -2.7,-29.5,-26.7, 11, 11, 0.45,309, 2.2
2026-09-12 10:54:39,-48.9814,61.0117, 734.1, 2431, -2.8,-27.2,-24.5, 13, 14, 0.56,305, 2.5
2026-09-12 10:54:59,-48.9805,61.0115, 727.1, 2506, -3.2,-27.1,-24.5, 14, 14, 0.57,284, 2.6
2026-09-12 10:55:19,-48.9793,61.0116, 719.0, 2595, -3.4,-27.6,-24.9, 13, 14, 0.55,272, 2.8
2026-09-12 10:55:39,-48.9783,61.0115, 711.9, 2673, -3.8,-28.0,-25.3, 13, 14, 0.54,281, 2.6
2026-09-12 10:55:59,-48.9776,61.0113, 704.6, 2754, -4.0,-28.1,-25.4, 13, 14, 0.54,288, 2.4
2026-09-12 10:56:19,-48.9767,61.0112, 700.0, 2806, -4.7,-28.6,-25.8, 14, 14, 0.52,282, 2.7
2026-09-12 10:56:39,-48.9756,61.0111, 689.3, 2927, -5.1,-29.2,-26.4, 13, 14, 0.50,276, 3.2
