time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-19 10:50:51, -2.6427,59.7777, 984.7,   33, 12.0,  8.2,  8.2, 77, 77, 6.93,257,19.3
2026-09-19 10:51:11, -2.6362,59.7788, 953.6,  300,  9.8,  7.8,  7.8, 88, 88, 6.99,255,19.5
2026-09-19 10:51:31, -2.6293,59.7798, 942.2,  400,  9.0,  7.4,  7.4, 89, 89, 6.85,253,20.0
2026-09-19 10:51:51, -2.6219,59.7809, 931.0,  498,  8.1,  7.0,  7.0, 93, 93, 6.76,254,20.9
2026-09-19 10:52:11, -2.6151,59.7817, 918.2,  613,  7.1,  6.3,  6.3, 94, 94, 6.53,257,20.2
2026-09-19 10:52:31, -2.6082,59.7824, 907.4,  710,  6.6,  5.0,  5.0, 90, 90, 6.03,258,19.5
2026-09-19 10:52:51, -2.6013,59.7833, 896.0,  814,  5.7,  4.3,  4.3, 91, 91, 5.81,257,19.6
2026-09-19 10:53:11, -2.5947,59.7843, 886.6,  900,  5.0,  3.3,  3.3, 89, 89, 5.49,255,19.6
2026-09-19 10:53:31, -2.5877,59.7850, 874.6, 1012,  4.4,  2.8,  2.8, 89, 89, 5.36,256,19.4
2026-09-19 10:53:51, -2.5807,59.7858, 862.5, 1125,  3.7,  2.1,  2.1, 89, 89, 5.15,259,20.1
2026-09-19 10:54:11, -2.5734,59.7866, 852.4, 1221,  3.0,  1.7,  1.7, 91, 91, 5.07,258,20.6
2026-09-19 10:54:31, -2.5664,59.7874, 841.4, 1326,  2.4,  0.6,  0.6, 88, 88, 4.75,257,20.4
2026-09-19 10:54:51, -2.5594,59.7881, 830.9, 1427,  1.4,  0.2,  0.2, 92, 92, 4.68,260,20.6
2026-09-19 10:55:11, -2.5516,59.7888, 820.6, 1527,  0.7, -0.0, -0.0, 95, 95, 4.66,260,21.4
2026-09-19 10:55:31, -2.5439,59.7897, 810.1, 1631,  0.2, -0.2, -0.2, 97, 97, 4.65,258,21.7
2026-09-19 10:55:51, -2.5366,59.7904, 799.5, 1737, -0.4, -0.7, -0.7, 98, 98, 4.53,258,21.2
2026-09-19 10:56:11, -2.5293,59.7912, 789.7, 1835, -1.2, -1.4, -1.2, 98,100, 4.38,258,21.0
2026-09-19 10:56:31, -2.5220,59.7921, 781.5, 1919, -1.4, -1.7, -1.5, 98, 99, 4.31,257,20.4
2026-09-19 10:56:51, -2.5152,59.7929, 771.5, 2021, -2.2, -2.5, -2.2, 98,100, 4.13,257,19.9
2026-09-19 10:57:11, -2.5085,59.7939, 763.8, 2100, -3.1, -3.1, -2.8,100,103, 3.97,255,19.3
2026-09-19 10:57:31, -2.5023,59.7950, 752.3, 2220, -3.7, -3.8, -3.4, 99,103, 3.84,253,18.6
2026-09-19 10:58:01, -2.4925,59.7964, 743.1, 2318, -4.3, -4.3, -3.8,100,104, 3.73,253,18.9
2026-09-19 10:58:21, -2.4855,59.7973, 729.6, 2462, -5.1, -5.6, -5.0, 96,101, 3.46,256,20.1
2026-09-19 10:58:41, -2.4783,59.7982, 720.7, 2559, -5.7, -6.2, -5.5, 96,102, 3.34,258,20.8
2026-09-19 10:59:01, -2.4704,59.7991, 709.7, 2679, -6.2, -6.8, -6.0, 96,102, 3.25,257,22.1
2026-09-19 10:59:21, -2.4626,59.8000, 700.0, 2787, -6.8, -8.2, -7.3, 90, 96, 2.94,257,22.6
2026-09-19 10:59:41, -2.4548,59.8010, 690.5, 2893, -7.5, -9.3, -8.3, 87, 93, 2.73,257,22.2
2026-09-19 11:00:01, -2.4472,59.8019, 680.8, 3003, -8.2,-10.4, -9.3, 84, 91, 2.54,257,22.1
2026-09-19 11:00:21, -2.4391,59.8028, 671.1, 3114, -9.0,-10.8, -9.6, 87, 95, 2.51,256,23.2
2026-09-19 11:00:41, -2.4309,59.8039, 661.7, 3224, -9.4,-12.0,-10.7, 82, 89, 2.31,257,23.9
2026-09-19 11:01:01, -2.4223,59.8050, 653.4, 3321,-10.2,-12.1,-10.8, 86, 95, 2.32,258,24.1
2026-09-19 11:01:21, -2.4141,59.8059, 644.0, 3433,-10.8,-13.5,-12.0, 80, 89, 2.10,258,24.1
