time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-13 22:46:00,-34.5000,61.6000, 992.0,    0, 10.0,  5.0,  5.0, 71, 71, 5.51, 15,22.0
2026-09-13 22:46:00,-34.5000,61.6000, 956.0,  313,  7.7,  3.7,  3.7, 76, 76, 5.21,355,11.0
2026-09-13 22:46:00,-34.5000,61.6000, 850.0, 1308,  0.2, -0.6, -0.5, 94, 94, 4.31,355,11.0
2026-09-13 22:46:00,-34.5000,61.6000, 803.0, 1758, -0.1, -0.7, -0.6, 96, 96, 4.53,355,10.0
2026-09-13 22:46:00,-34.5000,61.6000, 700.0, 2833, -4.5, -5.7, -5.1, 91, 95, 3.57,355, 8.0
2026-09-13 22:46:00,-34.5000,61.6000, 612.0, 3878,-10.1,-11.7,-10.4, 88, 97, 2.55,335, 7.2
2026-09-13 22:46:00,-34.5000,61.6000, 500.0, 5400,-20.9,-23.8,-21.4, 77, 95, 1.12,305, 6.0
2026-09-13 22:46:00,-34.5000,61.6000, 435.0, 6413,-28.7,-30.8,-27.9, 82,109, 0.68,277, 8.5
2026-09-13 22:46:00,-34.5000,61.6000, 416.0, 6732,-30.3,-42.3,-38.7, 30, 40, 0.22,268, 9.3
2026-09-13 22:46:00,-34.5000,61.6000, 400.0, 7010,-31.9,-43.9,-40.2, 30, 40, 0.20,260,10.0
2026-09-13 22:46:00,-34.5000,61.6000, 320.0, 8535,-45.4,-49.7,-45.7, 62, 96, 0.13,245,13.0
2026-09-13 22:46:00,-34.5000,61.6000, 308.0, 8797,-47.7,-50.7,-46.7, 71,113, 0.12,245,13.0
2026-09-13 22:46:00,-34.5000,61.6000, 300.0, 8970,-49.1,-52.4,-48.3, 68,110, 0.10,245,13.0
2026-09-13 22:46:00,-34.5000,61.6000, 282.0, 9374,-51.5,-59.5,-55.1, 38, 63, 0.05,253,12.5
2026-09-13 22:46:00,-34.5000,61.6000, 267.0, 9727,-53.3,-61.3,-56.9, 37, 63, 0.04,260,12.0
2026-09-13 22:46:00,-34.5000,61.6000, 250.0,10150,-53.7,-62.7,-58.2, 33, 55, 0.03,265, 9.0
2026-09-13 22:46:00,-34.5000,61.6000, 238.0,10467,-53.3,-63.3,-58.8, 29, 49, 0.03,262,11.1
2026-09-13 22:46:00,-34.5000,61.6000, 233.0,10606,-52.3,-63.3,-58.9, 26, 43, 0.03,260,12.0
2026-09-13 22:46:00,-34.5000,61.6000, 225.0,10835,-50.6,-63.4,-58.9, 21, 34, 0.03,280,11.0
2026-09-13 22:46:00,-34.5000,61.6000, 214.0,11163,-48.2,-63.5,-59.0, 16, 25, 0.04,255,12.0
2026-09-13 22:46:00,-34.5000,61.6000, 211.0,11255,-47.5,-63.5,-59.0, 15, 23, 0.04,257,12.0
2026-09-13 22:46:00,-34.5000,61.6000, 200.0,11610,-47.5,-63.5,-59.0, 15, 23, 0.04,265,12.0
2026-09-13 22:46:00,-34.5000,61.6000, 171.0,12645,-47.3,-69.3,-64.7,  7, 10, 0.02,275,12.0
2026-09-13 22:46:00,-34.5000,61.6000, 150.0,13510,-47.1,-74.1,-69.4,  3,  5, 0.01,270,14.0
