time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-26 11:32:00,133.0000,30.1000,1011.0,    0, 28.4, 24.9, 24.9, 81, 81,19.96,195, 7.7
2026-09-26 11:32:00,133.0000,30.1000,1000.0,   99, 27.4, 24.3, 24.3, 83, 83,19.45,200, 7.2
2026-09-26 11:32:00,133.0000,30.1000, 961.0,  452, 24.4, 22.7, 22.7, 90, 90,18.35,209, 7.2
2026-09-26 11:32:00,133.0000,30.1000, 957.0,  488, 24.2, 22.2, 22.2, 88, 88,17.85,210, 7.2
2026-09-26 11:32:00,133.0000,30.1000, 925.0,  787, 23.0, 18.0, 18.0, 73, 73,14.17,235, 6.7
2026-09-26 11:32:00,133.0000,30.1000, 915.0,  882, 22.7, 17.2, 17.2, 71, 71,13.63,245, 6.2
2026-09-26 11:32:00,133.0000,30.1000, 902.0, 1007, 22.2, 16.2, 16.2, 69, 69,12.95,247, 7.1
2026-09-26 11:32:00,133.0000,30.1000, 850.0, 1522, 19.0, 16.4, 16.4, 85, 85,13.94,255,10.8
2026-09-26 11:32:00,133.0000,30.1000, 848.0, 1542, 18.8, 16.4, 16.4, 86, 86,13.93,255,10.8
2026-09-26 11:32:00,133.0000,30.1000, 841.0, 1614, 18.2, 16.2, 16.2, 88, 88,13.91,259,10.4
2026-09-26 11:32:00,133.0000,30.1000, 829.0, 1737, 18.2, 11.2, 11.2, 64, 64,10.13,266, 9.7
2026-09-26 11:32:00,133.0000,30.1000, 814.0, 1893, 17.7, 10.0, 10.0, 61, 61, 9.50,275, 8.8
2026-09-26 11:32:00,133.0000,30.1000, 807.0, 1967, 17.4,  9.4,  9.4, 59, 59, 9.22,274, 9.0
2026-09-26 11:32:00,133.0000,30.1000, 748.0, 2614, 15.6, -2.4, -2.1, 29, 29, 4.29,269,11.6
2026-09-26 11:32:00,133.0000,30.1000, 711.0, 3042, 13.8, -3.2, -2.8, 31, 31, 4.25,266,13.4
2026-09-26 11:32:00,133.0000,30.1000, 700.0, 3173, 12.6, -3.4, -3.0, 33, 33, 4.25,265,13.9
2026-09-26 11:32:00,133.0000,30.1000, 676.0, 3463, 10.3, -2.3, -2.0, 41, 41, 4.80,265,13.9
2026-09-26 11:32:00,133.0000,30.1000, 662.0, 3636,  8.9, -1.6, -1.4, 48, 48, 5.16,240,12.9
2026-09-26 11:32:00,133.0000,30.1000, 639.0, 3930,  6.6, -0.4, -0.4, 61, 61, 5.83,247,12.9
2026-09-26 11:32:00,133.0000,30.1000, 611.0, 4290,  4.3, -1.6, -1.4, 65, 65, 5.58,255,12.9
2026-09-26 11:32:00,133.0000,30.1000, 545.0, 5210, -1.5, -4.6, -4.1, 79, 80, 4.99,240,14.4
2026-09-26 11:32:00,133.0000,30.1000, 525.0, 5511, -3.4, -5.6, -5.0, 85, 88, 4.80,260,17.5
2026-09-26 11:32:00,133.0000,30.1000, 508.0, 5775, -5.1, -6.5, -5.8, 90, 94, 4.64,257,16.8
2026-09-26 11:32:00,133.0000,30.1000, 500.0, 5900, -5.9, -8.0, -7.1, 85, 90, 4.19,255,16.5
2026-09-26 11:32:00,133.0000,30.1000, 479.0, 6234, -8.2,-11.3,-10.1, 78, 85, 3.37,250,18.0
2026-09-26 11:32:00,133.0000,30.1000, 471.0, 6366, -9.1,-12.6,-11.2, 76, 83, 3.09,252,17.3
2026-09-26 11:32:00,133.0000,30.1000, 469.0, 6399, -9.1,-14.1,-12.6, 67, 73, 2.74,252,17.1
2026-09-26 11:32:00,133.0000,30.1000, 464.0, 6482, -8.7,-23.7,-21.3, 29, 31, 1.22,253,16.6
2026-09-26 11:32:00,133.0000,30.1000, 436.0, 6957,-11.0,-31.5,-28.6, 17, 19, 0.63,260,13.9
2026-09-26 11:32:00,133.0000,30.1000, 417.0, 7298,-12.7,-37.1,-33.8, 11, 12, 0.38,240,14.4
2026-09-26 11:32:00,133.0000,30.1000, 387.0, 7869,-15.5,-46.5,-42.7,  5,  6, 0.15,246,14.1
2026-09-26 11:32:00,133.0000,30.1000, 386.0, 7888,-15.3,-46.3,-42.5,  5,  6, 0.16,247,14.1
2026-09-26 11:32:00,133.0000,30.1000, 371.0, 8181,-17.6,-48.2,-44.3,  5,  6, 0.13,250,13.9
2026-09-26 11:32:00,133.0000,30.1000, 349.0, 8632,-21.2,-51.2,-47.1,  5,  6, 0.10,275,12.9
2026-09-26 11:32:00,133.0000,30.1000, 319.0, 9296,-26.5,-55.5,-51.3,  5,  6, 0.07,270,14.9
