time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-24 11:31:00,136.0000,31.4000,1015.0,    0, 27.0, 21.0, 21.0, 70, 70,15.60,205, 1.0
2026-09-24 11:31:00,136.0000,31.4000,1000.0,  139, 25.8, 20.8, 20.8, 74, 74,15.64,245, 1.5
2026-09-24 11:31:00,136.0000,31.4000, 953.0,  561, 21.8, 19.2, 19.2, 85, 85,14.85,248, 2.2
2026-09-24 11:31:00,136.0000,31.4000, 940.0,  680, 21.8, 14.8, 14.8, 64, 64,11.33,249, 2.4
2026-09-24 11:31:00,136.0000,31.4000, 925.0,  820, 20.4, 17.7, 17.7, 85, 85,13.90,250, 2.6
2026-09-24 11:31:00,136.0000,31.4000, 900.0, 1056, 19.2, 15.9, 15.9, 81, 81,12.74,285, 2.6
2026-09-24 11:31:00,136.0000,31.4000, 850.0, 1548, 16.8, 12.2, 12.2, 74, 74,10.56,290, 3.6
2026-09-24 11:31:00,136.0000,31.4000, 800.0, 2063, 13.9,  7.3,  7.3, 64, 64, 8.05,285, 3.6
2026-09-24 11:31:00,136.0000,31.4000, 791.0, 2159, 13.4,  6.4,  6.4, 63, 63, 7.65,286, 3.7
2026-09-24 11:31:00,136.0000,31.4000, 777.0, 2309, 12.4,  2.4,  2.4, 50, 50, 5.86,287, 3.8
2026-09-24 11:31:00,136.0000,31.4000, 758.0, 2517, 14.2,-17.8,-15.9,  9,  9, 1.24,289, 4.0
2026-09-24 11:31:00,136.0000,31.4000, 735.0, 2777, 13.8,-14.2,-12.7, 13, 13, 1.73,291, 4.3
2026-09-24 11:31:00,136.0000,31.4000, 700.0, 3186, 11.4, -1.6, -1.4, 40, 40, 4.87,295, 4.6
2026-09-24 11:31:00,136.0000,31.4000, 664.0, 3625,  8.2,  0.2,  0.2, 57, 57, 5.86,285, 3.6
2026-09-24 11:31:00,136.0000,31.4000, 600.0, 4455,  3.4,-13.6,-12.1, 28, 28, 2.23,265, 1.5
2026-09-24 11:31:00,136.0000,31.4000, 581.0, 4716,  4.2,-29.8,-27.0,  6,  6, 0.56,263, 3.0
2026-09-24 11:31:00,136.0000,31.4000, 554.0, 5102,  2.6,-31.4,-28.5,  6,  6, 0.50,261, 5.1
2026-09-24 11:31:00,136.0000,31.4000, 500.0, 5920, -4.3,-30.3,-27.4, 11, 12, 0.62,255, 9.8
2026-09-24 11:31:00,136.0000,31.4000, 470.0, 6402, -8.3,-35.3,-32.1,  9, 10, 0.40,251, 9.9
2026-09-24 11:31:00,136.0000,31.4000, 400.0, 7630,-16.1,-45.1,-41.3,  6,  7, 0.17,240,10.3
2026-09-24 11:31:00,136.0000,31.4000, 394.0, 7744,-16.5,-49.5,-45.5,  4,  5, 0.11,241,10.5
2026-09-24 11:31:00,136.0000,31.4000, 348.0, 8668,-22.5,-40.5,-37.0, 18, 22, 0.32,247,12.0
2026-09-24 11:31:00,136.0000,31.4000, 300.0, 9740,-31.9,-46.9,-43.0, 21, 29, 0.19,255,13.9
2026-09-24 11:31:00,136.0000,31.4000, 265.0,10604,-39.7,-51.7,-47.6, 27, 40, 0.12,269,14.9
2026-09-24 11:31:00,136.0000,31.4000, 250.0,11000,-42.9,     ,     ,   ,   ,     ,275,15.4
2026-09-24 11:31:00,136.0000,31.4000, 217.0,11935,-48.9,     ,     ,   ,   ,     ,274,14.4
2026-09-24 11:31:00,136.0000,31.4000,  97.0,16862,-73.5,     ,     ,   ,   ,     ,270, 8.8
2026-09-24 11:31:00,136.0000,31.4000,  89.1,17382,-76.1,     ,     ,   ,   ,     ,270,11.8
2026-09-24 11:31:00,136.0000,31.4000,  89.0,17388,-76.0,     ,     ,   ,   ,     ,270,11.8
2026-09-24 11:31:00,136.0000,31.4000,  86.0,17587,-72.6,     ,     ,   ,   ,     ,275, 8.8
2026-09-24 11:31:00,136.0000,31.4000,  84.9,17661,-71.3,     ,     ,   ,   ,     ,260, 8.6
