time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-03 11:59:41,-82.4781,42.7909, 985.0,  202, 21.1, 20.6, 20.6, 97, 97,15.69,196, 1.0
2026-09-03 11:59:57,-82.4871,42.7181, 976.3,  279, 23.8, 19.8, 19.8, 78, 78,15.03,256, 5.8
2026-09-03 12:00:13,-82.4861,42.7181, 966.8,  365, 23.6, 19.6, 19.6, 78, 78,14.96,266, 5.9
2026-09-03 12:00:29,-82.4850,42.7180, 957.0,  454, 22.9, 19.1, 19.1, 79, 79,14.69,281, 5.1
2026-09-03 12:00:45,-82.4841,42.7177, 948.3,  534, 23.2, 19.4, 19.4, 79, 79,15.09,292, 5.0
2026-09-03 12:01:01,-82.4832,42.7175, 940.3,  607, 23.2, 18.8, 18.8, 76, 76,14.69,291, 4.8
2026-09-03 12:01:17,-82.4823,42.7172, 930.6,  699, 23.0, 18.0, 18.0, 73, 73,14.06,290, 5.2
2026-09-03 12:01:33,-82.4813,42.7169, 922.8,  772, 23.0, 17.3, 17.3, 70, 70,13.59,288, 5.5
2026-09-03 12:01:49,-82.4802,42.7167, 914.3,  853, 22.8, 16.5, 16.5, 68, 68,13.04,288, 5.7
2026-09-03 12:02:05,-82.4792,42.7162, 906.9,  924, 22.3, 16.0, 16.0, 68, 68,12.73,297, 5.9
2026-09-03 12:02:21,-82.4782,42.7157, 899.0, 1001, 21.7, 15.7, 15.7, 69, 69,12.58,306, 6.2
2026-09-03 12:02:37,-82.4768,42.7150, 891.0, 1078, 21.3, 15.6, 15.6, 70, 70,12.62,307, 7.8
2026-09-03 12:02:53,-82.4752,42.7142, 883.0, 1157, 20.9, 15.3, 15.3, 70, 70,12.47,303, 9.7
2026-09-03 12:03:09,-82.4733,42.7135, 875.2, 1233, 20.4, 14.9, 14.9, 71, 71,12.27,299,11.1
2026-09-03 12:03:25,-82.4714,42.7127, 868.7, 1298, 20.0, 14.3, 14.3, 70, 70,11.90,297,11.2
2026-09-03 12:03:41,-82.4691,42.7120, 861.9, 1365, 19.8, 13.5, 13.5, 67, 67,11.32,294,11.8
2026-09-03 12:03:57,-82.4669,42.7114, 855.0, 1435, 19.8, 12.8, 12.8, 64, 64,10.90,293,12.9
2026-09-03 12:04:13,-82.4642,42.7104, 849.1, 1494, 19.6, 12.8, 12.8, 64, 64,10.97,293,14.3
2026-09-03 12:04:29,-82.4615,42.7095, 842.2, 1564, 18.9, 13.7, 13.7, 72, 72,11.80,296,15.7
2026-09-03 12:04:45,-82.4586,42.7082, 835.8, 1631, 18.3, 14.5, 14.5, 79, 79,12.50,300,16.7
2026-09-03 12:05:01,-82.4557,42.7070, 829.7, 1693, 17.7, 14.7, 14.7, 83, 83,12.78,300,17.1
2026-09-03 12:05:17,-82.4528,42.7059, 823.9, 1753, 17.3, 14.2, 14.2, 82, 82,12.44,299,17.3
2026-09-03 12:05:33,-82.4497,42.7048, 817.8, 1816, 17.3, 12.6, 12.6, 74, 74,11.27,296,17.2
2026-09-03 12:05:49,-82.4467,42.7039, 812.0, 1878, 17.3, 11.3, 11.3, 68, 68,10.41,293,17.0
2026-09-03 12:06:05,-82.4435,42.7030, 806.0, 1942, 17.2, 10.9, 10.9, 67, 67,10.22,290,17.0
2026-09-03 12:06:21,-82.4404,42.7021, 799.7, 2009, 16.7, 10.8, 10.8, 68, 68,10.19,290,17.4
2026-09-03 12:06:37,-82.4373,42.7012, 794.1, 2068, 16.3, 10.4, 10.4, 68, 68,10.05,291,17.1
2026-09-03 12:06:53,-82.4342,42.7003, 788.3, 2130, 15.9, 10.1, 10.1, 69, 69, 9.93,292,16.8
2026-09-03 12:07:09,-82.4313,42.6993, 783.2, 2186, 15.6,  9.7,  9.7, 68, 68, 9.70,294,16.8
2026-09-03 12:07:25,-82.4283,42.6983, 777.9, 2244, 15.2,  9.3,  9.3, 68, 68, 9.47,295,16.7
2026-09-03 12:07:41,-82.4254,42.6973, 772.8, 2299, 14.8,  9.0,  9.0, 68, 68, 9.38,295,16.7
2026-09-03 12:07:57,-82.4224,42.6963, 767.8, 2355, 14.3,  8.8,  8.8, 70, 70, 9.29,294,16.6
2026-09-03 12:08:13,-82.4194,42.6954, 762.4, 2415, 13.8,  8.9,  8.9, 72, 72, 9.41,293,16.6
2026-09-03 12:08:29,-82.4164,42.6946, 756.8, 2476, 13.3,  8.9,  8.9, 74, 74, 9.49,291,16.7
2026-09-03 12:08:45,-82.4133,42.6938, 751.0, 2541, 12.8,  8.5,  8.5, 75, 75, 9.30,290,16.5
2026-09-03 12:09:01,-82.4103,42.6930, 745.3, 2605, 12.2,  8.3,  8.3, 77, 77, 9.26,289,16.5
2026-09-03 12:09:17,-82.4071,42.6923, 740.1, 2664, 11.7,  8.1,  8.1, 78, 78, 9.20,288,16.7
2026-09-03 12:09:33,-82.4039,42.6916, 734.8, 2725, 11.3,  7.8,  7.8, 79, 79, 9.08,286,16.9
2026-09-03 12:09:49,-82.4007,42.6910, 729.7, 2783, 10.9,  7.3,  7.3, 78, 78, 8.80,285,17.2
2026-09-03 12:10:05,-82.3973,42.6904, 724.7, 2840, 10.8,  6.6,  6.6, 75, 75, 8.47,284,17.7
2026-09-03 12:10:21,-82.3939,42.6897, 719.5, 2900, 10.8,  5.2,  5.2, 68, 68, 7.72,284,18.2
2026-09-03 12:10:37,-82.3906,42.6890, 713.4, 2971, 10.8,  3.1,  3.1, 59, 59, 6.72,285,17.9
2026-09-03 12:10:53,-82.3873,42.6883, 706.7, 3050, 10.3,  1.8,  1.8, 55, 55, 6.17,287,17.3
2026-09-03 12:11:09,-82.3842,42.6875, 700.4, 3124,  9.8,  1.0,  1.0, 54, 54, 5.86,288,17.0
2026-09-03 12:11:25,-82.3811,42.6867, 694.7, 3192,  9.3,  0.4,  0.4, 54, 54, 5.67,290,17.0
2026-09-03 12:11:41,-82.3781,42.6858, 688.5, 3267,  8.6,  0.1,  0.1, 55, 55, 5.59,291,16.8
2026-09-03 12:11:57,-82.3750,42.6850, 682.9, 3333,  7.9, -0.1, -0.1, 57, 57, 5.58,291,16.6
2026-09-03 12:12:13,-82.3720,42.6841, 677.4, 3400,  7.3, -0.3, -0.3, 58, 58, 5.52,291,16.5
2026-09-03 12:12:29,-82.3690,42.6832, 672.3, 3463,  6.7, -0.8, -0.7, 59, 59, 5.39,292,16.6
2026-09-03 12:12:45,-82.3661,42.6823, 667.1, 3526,  6.1, -0.9, -0.8, 61, 61, 5.38,293,16.6
2026-09-03 12:13:01,-82.3631,42.6814, 662.2, 3586,  5.6, -1.2, -1.0, 62, 62, 5.32,293,16.3
2026-09-03 12:13:17,-82.3602,42.6804, 657.5, 3645,  5.0, -1.4, -1.2, 63, 63, 5.28,293,16.2
2026-09-03 12:13:33,-82.3573,42.6795, 652.3, 3710,  4.4, -1.9, -1.7, 64, 64, 5.12,293,16.3
2026-09-03 12:13:49,-82.3543,42.6787, 646.7, 3782,  3.8, -2.5, -2.3, 63, 63, 4.91,291,16.3
2026-09-03 12:14:05,-82.3513,42.6779, 641.7, 3843,  3.2, -3.2, -2.8, 63, 63, 4.71,291,16.5
2026-09-03 12:14:21,-82.3483,42.6770, 636.9, 3904,  2.6, -3.8, -3.4, 63, 63, 4.54,291,16.6
2026-09-03 12:14:37,-82.3452,42.6761, 631.8, 3969,  2.0, -4.1, -3.6, 64, 64, 4.48,291,16.8
2026-09-03 12:14:53,-82.3421,42.6753, 626.6, 4035,  1.4, -4.6, -4.1, 64, 64, 4.33,290,17.1
2026-09-03 12:15:09,-82.3389,42.6744, 621.1, 4107,  0.8, -5.4, -4.8, 64, 64, 4.13,290,17.5
2026-09-03 12:15:25,-82.3356,42.6736, 615.7, 4177,  0.1, -6.0, -5.3, 63, 63, 3.97,289,17.8
2026-09-03 12:15:41,-82.3324,42.6727, 610.1, 4249, -0.5, -7.0, -6.3, 61, 61, 3.70,289,17.7
2026-09-03 12:15:57,-82.3291,42.6718, 604.9, 4319, -1.1, -7.6, -6.7, 62, 62, 3.58,290,17.6
2026-09-03 12:16:13,-82.3259,42.6709, 598.9, 4398, -1.9, -8.0, -7.1, 63, 64, 3.49,291,17.6
2026-09-03 12:16:29,-82.3227,42.6699, 593.2, 4474, -2.6, -8.6, -7.6, 63, 65, 3.37,293,17.9
2026-09-03 12:16:45,-82.3196,42.6689, 587.3, 4553, -2.9, -9.9, -8.8, 59, 60, 3.07,294,17.8
2026-09-03 12:17:01,-82.3166,42.6678, 581.4, 4632, -3.1,-11.9,-10.6, 51, 52, 2.65,295,17.3
2026-09-03 12:17:17,-82.3135,42.6667, 575.6, 4712, -2.9,-14.2,-12.7, 41, 43, 2.22,296,17.2
2026-09-03 12:17:33,-82.3105,42.6655, 570.8, 4779, -2.1,-17.1,-15.3, 31, 31, 1.76,297,17.7
2026-09-03 12:17:49,-82.3071,42.6643, 566.0, 4845, -1.3,-19.3,-17.3, 24, 24, 1.47,297,18.7
2026-09-03 12:18:05,-82.3038,42.6631, 561.3, 4912, -1.1,-20.9,-18.7, 21, 21, 1.29,297,19.2
2026-09-03 12:18:21,-82.3002,42.6619, 555.9, 4989, -1.6,-22.3,-20.1, 19, 19, 1.15,294,19.8
2026-09-03 12:18:37,-82.2965,42.6608, 551.0, 5060, -2.2,-23.4,-21.1, 18, 18, 1.05,292,20.5
