time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-26 11:58:23,-82.3698,74.5164,1014.3,   29,  0.4,  0.4,  0.4,100,100, 3.88,133, 4.7
2026-09-26 11:58:48,-82.3719,74.5175, 998.7,  152, -0.6, -2.3, -2.1, 88, 88, 3.22,145, 4.0
2026-09-26 11:59:13,-82.3735,74.5182, 983.3,  276, -1.4, -3.0, -2.6, 89, 90, 3.12,151, 3.7
2026-09-26 11:59:38,-82.3740,74.5189, 968.1,  401, -2.0, -3.6, -3.2, 89, 90, 3.02,170, 3.0
2026-09-26 12:00:03,-82.3746,74.5193, 954.3,  515, -2.1, -3.5, -3.1, 90, 92, 3.08,161, 2.2
2026-09-26 12:00:28,-82.3737,74.5200, 941.4,  623, -2.5, -3.9, -3.5, 90, 92, 3.04,202, 3.7
2026-09-26 12:00:53,-82.3717,74.5209, 928.4,  733, -3.1, -4.6, -4.1, 89, 92, 2.92,211, 4.7
2026-09-26 12:01:18,-82.3692,74.5219, 916.0,  839, -3.7, -5.3, -4.7, 88, 92, 2.80,215, 5.2
2026-09-26 12:01:43,-82.3663,74.5229, 903.1,  951, -4.3, -6.0, -5.3, 88, 92, 2.71,218, 5.5
2026-09-26 12:02:08,-82.3630,74.5239, 890.0, 1067, -4.9, -6.7, -5.9, 88, 92, 2.60,221, 6.1
2026-09-26 12:02:33,-82.3600,74.5249, 877.1, 1181, -5.5, -7.3, -6.5, 87, 92, 2.51,219, 5.6
2026-09-26 12:02:58,-82.3566,74.5256, 865.3, 1288, -6.1, -7.8, -7.0, 87, 93, 2.45,234, 5.1
2026-09-26 12:03:23,-82.3525,74.5260, 853.5, 1395, -6.7, -8.6, -7.7, 86, 92, 2.34,251, 5.3
2026-09-26 12:03:48,-82.3480,74.5264, 840.9, 1511, -7.1, -9.1, -8.1, 86, 92, 2.29,252, 5.6
2026-09-26 12:04:13,-82.3442,74.5273, 828.8, 1624, -7.6, -9.5, -8.5, 86, 92, 2.24,229, 6.0
2026-09-26 12:04:38,-82.3408,74.5283, 817.0, 1735, -7.9,-10.0, -8.9, 85, 92, 2.19,221, 6.2
2026-09-26 12:05:03,-82.3381,74.5297, 805.0, 1850, -8.2,-10.3, -9.2, 85, 92, 2.17,206, 7.2
2026-09-26 12:05:28,-82.3354,74.5313, 793.3, 1964, -8.1,-10.1, -9.0, 86, 93, 2.24,204, 7.9
2026-09-26 12:05:53,-82.3321,74.5327, 781.7, 2078, -8.7,-10.8, -9.6, 85, 93, 2.15,213, 7.1
2026-09-26 12:06:18,-82.3281,74.5337, 770.9, 2186, -9.3,-11.6,-10.3, 84, 92, 2.05,227, 6.6
2026-09-26 12:06:43,-82.3229,74.5346, 759.8, 2298, -9.7,-11.9,-10.6, 84, 92, 2.01,235, 7.5
2026-09-26 12:07:08,-82.3173,74.5361, 748.3, 2416,-10.3,-12.3,-11.0, 85, 94, 1.99,225, 9.3
2026-09-26 12:07:33,-82.3118,74.5375, 736.9, 2533,-10.9,-13.0,-11.6, 85, 94, 1.91,227, 9.0
2026-09-26 12:07:58,-82.3060,74.5389, 725.7, 2651,-11.4,-13.5,-12.1, 84, 94, 1.85,228, 9.3
2026-09-26 12:08:23,-82.2994,74.5403, 714.6, 2769,-11.8,-13.8,-12.4, 84, 95, 1.83,231,10.3
2026-09-26 12:08:48,-82.2915,74.5419, 703.9, 2885,-12.3,-14.5,-13.0, 84, 94, 1.76,234,11.6
2026-09-26 12:09:13,-82.2825,74.5434, 693.3, 3000,-13.0,-15.2,-13.6, 83, 95, 1.69,237,12.8
2026-09-26 12:09:38,-82.2739,74.5451, 682.6, 3119,-13.8,-16.1,-14.4, 83, 94, 1.59,234,12.6
2026-09-26 12:10:03,-82.2660,74.5469, 672.0, 3238,-14.6,-17.0,-15.2, 82, 94, 1.50,227,12.6
2026-09-26 12:10:28,-82.2583,74.5489, 661.1, 3361,-15.5,-17.9,-16.1, 82, 95, 1.41,226,12.6
2026-09-26 12:10:53,-82.2508,74.5508, 650.5, 3483,-16.4,-18.8,-16.9, 81, 95, 1.33,226,12.4
2026-09-26 12:11:18,-82.2430,74.5526, 640.0, 3605,-17.3,-19.8,-17.8, 81, 96, 1.24,228,12.3
2026-09-26 12:11:43,-82.2347,74.5544, 628.8, 3737,-18.3,-20.8,-18.7, 80, 96, 1.16,232,12.6
2026-09-26 12:12:08,-82.2265,74.5563, 618.1, 3865,-19.3,-21.9,-19.7, 80, 96, 1.07,228,12.9
2026-09-26 12:12:33,-82.2186,74.5583, 608.9, 3977,-20.1,-22.7,-20.4, 80, 97, 1.01,226,12.9
2026-09-26 12:12:58,-82.2108,74.5603, 598.8, 4100,-21.1,-23.9,-21.5, 79, 97, 0.93,226,13.1
2026-09-26 12:13:23,-82.2027,74.5623, 589.1, 4220,-22.1,-24.9,-22.4, 78, 97, 0.86,226,13.3
2026-09-26 12:13:48,-82.1950,74.5645, 579.8, 4337,-23.0,-25.8,-23.2, 78, 98, 0.81,223,13.2
2026-09-26 12:14:13,-82.1868,74.5667, 570.1, 4461,-24.0,-26.8,-24.2, 78, 98, 0.75,225,13.9
2026-09-26 12:14:38,-82.1786,74.5688, 561.9, 4566,-24.9,-27.6,-25.0, 78, 99, 0.70,225,13.7
2026-09-26 12:15:03,-82.1710,74.5710, 553.4, 4676,-25.8,-28.6,-25.8, 77, 99, 0.65,222,13.3
2026-09-26 12:15:28,-82.1639,74.5733, 546.1, 4772,-26.6,-29.4,-26.6, 77,100, 0.62,220,13.1
2026-09-26 12:15:53,-82.1568,74.5756, 539.0, 4867,-27.3,-30.2,-27.3, 77,100, 0.58,219,13.2
2026-09-26 12:16:18,-82.1500,74.5780, 530.6, 4980,-28.3,-31.3,-28.4, 75, 99, 0.53,217,13.4
2026-09-26 12:16:43,-82.1439,74.5805, 523.5, 5076,-29.1,-32.0,-29.0, 76,101, 0.50,212,13.4
2026-09-26 12:17:08,-82.1381,74.5830, 516.6, 5170,-29.8,-32.8,-29.8, 75,101, 0.47,212,13.1
2026-09-26 12:17:33,-82.1323,74.5854, 509.7, 5266,-30.6,-33.7,-30.6, 75,101, 0.44,212,12.8
2026-09-26 12:17:58,-82.1268,74.5878, 502.8, 5362,-31.3,-34.3,-31.1, 75,101, 0.42,211,12.6
2026-09-26 12:18:23,-82.1215,74.5902, 496.2, 5456,-32.0,-35.0,-31.8, 74,102, 0.40,210,12.5
2026-09-26 12:18:48,-82.1160,74.5926, 489.6, 5551,-32.7,-35.7,-32.5, 74,102, 0.37,211,12.4
2026-09-26 12:19:13,-82.1109,74.5950, 483.2, 5644,-33.5,-36.5,-33.2, 74,103, 0.35,209,12.2
2026-09-26 12:19:38,-82.1059,74.5973, 476.5, 5741,-34.2,-37.3,-34.0, 74,103, 0.33,209,12.0
2026-09-26 12:20:03,-82.1010,74.5996, 470.0, 5836,-35.0,-38.1,-34.7, 74,104, 0.31,209,11.9
2026-09-26 12:20:28,-82.0964,74.6020, 463.5, 5933,-35.9,-39.0,-35.5, 73,104, 0.28,208,11.7
2026-09-26 12:20:53,-82.0921,74.6043, 457.1, 6030,-36.7,-39.8,-36.3, 73,104, 0.26,206,11.7
2026-09-26 12:21:18,-82.0883,74.6067, 450.8, 6126,-37.4,-40.6,-37.0, 72,104, 0.25,202,11.8
2026-09-26 12:21:43,-82.0848,74.6092, 444.6, 6222,-38.2,-41.4,-37.8, 72,105, 0.23,200,11.9
2026-09-26 12:22:08,-82.0816,74.6118, 438.5, 6317,-38.8,-42.1,-38.4, 71,104, 0.22,197,12.4
2026-09-26 12:22:33,-82.0786,74.6146, 432.5, 6411,-39.6,-42.8,-39.1, 72,105, 0.20,196,12.9
2026-09-26 12:22:58,-82.0754,74.6175, 426.8, 6501,-40.3,-43.5,-39.9, 71,106, 0.19,197,13.2
2026-09-26 12:23:23,-82.0711,74.6204, 421.0, 6595,-41.0,-44.2,-40.5, 71,106, 0.18,201,14.0
2026-09-26 12:23:48,-82.0664,74.6234, 415.1, 6690,-41.8,-45.0,-41.2, 71,106, 0.17,202,14.8
2026-09-26 12:24:13,-82.0608,74.6265, 408.9, 6792,-42.5,-45.8,-42.0, 70,106, 0.16,206,15.5
2026-09-26 12:24:38,-82.0542,74.6296, 402.0, 6907,-43.4,-46.6,-42.7, 71,108, 0.15,209,15.8
2026-09-26 12:25:03,-82.0471,74.6325, 396.4, 7000,-44.1,-47.1,-43.2, 72,110, 0.14,212,15.7
2026-09-26 12:25:28,-82.0393,74.6353, 391.1, 7092,-44.7,-47.5,-43.6, 73,114, 0.13,217,15.4
2026-09-26 12:25:53,-82.0310,74.6380, 385.7, 7184,-45.7,-48.6,-44.7, 72,113, 0.12,218,15.7
2026-09-26 12:26:18,-82.0229,74.6408, 380.2, 7279,-46.5,-49.4,-45.5, 72,113, 0.11,217,15.8
2026-09-26 12:26:43,-82.0147,74.6437, 374.9, 7373,-47.1,-50.2,-46.2, 71,112, 0.10,216,16.3
2026-09-26 12:27:08,-82.0060,74.6467, 369.5, 7469,-47.7,-50.8,-46.7, 71,113, 0.10,217,16.9
2026-09-26 12:27:33,-81.9963,74.6497, 364.3, 7561,-48.3,-51.3,-47.2, 71,114, 0.09,221,17.5
2026-09-26 12:27:58,-81.9862,74.6526, 359.2, 7654,-49.0,-51.8,-47.7, 73,117, 0.09,223,17.6
2026-09-26 12:28:23,-81.9759,74.6554, 353.9, 7751,-49.8,-52.7,-48.6, 72,116, 0.08,223,17.7
2026-09-26 12:28:48,-81.9651,74.6583, 348.8, 7846,-50.7,-53.6,-49.4, 72,117, 0.08,224,18.2
2026-09-26 12:29:13,-81.9540,74.6612, 343.9, 7937,-51.3,-54.1,-49.9, 73,120, 0.07,225,18.6
2026-09-26 12:29:38,-81.9428,74.6642, 339.2, 8027,-51.9,-54.7,-50.5, 71,118, 0.07,225,18.7
2026-09-26 12:30:03,-81.9312,74.6671, 334.4, 8120,-52.4,-55.3,-51.1, 71,119, 0.06,226,18.9
2026-09-26 12:30:28,-81.9196,74.6699, 329.7, 8211,-52.8,-55.5,-51.2, 73,122, 0.06,227,18.8
2026-09-26 12:30:53,-81.9082,74.6729, 325.3, 8297,-53.2,-55.8,-51.6, 73,122, 0.06,225,18.8
2026-09-26 12:31:18,-81.8968,74.6759, 320.8, 8387,-53.4,-56.0,-51.7, 73,123, 0.06,225,19.0
2026-09-26 12:31:43,-81.8853,74.6789, 316.6, 8471,-54.0,-56.5,-52.2, 74,125, 0.06,225,19.2
2026-09-26 12:32:08,-81.8737,74.6820, 312.4, 8557,-54.3,-56.7,-52.5, 75,127, 0.06,224,19.4
2026-09-26 12:32:33,-81.8626,74.6853, 308.3, 8641,-54.7,-57.3,-53.0, 73,125, 0.05,221,19.8
2026-09-26 12:32:58,-81.8518,74.6885, 304.1, 8730,-55.2,-57.7,-53.3, 75,128, 0.05,220,19.3
2026-09-26 12:33:23,-81.8410,74.6918, 300.0, 8816,-55.6,-58.0,-53.7, 74,127, 0.05,220,19.5
2026-09-26 12:33:48,-81.8300,74.6951, 295.9, 8904,-56.0,-58.5,-54.2, 74,127, 0.05,221,19.8
2026-09-26 12:34:13,-81.8187,74.6985, 291.7, 8994,-56.3,-58.6,-54.3, 75,130, 0.05,221,20.0
2026-09-26 12:34:38,-81.8076,74.7020, 287.6, 9084,-56.4,-59.0,-54.7, 72,125, 0.05,220,20.4
2026-09-26 12:35:03,-81.7964,74.7054, 283.4, 9177,-56.6,-58.9,-54.6, 75,130, 0.05,220,20.5
2026-09-26 12:35:28,-81.7850,74.7089, 279.4, 9268,-57.2,-59.5,-55.1, 75,131, 0.05,220,20.6
2026-09-26 12:35:53,-81.7737,74.7124, 275.3, 9361,-57.5,-59.8,-55.5, 75,131, 0.04,220,20.5
2026-09-26 12:36:18,-81.7623,74.7159, 271.2, 9454,-57.6,-60.1,-55.7, 73,129, 0.04,220,20.5
2026-09-26 12:36:43,-81.7507,74.7194, 267.2, 9549,-57.6,-60.0,-55.6, 74,130, 0.05,220,20.7
2026-09-26 12:37:08,-81.7386,74.7228, 263.2, 9645,-57.7,-60.2,-55.8, 73,128, 0.04,223,20.9
2026-09-26 12:37:33,-81.7262,74.7261, 259.3, 9739,-57.4,-60.1,-55.7, 71,125, 0.05,224,20.9
2026-09-26 12:37:58,-81.7134,74.7293, 255.5, 9831,-57.2,-59.8,-55.4, 73,127, 0.05,226,20.7
2026-09-26 12:38:23,-81.7004,74.7323, 252.0, 9918,-56.6,-59.5,-55.1, 70,121, 0.05,228,20.4
2026-09-26 12:38:48,-81.6871,74.7351, 248.5,10009,-56.2,-59.0,-54.6, 71,122, 0.06,230,20.3
2026-09-26 12:39:13,-81.6736,74.7375, 245.0,10099,-55.5,-58.4,-54.1, 70,120, 0.06,235,19.2
2026-09-26 12:39:38,-81.6612,74.7398, 241.5,10189,-54.1,-57.3,-53.0, 68,115, 0.07,234,17.4
2026-09-26 12:40:03,-81.6489,74.7420, 238.1,10280,-53.4,-56.3,-52.0, 71,120, 0.08,236,17.4
2026-09-26 12:40:28,-81.6364,74.7440, 234.6,10376,-53.3,-56.2,-52.0, 71,118, 0.08,237,17.4
2026-09-26 12:40:53,-81.6236,74.7460, 231.2,10471,-52.3,-55.5,-51.3, 68,114, 0.09,239,17.4
2026-09-26 12:41:18,-81.6106,74.7480, 227.7,10569,-51.2,-54.4,-50.2, 69,114, 0.11,239,17.8
