time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-24 11:58:47,-83.1951,74.6685,1015.9,   32,  1.1, -1.7, -1.5, 82, 82, 3.31, 11, 9.8
2026-09-24 11:59:09,-83.1951,74.6685, 998.3,  172,  0.1, -6.4, -5.7, 62, 62, 2.37,347,10.4
2026-09-24 11:59:31,-83.1951,74.6685, 982.5,  300, -0.8, -6.4, -5.6, 66, 66, 2.42,347,10.4
2026-09-24 11:59:53,-83.1951,74.6685, 968.9,  411, -1.5, -6.7, -6.0, 68, 69, 2.38,338,10.8
2026-09-24 12:00:15,-83.1951,74.6685, 957.3,  507, -1.6, -6.8, -6.0, 67, 68, 2.39,338,12.5
2026-09-24 12:00:37,-83.1951,74.6685, 945.1,  609, -1.5, -7.2, -6.4, 65, 66, 2.35,339,14.8
2026-09-24 12:00:59,-83.1951,74.6685, 932.5,  716, -2.2, -8.2, -7.3, 64, 65, 2.21,343,14.2
2026-09-24 12:01:21,-83.1951,74.6685, 919.2,  831, -3.1, -9.2, -8.1, 63, 65, 2.08,345,13.5
2026-09-24 12:01:43,-83.1951,74.6685, 905.0,  952, -4.0,-10.1, -9.0, 63, 65, 1.96,346,13.2
2026-09-24 12:02:05,-83.1951,74.6685, 888.7, 1096, -4.8,-10.7, -9.6, 63, 66, 1.90,348,13.4
2026-09-24 12:02:27,-83.1951,74.6685, 874.5, 1223, -5.8,-11.4,-10.1, 65, 69, 1.83,350,13.5
2026-09-24 12:02:49,-83.1951,74.6685, 860.5, 1348, -6.9,-11.9,-10.6, 68, 72, 1.79,350,14.2
2026-09-24 12:03:11,-83.1951,74.6685, 846.0, 1481, -8.1,-12.4,-11.1, 71, 77, 1.74,350,14.9
2026-09-24 12:03:33,-83.1951,74.6685, 832.9, 1602, -8.7,-12.5,-11.2, 74, 80, 1.75,348,15.3
2026-09-24 12:03:55,-83.1951,74.6685, 818.6, 1736, -9.6,-13.5,-12.0, 73, 80, 1.65,350,14.6
2026-09-24 12:04:17,-83.1951,74.6685, 805.0, 1866, -9.7,-14.1,-12.6, 70, 77, 1.59,350,13.8
2026-09-24 12:04:39,-83.1951,74.6685, 790.8, 2003, -9.6,-15.2,-13.6, 64, 70, 1.49,346,12.6
2026-09-24 12:05:01,-83.1951,74.6685, 778.2, 2127, -9.4,-16.1,-14.4, 58, 64, 1.40,339,11.5
2026-09-24 12:05:23,-83.1951,74.6685, 767.9, 2230,-10.1,-16.7,-14.9, 59, 65, 1.35,338,10.9
2026-09-24 12:05:45,-83.1951,74.6685, 759.2, 2317,-10.7,-17.2,-15.4, 59, 66, 1.31,337,10.6
