time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-15 22:33:20,-27.0127,42.5889,1034.4,   40, 20.0, 12.6, 12.6, 62, 62, 8.89, 25, 6.2
2026-09-15 22:34:24,-27.0186,42.5879,1003.4,  300, 15.9, 11.2, 11.2, 74, 74, 8.35, 75, 8.2
2026-09-15 22:36:48,-27.0304,42.5861, 934.4,  900, 10.3,  9.9,  9.9, 98, 98, 8.22, 77, 5.2
2026-09-15 22:37:03,-27.0314,42.5860, 925.0,  984,  9.8,  9.7,  9.7, 99, 99, 8.16, 74, 3.9
2026-09-15 22:37:23,-27.0320,42.5858, 912.9, 1093,  9.0,  8.8,  8.8, 99, 99, 7.83,358, 2.1
2026-09-15 22:37:48,-27.0312,42.5851, 900.4, 1208,  8.8,  8.8,  8.8,100,100, 7.89,322, 5.0
2026-09-15 22:37:54,-27.0307,42.5849, 898.3, 1227,  9.1,  9.1,  9.1,100,100, 8.08,324, 5.1
2026-09-15 22:38:59,-27.0311,42.5829, 871.1, 1484, 13.9,-28.4,-25.7,  4,  4, 0.42, 68, 4.2
2026-09-15 22:39:58,-27.0346,42.5820, 850.0, 1689, 13.6,-39.4,-35.9,  1,  1, 0.15, 66, 4.7
2026-09-15 22:41:52,-27.0394,42.5800, 809.3, 2100, 12.4,-42.3,-38.7,  1,  1, 0.11, 55, 4.0
2026-09-15 22:45:18,-27.0479,42.5737, 743.9, 2803, 10.4,-43.6,-39.9,  1,  1, 0.11, 65, 5.2
2026-09-15 22:47:10,-27.0549,42.5729, 710.7, 3181,  8.2,-44.9,-41.1,  1,  1, 0.10, 82, 6.1
2026-09-15 22:47:47,-27.0576,42.5725, 700.0, 3305,  7.5,-45.3,-41.5,  1,  1, 0.10, 77, 6.0
2026-09-15 22:49:07,-27.0633,42.5712, 675.2, 3600,  5.8,-46.4,-42.5,  1,  1, 0.09, 69, 6.3
2026-09-15 22:51:57,-27.0717,42.5653, 627.1, 4200,  2.5,-21.0,-18.9, 16, 16, 1.14, 35, 6.0
2026-09-15 22:55:56,-27.0813,42.5599, 566.0, 5021, -1.6,-27.9,-25.2, 11, 12, 0.68, 40, 3.7
2026-09-15 23:00:08,-27.0853,42.5561, 510.5, 5832, -7.5,-32.0,-29.0, 12, 13, 0.51, 65, 1.0
2026-09-15 23:00:54,-27.0858,42.5557, 500.0, 5994, -9.0,-29.8,-27.0, 17, 18, 0.65, 25, 2.3
2026-09-15 23:04:30,-27.0861,42.5506, 455.2, 6714,-13.5,-21.2,-19.1, 52, 59, 1.55, 38, 2.6
2026-09-15 23:04:59,-27.0868,42.5501, 449.3, 6813,-14.2,-22.5,-20.3, 49, 56, 1.40, 43, 2.9
2026-09-15 23:06:46,-27.0905,42.5478, 428.3, 7176,-15.1,-30.4,-27.5, 26, 30, 0.71, 51, 4.5
2026-09-15 23:09:16,-27.0964,42.5428, 400.0, 7688,-19.1,-29.7,-26.9, 39, 47, 0.81, 38, 3.8
2026-09-15 23:10:09,-27.0977,42.5417, 390.3, 7870,-20.6,-31.1,-28.2, 39, 47, 0.73, 40, 2.9
2026-09-15 23:11:23,-27.0994,42.5397, 377.3, 8120,-22.6,-30.4,-27.5, 49, 61, 0.81, 22, 4.3
2026-09-15 23:14:58,-27.1061,42.5309, 340.1, 8874,-27.6,-39.1,-35.6, 33, 43, 0.38, 41, 6.3
2026-09-15 23:19:18,-27.1286,42.5164, 300.0, 9762,-35.2,-43.4,-39.8, 43, 60, 0.27, 58,13.5
2026-09-15 23:24:06,-27.1678,42.4923, 257.7,10800,-43.8,-52.7,-48.6, 37, 57, 0.11, 41,17.2
2026-09-15 23:25:03,-27.1759,42.4852, 250.0,11004,-45.3,-54.7,-50.5, 34, 53, 0.09, 43,18.2
2026-09-15 23:27:03,-27.1951,42.4722, 234.2,11435,-49.2,-53.8,-49.6, 59, 96, 0.11, 52,18.4
2026-09-15 23:31:42,-27.2528,42.4418, 200.0,12451,-57.4,-62.2,-57.8, 55, 95, 0.05, 58,21.2
2026-09-15 23:35:40,-27.3086,42.4225, 170.7,13430,-66.2,-69.8,-65.1, 61,117, 0.02, 70,22.4
2026-09-15 23:36:04,-27.3147,42.4209, 168.1,13524,-66.9,-70.2,-65.6, 63,120, 0.02, 71,21.4
2026-09-15 23:37:34,-27.3320,42.4141, 158.9,13864,-64.4,-70.5,-65.9, 44, 82, 0.02, 51,16.5
2026-09-15 23:38:54,-27.3430,42.4088, 151.5,14159,-64.7,-74.2,-69.5, 27, 50, 0.01, 50,10.7
2026-09-15 23:39:09,-27.3445,42.4077, 150.0,14218,-65.0,-75.2,-70.5, 24, 45, 0.01, 43,10.6
2026-09-15 23:41:01,-27.3528,42.3971, 139.6,14652,-66.1,-77.7,-72.9, 19, 36, 0.01, 30,16.8
2026-09-15 23:41:32,-27.3567,42.3927, 136.8,14776,-65.7,-77.5,-72.8, 18, 35, 0.01, 38,18.8
2026-09-15 23:44:04,-27.3740,42.3822, 123.5,15404,-64.0,-81.6,-76.9,  8, 15, 0.00, 40, 6.9
2026-09-15 23:46:06,-27.3787,42.3739, 114.2,15880,-62.0,-80.5,-75.8,  7, 13, 0.01, 16, 8.7
2026-09-15 23:49:15,-27.3839,42.3645, 100.6,16662,-62.9,-89.1,-84.3,  2,  4, 0.00, 11, 3.5
2026-09-15 23:49:24,-27.3840,42.3642, 100.0,16700,-62.7,-89.2,-84.4,  2,  3, 0.00, 12, 3.5
