time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-08 22:33:45, 12.9911,80.3088, 994.8,    8,  3.0,  2.9,  2.9,100,100, 4.74,201, 9.6
2026-09-08 22:34:04, 12.9831,80.3075, 992.7,   26,  2.2,  2.2,  2.2,100,100, 4.53, 46, 4.7
2026-09-08 22:34:21, 12.9815,80.3075, 973.3,  186,  2.3,  2.1,  2.1, 98, 98, 4.57,134, 1.4
2026-09-08 22:34:44, 12.9827,80.3080, 970.2,  211,  2.4,  2.2,  2.2, 99, 99, 4.61,169, 1.8
2026-09-08 22:35:24, 12.9903,80.3101, 946.1,  414,  1.4,  1.4,  1.4,100,100, 4.48,210, 7.0
2026-09-08 22:35:44, 12.9969,80.3113, 925.0,  596,  0.5,  0.5,  0.5,100,100, 4.28,223, 9.0
2026-09-08 22:36:24, 13.0109,80.3140, 914.0,  692,  0.0,  0.0,  0.0,100,100, 4.20,220,10.1
2026-09-08 22:37:04, 13.0293,80.3176, 894.7,  863, -0.8, -0.8, -0.7,100,101, 4.05,221,13.2
2026-09-08 22:37:44, 13.0497,80.3215, 875.5, 1035, -1.2, -1.2, -1.1,100,101, 4.01,221,14.3
2026-09-08 22:38:04, 13.0623,80.3234, 863.9, 1142, -1.7, -1.8, -1.6,100,101, 3.89,226,15.7
2026-09-08 22:38:18, 13.0709,80.3246, 851.2, 1260, -2.1, -2.3, -2.0, 99,101, 3.80,230,15.7
2026-09-08 22:38:44, 13.0887,80.3270, 847.0, 1300, -2.5, -2.5, -2.2, 99,102, 3.75,231,16.0
2026-09-08 22:39:24, 13.1143,80.3304, 828.6, 1474, -3.6, -3.6, -3.2,100,103, 3.54,232,15.3
2026-09-08 22:40:04, 13.1393,80.3334, 811.6, 1637, -4.5, -4.5, -4.0,100,104, 3.37,234,14.4
2026-09-08 22:40:44, 13.1657,80.3367, 793.4, 1815, -5.5, -5.9, -5.3, 97,102, 3.09,235,15.2
2026-09-08 22:41:24, 13.1916,80.3397, 775.4, 1996, -6.9, -7.7, -6.8, 94,101, 2.77,236,14.8
2026-09-08 22:41:44, 13.2032,80.3412, 765.1, 2099, -7.7,-10.0, -8.9, 83, 89, 2.33,232,13.8
2026-09-08 22:42:21, 13.2261,80.3439, 748.0, 2274, -8.7, -9.7, -8.6, 93,101, 2.45,235,14.5
2026-09-08 22:42:44, 13.2409,80.3457, 738.7, 2372, -9.4, -9.7, -8.7, 98,107, 2.47,234,14.5
2026-09-08 22:43:04, 13.2555,80.3474, 727.2, 2493, -9.9,-11.0, -9.8, 91,100, 2.26,235,16.4
2026-09-08 22:43:15, 13.2647,80.3481, 718.5, 2586, -8.2, -8.6, -7.6, 97,105, 2.78,245,17.1
2026-09-08 22:43:44, 13.2890,80.3498, 713.9, 2636, -8.4, -9.0, -8.0, 96,104, 2.71,247,17.0
2026-09-08 22:44:04, 13.3050,80.3508, 700.0, 2788, -8.9, -9.8, -8.7, 94,102, 2.61,250,15.8
2026-09-08 22:44:44, 13.3364,80.3526, 689.0, 2911, -9.7,-10.6, -9.4, 93,103, 2.48,251,15.8
2026-09-08 22:45:24, 13.3669,80.3542, 671.8, 3106,-10.9,-12.0,-10.7, 92,102, 2.27,252,14.9
2026-09-08 22:46:04, 13.3955,80.3559, 654.9, 3301,-12.1,-13.2,-11.8, 91,103, 2.11,251,14.1
2026-09-08 22:46:27, 13.4106,80.3570, 638.0, 3500,-13.4,-14.5,-12.9, 91,104, 1.95,247,13.1
