time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-19 10:38:22,143.1643,85.7212,1000.1,    8, -5.4, -5.7, -5.1, 98,103, 2.50,350, 2.5
2026-09-19 10:38:22,143.1642,85.7206,1000.0,    9, -5.4, -5.7, -5.1, 98,103, 2.50,355, 4.0
2026-09-19 10:38:35,143.1630,85.7140, 990.1,   87, -7.4, -8.0, -7.1, 96,103, 2.11,351, 5.0
2026-09-19 10:38:42,143.1633,85.7136, 984.9,  128, -7.0, -7.4, -6.6, 96,103, 2.22,348, 5.7
2026-09-19 10:38:54,143.1670,85.7129, 976.0,  199, -6.1, -6.9, -6.2, 94, 99, 2.33,345, 7.5
2026-09-19 10:39:02,143.1683,85.7124, 970.2,  246, -4.8,-10.0, -8.9, 67, 70, 1.84,345, 8.5
2026-09-19 10:39:03,143.1683,85.7123, 969.5,  252, -4.8,-10.0, -8.9, 67, 70, 1.84,345, 8.6
2026-09-19 10:39:12,143.1713,85.7115, 962.9,  305, -4.9, -9.9, -8.8, 68, 71, 1.87,342, 9.2
2026-09-19 10:39:21,143.1749,85.7108, 956.1,  361, -5.2,-10.1, -9.0, 69, 72, 1.86,340, 9.5
2026-09-19 10:39:22,143.1751,85.7108, 955.4,  367, -5.2,-10.1, -9.0, 69, 72, 1.86,340, 9.5
2026-09-19 10:39:42,143.1832,85.7091, 941.2,  483, -6.3,-10.2, -9.1, 74, 78, 1.86,341, 9.6
2026-09-19 10:40:02,143.1896,85.7075, 927.5,  598, -7.4,-10.5, -9.4, 78, 84, 1.84,343, 9.1
2026-09-19 10:40:05,143.1911,85.7072, 925.0,  619, -7.5,-10.6, -9.4, 79, 85, 1.84,344, 9.0
2026-09-19 10:40:22,143.1950,85.7060, 913.4,  717, -8.4,-10.8, -9.6, 83, 90, 1.84,345, 8.6
2026-09-19 10:40:42,143.2001,85.7045, 900.3,  829, -9.4,-10.9, -9.7, 89, 98, 1.85,348, 8.9
2026-09-19 10:41:02,143.2044,85.7029, 886.8,  946,-10.6,-11.1, -9.9, 96,106, 1.84,346, 9.2
2026-09-19 10:41:22,143.2109,85.7013, 873.5, 1062,-11.6,-11.6,-10.4,100,112, 1.80,346, 8.7
2026-09-19 10:41:42,143.2147,85.6999, 859.7, 1183,-12.5,-12.5,-11.2,100,113, 1.70,349, 8.1
2026-09-19 10:41:46,143.2152,85.6996, 856.9, 1208,-12.7,-12.7,-11.4,100,113, 1.68,349, 8.0
2026-09-19 10:41:56,143.2173,85.6988, 850.0, 1270,-13.2,-13.2,-11.8,100,114, 1.62,347, 8.0
2026-09-19 10:42:00,143.2177,85.6986, 847.6, 1291,-13.4,-13.4,-11.9,100,114, 1.61,344, 8.0
2026-09-19 10:42:02,143.2181,85.6985, 846.3, 1303,-13.1,-13.2,-11.8,100,113, 1.63,343, 8.1
2026-09-19 10:42:08,143.2202,85.6981, 842.5, 1338,-11.4,-15.8,-14.1, 70, 78, 1.33,339, 8.4
2026-09-19 10:42:14,143.2226,85.6976, 838.8, 1371,-10.6,-13.5,-12.1, 79, 87, 1.60,336, 9.0
2026-09-19 10:42:22,143.2266,85.6970, 833.6, 1419,-10.7,-14.1,-12.6, 76, 84, 1.54,333, 9.8
2026-09-19 10:42:42,143.2390,85.6954, 820.6, 1540,-10.7,-15.2,-13.6, 69, 77, 1.42,327,10.9
2026-09-19 10:42:45,143.2410,85.6952, 818.5, 1559,-10.7,-15.1,-13.5, 70, 78, 1.45,326,11.0
2026-09-19 10:43:02,143.2542,85.6938, 807.6, 1663,-10.9,-16.7,-15.0, 62, 69, 1.28,325,11.1
2026-09-19 10:43:22,143.2704,85.6922, 795.2, 1782,-11.3,-17.5,-15.7, 60, 67, 1.21,321,11.3
2026-09-19 10:43:42,143.2879,85.6906, 782.4, 1906,-11.7,-20.4,-18.4, 48, 54, 0.96,323,12.0
2026-09-19 10:44:02,143.3052,85.6888, 770.6, 2022,-11.8,-21.9,-19.7, 43, 48, 0.86,328,12.8
2026-09-19 10:44:22,143.3209,85.6868, 758.2, 2146,-12.0,-26.3,-23.7, 30, 33, 0.59,327,12.8
2026-09-19 10:44:42,143.3383,85.6848, 745.9, 2271,-11.6,-27.0,-24.4, 27, 30, 0.56,326,13.3
2026-09-19 10:45:01,143.3558,85.6829, 734.9, 2385,-11.9,-27.3,-24.6, 27, 30, 0.56,327,14.8
2026-09-19 10:45:02,143.3567,85.6828, 734.3, 2391,-11.9,-26.7,-24.1, 28, 32, 0.59,327,14.9
2026-09-19 10:45:22,143.3770,85.6803, 722.8, 2512,-13.0,-25.2,-22.7, 35, 40, 0.68,331,16.5
2026-09-19 10:45:42,143.3934,85.6777, 711.0, 2637,-14.5,-23.5,-21.2, 46, 53, 0.81,335,15.3
2026-09-19 10:45:47,143.3972,85.6772, 708.0, 2669,-14.8,-23.3,-20.9, 48, 56, 0.83,335,15.2
2026-09-19 10:45:56,143.4038,85.6760, 703.0, 2723,-14.6,-17.5,-15.7, 78, 90, 1.38,333,15.4
2026-09-19 10:46:02,143.4089,85.6753, 700.0, 2755,-14.7,-17.9,-16.1, 77, 88, 1.33,331,15.7
2026-09-19 10:46:02,143.4091,85.6753, 699.9, 2756,-14.7,-17.9,-16.1, 76, 88, 1.33,331,15.7
2026-09-19 10:46:22,143.4297,85.6729, 688.8, 2877,-15.3,-18.4,-16.5, 77, 90, 1.31,327,16.7
2026-09-19 10:46:42,143.4537,85.6703, 678.0, 2996,-15.8,-19.0,-17.0, 76, 89, 1.26,323,18.0
2026-09-19 10:47:02,143.4805,85.6677, 667.4, 3115,-16.4,-18.7,-16.8, 83, 97, 1.31,325,18.4
2026-09-19 10:47:22,143.5041,85.6649, 657.1, 3232,-17.1,-19.2,-17.2, 84, 99, 1.28,326,18.8
