time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-12 11:00:09, -2.8584,45.0676,1025.5,    8, 22.1, 16.6, 16.6, 71, 71,11.67, 72, 3.9
2026-09-12 11:00:49, -2.8742,45.0716,1000.9,  218, 18.6, 15.5, 15.5, 82, 82,11.15, 65, 3.9
2026-09-12 11:01:19, -2.8756,45.0710, 986.5,  342, 17.4, 15.4, 15.4, 88, 88,11.24, 64, 3.7
2026-09-12 11:01:59, -2.8772,45.0705, 967.9,  505, 16.5, 12.8, 12.8, 79, 79, 9.63, 60, 3.1
2026-09-12 11:02:39, -2.8784,45.0698, 954.7,  622, 15.9, 10.7, 10.7, 71, 71, 8.48, 49, 3.2
2026-09-12 11:03:19, -2.8796,45.0691, 941.5,  740, 14.9,  9.9,  9.9, 72, 72, 8.17, 42, 2.9
2026-09-12 11:03:59, -2.8803,45.0683, 929.0,  853, 13.9,  9.5,  9.5, 75, 75, 8.05, 27, 2.2
2026-09-12 11:04:29, -2.8805,45.0678, 918.9,  945, 13.2, 10.0, 10.0, 81, 81, 8.39,  5, 1.6
2026-09-12 11:05:09, -2.8807,45.0675, 906.0, 1064, 12.3,  9.3,  9.3, 82, 82, 8.13, 67, 0.6
2026-09-12 11:05:49, -2.8809,45.0676, 894.3, 1173, 11.5,  9.8,  9.8, 89, 89, 8.51,128, 0.8
2026-09-12 11:06:29, -2.8821,45.0677, 879.6, 1312, 12.6,  5.3,  5.3, 61, 61, 6.38, 94, 3.9
2026-09-12 11:07:09, -2.8841,45.0674, 867.3, 1430, 12.3,  3.6,  3.6, 55, 55, 5.72, 61, 4.2
2026-09-12 11:07:49, -2.8859,45.0665, 855.1, 1549, 12.0,  2.5,  2.5, 52, 52, 5.37, 60, 4.5
2026-09-12 11:08:19, -2.8876,45.0660, 845.8, 1640, 12.3, -6.7, -5.9, 26, 26, 2.74, 71, 4.5
2026-09-12 11:08:59, -2.8895,45.0657, 834.1, 1757, 13.1, -9.7, -8.7, 19, 19, 2.19, 75, 3.9
2026-09-12 11:09:39, -2.8915,45.0653, 822.2, 1878, 12.2, -5.9, -5.3, 28, 28, 2.99, 76, 3.8
2026-09-12 11:10:19, -2.8931,45.0648, 811.2, 1990, 11.7, -7.2, -6.4, 26, 26, 2.75, 57, 3.8
2026-09-12 11:10:59, -2.8950,45.0639, 800.2, 2104, 11.9,-19.2,-17.2, 10, 10, 1.05, 52, 5.4
2026-09-12 11:11:39, -2.8972,45.0626, 790.0, 2211, 11.9,-19.6,-17.6,  9,  9, 1.02, 49, 5.6
2026-09-12 11:12:19, -2.8993,45.0610, 779.1, 2327, 11.8,-22.1,-19.8,  8,  8, 0.84, 39, 6.7
2026-09-12 11:12:59, -2.9014,45.0592, 768.2, 2445, 11.1,-21.3,-19.1,  9,  9, 0.91, 40, 6.3
2026-09-12 11:13:39, -2.9036,45.0575, 757.7, 2559, 10.7,-26.6,-24.0,  5,  5, 0.57, 44, 6.0
2026-09-12 11:14:19, -2.9056,45.0559, 747.4, 2673, 10.4,-36.7,-33.4,  2,  2, 0.22, 44, 6.6
2026-09-12 11:14:59, -2.9083,45.0542, 737.2, 2787, 10.5,-36.7,-33.4,  2,  2, 0.22, 47, 7.4
2026-09-12 11:15:39, -2.9111,45.0523, 727.0, 2903, 10.1,-40.0,-36.5,  2,  2, 0.16, 45, 7.7
2026-09-12 11:16:19, -2.9136,45.0503, 717.1, 3016,  9.8,-41.0,-37.5,  1,  1, 0.15, 40, 7.3
2026-09-12 11:16:59, -2.9157,45.0483, 707.6, 3127,  9.5,-41.5,-37.9,  1,  1, 0.14, 31, 7.4
2026-09-12 11:17:30, -2.9173,45.0464, 700.0, 3216,  9.1,-37.4,-34.0,  2,  2, 0.22, 31, 8.1
2026-09-12 11:18:09, -2.9195,45.0439, 690.1, 3333,  9.1,-41.6,-38.0,  1,  1, 0.14, 31, 8.7
2026-09-12 11:18:49, -2.9217,45.0410, 680.3, 3452,  8.4,-31.7,-28.7,  4,  4, 0.40, 26, 9.3
2026-09-12 11:19:29, -2.9236,45.0381, 670.9, 3567,  7.8,-34.0,-30.9,  3,  3, 0.32, 21, 8.9
2026-09-12 11:20:09, -2.9252,45.0349, 661.6, 3681,  6.9,-16.8,-15.1, 17, 17, 1.55, 22, 9.6
2026-09-12 11:20:49, -2.9269,45.0318, 652.4, 3796,  6.3,-22.0,-19.8, 11, 11, 1.00, 19, 8.5
2026-09-12 11:21:29, -2.9279,45.0291, 643.5, 3909,  5.8,-20.7,-18.6, 13, 13, 1.14,  9, 7.7
2026-09-12 11:22:09, -2.9286,45.0264, 634.3, 4026,  5.2,-14.0,-12.5, 23, 23, 2.04, 15, 7.7
2026-09-12 11:22:49, -2.9299,45.0237, 625.3, 4142,  4.2,-12.5,-11.1, 29, 29, 2.35, 17, 8.4
2026-09-12 11:23:29, -2.9309,45.0207, 616.7, 4255,  3.3,-13.2,-11.8, 29, 29, 2.24, 16, 8.3
2026-09-12 11:24:09, -2.9319,45.0178, 608.1, 4368,  2.3,-13.6,-12.1, 30, 30, 2.20,  9, 8.3
2026-09-12 11:24:49, -2.9324,45.0149, 599.4, 4484,  1.5,-13.9,-12.4, 31, 31, 2.18,  6, 8.1
2026-09-12 11:25:29, -2.9327,45.0122, 590.9, 4599,  0.8,-14.8,-13.3, 30, 30, 2.04,  4, 7.1
2026-09-12 11:26:09, -2.9331,45.0099, 582.5, 4714,  0.1,-16.3,-14.6, 28, 28, 1.84, 14, 6.5
2026-09-12 11:26:49, -2.9345,45.0076, 574.3, 4828,  0.1,-23.3,-20.9, 15, 15, 1.02, 30, 7.3
2026-09-12 11:27:29, -2.9365,45.0052, 566.2, 4941, -0.8,-16.7,-14.9, 29, 29, 1.83, 29, 8.0
2026-09-12 11:28:09, -2.9384,45.0029, 558.2, 5054, -1.3,-15.4,-13.8, 33, 34, 2.07, 34, 6.7
2026-09-12 11:28:49, -2.9403,45.0012, 550.7, 5163, -1.7,-16.8,-15.1, 30, 31, 1.86, 37, 5.4
2026-09-12 11:29:29, -2.9416,44.9997, 542.9, 5276, -2.3,-19.5,-17.5, 25, 26, 1.51, 28, 4.8
2026-09-12 11:30:09, -2.9426,44.9982, 535.1, 5389, -3.3,-20.7,-18.6, 25, 26, 1.38, 26, 4.3
2026-09-12 11:30:49, -2.9434,44.9967, 527.4, 5505, -3.7,-26.8,-24.2, 15, 15, 0.81, 14, 5.0
2026-09-12 11:31:29, -2.9438,44.9950, 519.5, 5623, -4.2,-29.9,-27.1, 12, 12, 0.62,  9, 5.0
2026-09-12 11:32:09, -2.9441,44.9932, 511.5, 5745, -5.3,-30.1,-27.2, 12, 13, 0.61,  4, 4.6
2026-09-12 11:32:49, -2.9440,44.9916, 503.5, 5869, -6.3,-30.4,-27.6, 13, 14, 0.60,350, 4.8
2026-09-12 11:33:19, -2.9435,44.9903, 497.6, 5960, -7.0,-30.0,-27.1, 14, 15, 0.64,342, 4.8
2026-09-12 11:33:59, -2.9431,44.9888, 490.0, 6081, -7.7,-29.5,-26.7, 16, 17, 0.68,345, 4.3
2026-09-12 11:34:39, -2.9419,44.9872, 482.6, 6199, -8.7,-26.2,-23.6, 23, 25, 0.93,322, 5.5
2026-09-12 11:35:19, -2.9404,44.9858, 475.5, 6314, -9.6,-23.3,-20.9, 32, 35, 1.24,329, 4.7
2026-09-12 11:35:59, -2.9390,44.9842, 468.4, 6429,-10.6,-23.4,-21.1, 34, 38, 1.24,327, 5.4
2026-09-12 11:36:39, -2.9373,44.9826, 461.6, 6542,-11.5,-24.2,-21.8, 34, 38, 1.18,321, 5.9
2026-09-12 11:37:19, -2.9351,44.9811, 454.9, 6654,-12.2,-25.6,-23.1, 32, 36, 1.04,311, 6.1
2026-09-12 11:37:59, -2.9331,44.9797, 448.3, 6765,-13.2,-27.1,-24.5, 30, 34, 0.93,324, 5.0
2026-09-12 11:38:39, -2.9321,44.9781, 441.8, 6876,-13.4,-31.3,-28.3, 21, 24, 0.64,339, 5.1
2026-09-12 11:39:19, -2.9308,44.9765, 435.4, 6987,-13.6,-34.0,-30.9, 16, 18, 0.49,326, 4.9
2026-09-12 11:39:59, -2.9296,44.9750, 428.9, 7100,-14.4,-34.5,-31.4, 16, 19, 0.48,328, 4.9
2026-09-12 11:40:39, -2.9279,44.9735, 422.4, 7216,-15.4,-36.1,-32.8, 15, 18, 0.42,316, 5.5
2026-09-12 11:41:19, -2.9257,44.9722, 415.8, 7335,-16.0,-37.0,-33.7, 15, 17, 0.39,306, 5.9
2026-09-12 11:41:59, -2.9233,44.9711, 409.1, 7457,-17.0,-37.3,-34.0, 15, 18, 0.38,303, 5.5
2026-09-12 11:42:39, -2.9210,44.9700, 402.6, 7578,-18.1,-38.1,-34.8, 15, 18, 0.35,304, 5.5
2026-09-12 11:43:09, -2.9192,44.9692, 397.5, 7672,-18.9,-38.1,-34.7, 17, 20, 0.36,305, 5.7
2026-09-12 11:43:49, -2.9170,44.9681, 390.9, 7796,-20.0,-37.5,-34.1, 20, 24, 0.39,305, 5.0
2026-09-12 11:44:29, -2.9151,44.9671, 384.5, 7919,-21.0,-37.9,-34.6, 20, 25, 0.38,305, 4.3
