time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-09-09 10:56:49, -3.2553,44.9491,1020.7,    8, 18.3, 11.2, 11.2, 63, 63, 8.18,353, 3.6
2026-09-09 10:57:40, -3.2550,44.9473,1000.2,  182, 17.5, 10.0, 10.0, 61, 61, 7.70,352, 4.0
2026-09-09 10:58:39, -3.2553,44.9453, 989.7,  272, 16.6,  9.4,  9.4, 62, 62, 7.47,  7, 3.8
2026-09-09 10:59:39, -3.2557,44.9433, 976.0,  391, 15.4,  9.5,  9.5, 68, 68, 7.66, 11, 3.8
2026-09-09 11:00:39, -3.2566,44.9416, 961.0,  522, 14.3,  9.3,  9.3, 72, 72, 7.64, 23, 3.4
2026-09-09 11:01:39, -3.2575,44.9398, 948.0,  637, 13.0,  9.1,  9.1, 77, 77, 7.65, 23, 3.8
2026-09-09 11:02:39, -3.2583,44.9381, 941.5,  695, 12.5,  8.8,  8.8, 78, 78, 7.56, 13, 3.0
2026-09-09 11:03:39, -3.2591,44.9364, 932.0,  780, 11.6,  8.5,  8.5, 81, 81, 7.46, 17, 3.4
2026-09-09 11:04:39, -3.2593,44.9344, 918.4,  903, 10.5,  7.9,  7.9, 84, 84, 7.31,  6, 4.1
2026-09-09 11:05:39, -3.2597,44.9314, 903.0, 1044,  9.3,  7.0,  7.0, 85, 85, 6.95,  3, 6.9
2026-09-09 11:06:39, -3.2592,44.9275, 890.5, 1159,  8.9,  3.6,  3.6, 70, 70, 5.58,353, 7.6
2026-09-09 11:07:39, -3.2579,44.9232, 878.0, 1276,  8.0,  2.2,  2.2, 67, 67, 5.11,345, 8.2
2026-09-09 11:08:39, -3.2561,44.9186, 867.3, 1377,  7.3,  1.4,  1.4, 66, 66, 4.87,345, 9.1
2026-09-09 11:09:39, -3.2542,44.9141, 858.9, 1457,  6.5,  2.1,  2.1, 73, 73, 5.18,342, 8.5
2026-09-09 11:10:38, -3.2526,44.9099, 851.3, 1530,  6.0,  1.0,  1.0, 70, 70, 4.84,345, 8.3
2026-09-09 11:11:29, -3.2512,44.9062, 845.2, 1589,  5.8, -0.1, -0.1, 66, 66, 4.50,345, 8.5
2026-09-09 11:12:29, -3.2493,44.9019, 837.6, 1663,  5.3, -1.0, -0.9, 64, 64, 4.25,340, 8.0
2026-09-09 11:13:29, -3.2477,44.8981, 827.9, 1758,  4.6, -0.9, -0.8, 67, 67, 4.32,344, 7.2
2026-09-09 11:14:29, -3.2466,44.8951, 816.2, 1874,  3.8, -1.2, -1.1, 69, 69, 4.28,347, 5.1
2026-09-09 11:15:29, -3.2463,44.8930, 803.8, 1998,  2.8, -0.9, -0.8, 77, 77, 4.47,357, 3.3
2026-09-09 11:16:29, -3.2462,44.8916, 792.6, 2111,  1.9, -0.9, -0.8, 82, 82, 4.52,353, 2.2
2026-09-09 11:17:29, -3.2459,44.8907, 783.6, 2204,  1.2, -1.0, -0.9, 85, 85, 4.54,342, 1.8
2026-09-09 11:18:29, -3.2450,44.8901, 776.0, 2282,  0.5, -0.1, -0.1, 96, 96, 4.90,306, 1.6
2026-09-09 11:19:29, -3.2442,44.8892, 768.3, 2362,  0.5, -0.6, -0.5, 92, 92, 4.78,332, 3.0
2026-09-09 11:20:29, -3.2427,44.8866, 761.4, 2435,  3.3,-20.6,-18.5, 15, 15, 0.97,343, 5.2
2026-09-09 11:21:29, -3.2420,44.8837, 754.8, 2506,  4.0,-30.8,-27.9,  6,  6, 0.39,356, 5.7
2026-09-09 11:22:29, -3.2430,44.8807, 747.2, 2588,  4.9,-41.0,-37.4,  2,  2, 0.14, 17, 5.7
2026-09-09 11:23:29, -3.2449,44.8772, 738.3, 2685,  4.8,-40.5,-37.0,  2,  2, 0.15, 23, 7.3
2026-09-09 11:24:29, -3.2466,44.8743, 729.6, 2781,  4.5,-34.1,-31.0,  4,  4, 0.29, 23, 4.9
2026-09-09 11:25:29, -3.2481,44.8717, 721.8, 2869,  4.3,-33.6,-30.5,  4,  4, 0.31, 21, 6.0
2026-09-09 11:26:29, -3.2493,44.8676, 714.8, 2948,  4.6,-34.0,-30.8,  4,  4, 0.30,  8, 8.5
2026-09-09 11:27:29, -3.2498,44.8629, 708.2, 3024,  4.6,-36.4,-33.1,  3,  3, 0.24,359, 8.8
2026-09-09 11:28:29, -3.2493,44.8581, 701.6, 3100,  4.3,-32.6,-29.5,  5,  5, 0.35,356, 9.0
2026-09-09 11:29:19, -3.2490,44.8541, 696.0, 3165,  4.0,-32.8,-29.7,  5,  5, 0.35,359, 8.7
2026-09-09 11:30:19, -3.2495,44.8494, 689.0, 3247,  3.8,-33.1,-30.1,  5,  5, 0.34,  5, 9.0
2026-09-09 11:31:19, -3.2504,44.8447, 681.6, 3334,  3.5,-40.5,-37.0,  2,  2, 0.16,  9, 8.9
2026-09-09 11:32:19, -3.2517,44.8401, 674.1, 3423,  3.2,-29.3,-26.5,  7,  7, 0.50, 14, 8.9
2026-09-09 11:33:19, -3.2539,44.8356, 667.0, 3509,  2.8,-33.7,-30.6,  5,  5, 0.33, 21, 9.0
2026-09-09 11:34:19, -3.2564,44.8307, 660.2, 3592,  2.5,-34.6,-31.5,  4,  4, 0.31, 20, 9.9
2026-09-09 11:35:19, -3.2590,44.8257, 653.3, 3677,  1.8,-33.8,-30.7,  5,  5, 0.34, 20,10.2
2026-09-09 11:36:19, -3.2616,44.8200, 645.8, 3770,  1.0,-33.4,-30.3,  6,  6, 0.36, 17,11.4
2026-09-09 11:37:19, -3.2643,44.8140, 637.9, 3868,  0.2,-31.0,-28.1,  7,  7, 0.45, 18,11.8
2026-09-09 11:38:19, -3.2670,44.8081, 630.8, 3958, -0.6,-31.5,-28.5,  8,  8, 0.44, 18,11.4
2026-09-09 11:39:19, -3.2697,44.8022, 624.0, 4045, -1.3,-31.8,-28.9,  8,  8, 0.43, 18,11.6
2026-09-09 11:40:19, -3.2724,44.7964, 617.3, 4130, -2.0,-32.7,-29.6,  8,  8, 0.40, 18,11.1
2026-09-09 11:41:19, -3.2747,44.7907, 610.8, 4214, -2.7,-33.0,-30.0,  8,  8, 0.39, 16,11.3
2026-09-09 11:42:19, -3.2772,44.7848, 604.6, 4294, -3.4,-33.5,-30.4,  8,  8, 0.38, 16,11.4
2026-09-09 11:43:19, -3.2792,44.7789, 598.5, 4374, -4.1,-34.1,-31.0,  8,  8, 0.36, 12,11.1
2026-09-09 11:44:19, -3.2808,44.7728, 592.3, 4457, -4.6,-34.9,-31.7,  7,  8, 0.33, 10,11.9
2026-09-09 11:45:19, -3.2822,44.7665, 586.0, 4540, -5.3,-35.7,-32.4,  7,  8, 0.31,  9,11.7
2026-09-09 11:46:19, -3.2836,44.7602, 579.7, 4625, -6.0,-36.6,-33.3,  7,  7, 0.29,  9,11.8
2026-09-09 11:47:19, -3.2855,44.7538, 573.3, 4712, -6.4,-37.5,-34.1,  6,  7, 0.27, 13,12.0
2026-09-09 11:48:19, -3.2873,44.7476, 567.2, 4796, -7.2,-38.4,-35.0,  6,  7, 0.24, 11,11.7
2026-09-09 11:49:19, -3.2894,44.7415, 560.9, 4883, -8.0,-37.0,-33.7,  8,  8, 0.28, 14,11.7
2026-09-09 11:50:19, -3.2909,44.7359, 554.5, 4972, -8.4,-42.8,-39.2,  4,  5, 0.16, 10,10.0
2026-09-09 11:51:19, -3.2920,44.7308, 547.7, 5067, -9.2,-43.1,-39.4,  5,  5, 0.16,  8, 9.7
2026-09-09 11:52:19, -3.2929,44.7256, 541.0, 5162,-10.0,-42.3,-38.7,  5,  6, 0.17,  5, 9.6
2026-09-09 11:53:19, -3.2936,44.7204, 534.4, 5256,-10.9,-41.1,-37.6,  6,  7, 0.20,  7, 9.7
2026-09-09 11:54:19, -3.2943,44.7152, 528.1, 5347,-11.7,-42.6,-39.0,  6,  6, 0.17,  4, 9.5
2026-09-09 11:55:19, -3.2947,44.7102, 522.2, 5432,-12.5,-43.2,-39.6,  6,  7, 0.16,  2, 9.5
2026-09-09 11:56:19, -3.2949,44.7046, 516.3, 5519,-13.2,-45.1,-41.3,  5,  6, 0.13,  2,10.8
2026-09-09 11:57:19, -3.2953,44.6985, 510.4, 5607,-14.0,-44.6,-40.9,  6,  6, 0.14,  3,11.5
2026-09-09 11:58:19, -3.2963,44.6925, 504.3, 5698,-14.6,-45.3,-41.5,  5,  6, 0.13,  9,11.1
2026-09-09 11:59:09, -3.2975,44.6877, 499.2, 5774,-15.3,-46.0,-42.2,  5,  6, 0.13, 10,10.9
2026-09-09 12:00:09, -3.2989,44.6817, 493.2, 5866,-15.9,-44.9,-41.2,  6,  7, 0.14,  9,11.4
2026-09-09 12:01:09, -3.3002,44.6756, 487.2, 5958,-16.8,-44.8,-41.0,  7,  8, 0.15,  8,11.5
2026-09-09 12:02:09, -3.3012,44.6696, 480.9, 6056,-17.5,-45.8,-41.9,  7,  8, 0.13,  6,10.9
2026-09-09 12:03:09, -3.3022,44.6639, 474.5, 6156,-18.6,-45.5,-41.7,  7,  9, 0.14,  8,10.4
2026-09-09 12:04:09, -3.3033,44.6582, 468.1, 6256,-19.5,-45.0,-41.2,  9, 10, 0.15,  7,10.8
2026-09-09 12:05:09, -3.3041,44.6522, 461.6, 6359,-20.4,-45.7,-41.9,  9, 10, 0.14,  5,11.3
2026-09-09 12:06:09, -3.3046,44.6461, 455.4, 6460,-21.4,-46.4,-42.5,  9, 11, 0.13,  4,11.6
2026-09-09 12:07:09, -3.3053,44.6397, 449.1, 6563,-22.2,-46.4,-42.6,  9, 11, 0.13,  5,12.0
2026-09-09 12:08:09, -3.3064,44.6331, 442.8, 6667,-23.0,-47.3,-43.4,  9, 11, 0.12,  6,12.4
2026-09-09 12:09:09, -3.3073,44.6262, 436.6, 6768,-23.9,-47.6,-43.7,  9, 12, 0.12,  6,13.0
